Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
277245,277246,1960192N12304,,,ABBY,12.0,-55.8,40,0,1960,7,9,1960/07/09 04:00:00+00
277246,277247,1960192N12304,,,ABBY,12.25,-56.4,40,0,1960,7,9,1960/07/09 04:00:00+00
277247,277248,1960192N12304,,,ABBY,12.5,-57.0,40,0,1960,7,9,1960/07/09 04:00:00+00
277248,277249,1960192N12304,,,ABBY,12.75,-57.59,42,0,1960,7,9,1960/07/09 04:00:00+00
277249,277250,1960192N12304,,,ABBY,13.0,-58.2,45,0,1960,7,10,1960/07/10 04:00:00+00
277250,277251,1960192N12304,,,ABBY,13.26,-58.89,47,0,1960,7,10,1960/07/10 04:00:00+00
277251,277252,1960192N12304,,CS,ABBY,13.5,-59.6,50,0,1960,7,10,1960/07/10 04:00:00+00
277252,277253,1960192N12304,,CS,ABBY,13.72,-60.25,52,0,1960,7,10,1960/07/10 04:00:00+00
277253,277254,1960192N12304,,CS,ABBY,13.9,-60.9,55,1003,1960,7,10,1960/07/10 04:00:00+00
277254,277255,1960192N12304,,CS,ABBY,14.02,-61.61,55,1002,1960,7,10,1960/07/10 04:00:00+00
277255,277256,1960192N12304,,CS,ABBY,14.1,-62.3,55,1002,1960,7,10,1960/07/10 04:00:00+00
277256,277257,1960192N12304,,CS,ABBY,14.2,-62.92,55,0,1960,7,10,1960/07/10 04:00:00+00
277257,277258,1960192N12304,,CS,ABBY,14.3,-63.5,55,0,1960,7,11,1960/07/11 04:00:00+00
277258,277259,1960192N12304,,CS,ABBY,14.4,-64.11,57,0,1960,7,11,1960/07/11 04:00:00+00
277259,277260,1960192N12304,,CS,ABBY,14.5,-64.7,60,0,1960,7,11,1960/07/11 04:00:00+00
277260,277261,1960192N12304,,CS,ABBY,14.6,-65.23,60,0,1960,7,11,1960/07/11 04:00:00+00
277261,277262,1960192N12304,,CS,ABBY,14.7,-65.8,60,999,1960,7,11,1960/07/11 04:00:00+00
277262,277263,1960192N12304,,CS,ABBY,14.81,-66.51,57,1001,1960,7,11,1960/07/11 04:00:00+00
277263,277264,1960192N12304,,CS,ABBY,14.9,-67.3,55,1004,1960,7,11,1960/07/11 04:00:00+00
277264,277265,1960192N12304,,CS,ABBY,14.93,-68.1,52,1004,1960,7,11,1960/07/11 04:00:00+00
277265,277266,1960192N12304,,CS,ABBY,14.9,-68.9,50,1005,1960,7,12,1960/07/12 04:00:00+00
277266,277267,1960192N12304,,CS,ABBY,14.8,-69.66,50,1005,1960,7,12,1960/07/12 04:00:00+00
277267,277268,1960192N12304,,CS,ABBY,14.7,-70.4,50,1005,1960,7,12,1960/07/12 04:00:00+00
277268,277269,1960192N12304,,CS,ABBY,14.66,-71.17,50,1006,1960,7,12,1960/07/12 04:00:00+00
277269,277270,1960192N12304,,CS,ABBY,14.7,-71.9,50,1007,1960,7,12,1960/07/12 04:00:00+00
