Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
655950,655951,2016195S06076,SI,MM,ABELA,-6.4,75.7,0,0,2016,7,12,2016/07/12 04:00:00+00
655951,655952,2016195S06076,SI,MM,ABELA,-6.82,75.41,0,0,2016,7,12,2016/07/12 04:00:00+00
655952,655953,2016195S06076,SI,MM,ABELA,-7.2,75.1,0,0,2016,7,12,2016/07/12 04:00:00+00
655953,655954,2016195S06076,SI,MM,ABELA,-7.52,74.76,0,0,2016,7,12,2016/07/12 04:00:00+00
655954,655955,2016195S06076,SI,MM,ABELA,-7.8,74.4,0,0,2016,7,13,2016/07/13 04:00:00+00
655955,655956,2016195S06076,SI,MM,ABELA,-8.07,74.06,0,0,2016,7,13,2016/07/13 04:00:00+00
655956,655957,2016195S06076,SI,MM,ABELA,-8.3,73.7,0,0,2016,7,13,2016/07/13 04:00:00+00
655957,655958,2016195S06076,SI,MM,ABELA,-8.47,73.31,0,0,2016,7,13,2016/07/13 04:00:00+00
655958,655959,2016195S06076,SI,MM,ABELA,-8.6,72.9,0,0,2016,7,13,2016/07/13 04:00:00+00
655959,655960,2016195S06076,SI,MM,ABELA,-8.71,72.5,0,0,2016,7,13,2016/07/13 04:00:00+00
655960,655961,2016195S06076,SI,MM,ABELA,-8.8,72.1,0,0,2016,7,13,2016/07/13 04:00:00+00
655961,655962,2016195S06076,SI,MM,ABELA,-8.89,71.71,0,0,2016,7,13,2016/07/13 04:00:00+00
655962,655963,2016195S06076,SI,MM,ABELA,-8.9,71.3,0,0,2016,7,14,2016/07/14 04:00:00+00
655963,655964,2016195S06076,SI,MM,ABELA,-8.8,70.81,0,0,2016,7,14,2016/07/14 04:00:00+00
655964,655965,2016195S06076,SI,MM,ABELA,-8.6,70.4,0,0,2016,7,14,2016/07/14 04:00:00+00
655965,655966,2016195S06076,SI,MM,ABELA,-8.26,70.19,0,0,2016,7,14,2016/07/14 04:00:00+00
655966,655967,2016195S06076,SI,MM,ABELA,-8.02,70.1,20,1007,2016,7,14,2016/07/14 04:00:00+00
655967,655968,2016195S06076,SI,MM,ABELA,-8.1,70.03,20,1007,2016,7,14,2016/07/14 04:00:00+00
655968,655969,2016195S06076,SI,MM,ABELA,-8.24,69.96,20,1007,2016,7,14,2016/07/14 04:00:00+00
655969,655970,2016195S06076,SI,MM,ABELA,-8.31,69.86,22,1005,2016,7,14,2016/07/14 04:00:00+00
655970,655971,2016195S06076,SI,MM,ABELA,-8.35,69.8,25,1004,2016,7,15,2016/07/15 04:00:00+00
655971,655972,2016195S06076,SI,MM,ABELA,-8.38,69.83,25,1004,2016,7,15,2016/07/15 04:00:00+00
655972,655973,2016195S06076,SI,MM,ABELA,-8.4,69.9,25,1004,2016,7,15,2016/07/15 04:00:00+00
655973,655974,2016195S06076,SI,MM,ABELA,-8.4,69.97,25,1004,2016,7,15,2016/07/15 04:00:00+00
655974,655975,2016195S06076,SI,MM,ABELA,-8.45,70.0,25,1004,2016,7,15,2016/07/15 04:00:00+00
655975,655976,2016195S06076,SI,MM,ABELA,-8.62,69.97,27,1002,2016,7,15,2016/07/15 04:00:00+00
655976,655977,2016195S06076,SI,MM,ABELA,-8.8,69.9,30,1000,2016,7,15,2016/07/15 04:00:00+00
655977,655978,2016195S06076,SI,MM,ABELA,-8.86,69.82,30,1000,2016,7,15,2016/07/15 04:00:00+00
655978,655979,2016195S06076,SI,MM,ABELA,-8.9,69.75,30,1000,2016,7,16,2016/07/16 04:00:00+00
655979,655980,2016195S06076,SI,MM,ABELA,-8.97,69.77,32,998,2016,7,16,2016/07/16 04:00:00+00
655980,655981,2016195S06076,SI,MM,ABELA,-9.1,69.7,35,996,2016,7,16,2016/07/16 04:00:00+00
655981,655982,2016195S06076,SI,MM,ABELA,-9.33,69.4,35,996,2016,7,16,2016/07/16 04:00:00+00
655982,655983,2016195S06076,SI,MM,ABELA,-9.6,68.95,35,996,2016,7,16,2016/07/16 04:00:00+00
655983,655984,2016195S06076,SI,MM,ABELA,-9.81,68.47,37,994,2016,7,16,2016/07/16 04:00:00+00
655984,655985,2016195S06076,SI,MM,ABELA,-10.05,67.95,40,993,2016,7,16,2016/07/16 04:00:00+00
655985,655986,2016195S06076,SI,MM,ABELA,-10.35,67.44,40,993,2016,7,16,2016/07/16 04:00:00+00
655986,655987,2016195S06076,SI,MM,ABELA,-10.7,66.9,40,993,2016,7,17,2016/07/17 04:00:00+00
655987,655988,2016195S06076,SI,MM,ABELA,-11.11,66.35,42,991,2016,7,17,2016/07/17 04:00:00+00
655988,655989,2016195S06076,SI,MM,ABELA,-11.5,65.75,45,989,2016,7,17,2016/07/17 04:00:00+00
655989,655990,2016195S06076,SI,MM,ABELA,-11.77,65.07,45,989,2016,7,17,2016/07/17 04:00:00+00
655990,655991,2016195S06076,SI,MM,ABELA,-12.0,64.35,45,989,2016,7,17,2016/07/17 04:00:00+00
655991,655992,2016195S06076,SI,MM,ABELA,-12.25,63.61,45,989,2016,7,17,2016/07/17 04:00:00+00
655992,655993,2016195S06076,SI,MM,ABELA,-12.5,62.9,45,989,2016,7,17,2016/07/17 04:00:00+00
655993,655994,2016195S06076,SI,MM,ABELA,-12.75,62.26,47,987,2016,7,17,2016/07/17 04:00:00+00
655994,655995,2016195S06076,SI,MM,ABELA,-13.0,61.65,50,985,2016,7,18,2016/07/18 04:00:00+00
655995,655996,2016195S06076,SI,MM,ABELA,-13.24,61.04,50,985,2016,7,18,2016/07/18 04:00:00+00
655996,655997,2016195S06076,SI,MM,ABELA,-13.5,60.45,50,985,2016,7,18,2016/07/18 04:00:00+00
655997,655998,2016195S06076,SI,MM,ABELA,-13.83,59.9,52,983,2016,7,18,2016/07/18 04:00:00+00
655998,655999,2016195S06076,SI,MM,ABELA,-14.15,59.35,55,982,2016,7,18,2016/07/18 04:00:00+00
655999,656000,2016195S06076,SI,MM,ABELA,-14.39,58.78,52,983,2016,7,18,2016/07/18 04:00:00+00
656000,656001,2016195S06076,SI,MM,ABELA,-14.55,58.15,50,985,2016,7,18,2016/07/18 04:00:00+00
656001,656002,2016195S06076,SI,MM,ABELA,-14.61,57.44,47,987,2016,7,18,2016/07/18 04:00:00+00
656002,656003,2016195S06076,SI,MM,ABELA,-14.6,56.7,45,989,2016,7,19,2016/07/19 04:00:00+00
656003,656004,2016195S06076,SI,MM,ABELA,-14.6,55.98,42,991,2016,7,19,2016/07/19 04:00:00+00
656004,656005,2016195S06076,SI,MM,ABELA,-14.6,55.35,40,993,2016,7,19,2016/07/19 04:00:00+00
656005,656006,2016195S06076,SI,MM,ABELA,-14.6,54.93,37,998,2016,7,19,2016/07/19 04:00:00+00
656006,656007,2016195S06076,SI,MM,ABELA,-14.6,54.55,35,1003,2016,7,19,2016/07/19 04:00:00+00
656007,656008,2016195S06076,SI,MM,ABELA,-14.55,54.05,32,1001,2016,7,19,2016/07/19 04:00:00+00
656008,656009,2016195S06076,SI,MM,ABELA,-14.55,53.5,30,1000,2016,7,19,2016/07/19 04:00:00+00
656009,656010,2016195S06076,SI,MM,ABELA,-14.71,52.93,30,1000,2016,7,19,2016/07/19 04:00:00+00
656010,656011,2016195S06076,SI,MM,ABELA,-14.9,52.4,30,1000,2016,7,20,2016/07/20 04:00:00+00
656011,656012,2016195S06076,SI,MM,ABELA,-15.01,52.0,30,1000,2016,7,20,2016/07/20 04:00:00+00
656012,656013,2016195S06076,SI,MM,ABELA,-15.1,51.6,30,1000,2016,7,20,2016/07/20 04:00:00+00
