Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
315629,315630,1966171N14260,EP,MM,ADELE,14.3,-100.2,25,0,1966,6,20,1966/06/20 04:00:00+00
315630,315631,1966171N14260,EP,MM,ADELE,14.45,-100.3,25,0,1966,6,20,1966/06/20 04:00:00+00
315631,315632,1966171N14260,EP,MM,ADELE,14.6,-100.4,25,0,1966,6,20,1966/06/20 04:00:00+00
315632,315633,1966171N14260,EP,MM,ADELE,14.76,-100.5,25,0,1966,6,20,1966/06/20 04:00:00+00
315633,315634,1966171N14260,EP,MM,ADELE,14.9,-100.6,25,0,1966,6,20,1966/06/20 04:00:00+00
315634,315635,1966171N14260,EP,MM,ADELE,15.01,-100.7,25,0,1966,6,20,1966/06/20 04:00:00+00
315635,315636,1966171N14260,EP,MM,ADELE,15.1,-100.8,25,0,1966,6,20,1966/06/20 04:00:00+00
315636,315637,1966171N14260,EP,MM,ADELE,15.21,-100.9,25,0,1966,6,20,1966/06/20 04:00:00+00
315637,315638,1966171N14260,EP,MM,ADELE,15.3,-101.0,25,0,1966,6,21,1966/06/21 04:00:00+00
315638,315639,1966171N14260,EP,MM,ADELE,15.36,-101.1,25,0,1966,6,21,1966/06/21 04:00:00+00
315639,315640,1966171N14260,EP,MM,ADELE,15.41,-101.2,25,0,1966,6,21,1966/06/21 04:00:00+00
315640,315641,1966171N14260,EP,MM,ADELE,15.5,-101.29,35,0,1966,6,21,1966/06/21 04:00:00+00
315641,315642,1966171N14260,EP,MM,ADELE,15.6,-101.4,45,0,1966,6,21,1966/06/21 04:00:00+00
315642,315643,1966171N14260,EP,MM,ADELE,15.7,-101.54,45,0,1966,6,21,1966/06/21 04:00:00+00
315643,315644,1966171N14260,EP,MM,ADELE,15.8,-101.71,45,0,1966,6,21,1966/06/21 04:00:00+00
315644,315645,1966171N14260,EP,MM,ADELE,15.91,-101.91,45,0,1966,6,21,1966/06/21 04:00:00+00
315645,315646,1966171N14260,EP,MM,ADELE,16.0,-102.1,45,0,1966,6,22,1966/06/22 04:00:00+00
315646,315647,1966171N14260,EP,MM,ADELE,16.06,-102.25,45,0,1966,6,22,1966/06/22 04:00:00+00
315647,315648,1966171N14260,EP,MM,ADELE,16.1,-102.38,45,0,1966,6,22,1966/06/22 04:00:00+00
315648,315649,1966171N14260,EP,MM,ADELE,16.15,-102.46,45,0,1966,6,22,1966/06/22 04:00:00+00
315649,315650,1966171N14260,EP,MM,ADELE,16.2,-102.6,45,0,1966,6,22,1966/06/22 04:00:00+00
315650,315651,1966171N14260,EP,MM,ADELE,16.25,-102.92,45,0,1966,6,22,1966/06/22 04:00:00+00
315651,315652,1966171N14260,EP,MM,ADELE,16.31,-103.3,45,0,1966,6,22,1966/06/22 04:00:00+00
315652,315653,1966171N14260,EP,MM,ADELE,16.4,-103.65,60,0,1966,6,22,1966/06/22 04:00:00+00
315653,315654,1966171N14260,EP,MM,ADELE,16.5,-103.9,75,0,1966,6,23,1966/06/23 04:00:00+00
315654,315655,1966171N14260,EP,MM,ADELE,16.59,-103.96,75,0,1966,6,23,1966/06/23 04:00:00+00
315655,315656,1966171N14260,EP,MM,ADELE,16.7,-103.92,75,0,1966,6,23,1966/06/23 04:00:00+00
315656,315657,1966171N14260,EP,MM,ADELE,16.83,-103.87,75,0,1966,6,23,1966/06/23 04:00:00+00
315657,315658,1966171N14260,EP,MM,ADELE,17.0,-103.8,75,0,1966,6,23,1966/06/23 04:00:00+00
