Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
672021,672022,2018309S06068,SI,MM,ALCIDE,-6.5,68.3,20,1010,2018,11,4,2018/11/04 04:00:00+00
672022,672023,2018309S06068,SI,MM,ALCIDE,-6.8,67.75,20,1008,2018,11,4,2018/11/04 04:00:00+00
672023,672024,2018309S06068,SI,MM,ALCIDE,-7.1,67.2,20,1007,2018,11,4,2018/11/04 04:00:00+00
672024,672025,2018309S06068,SI,MM,ALCIDE,-7.39,66.63,20,1008,2018,11,4,2018/11/04 04:00:00+00
672025,672026,2018309S06068,SI,MM,ALCIDE,-7.6,66.0,20,1009,2018,11,5,2018/11/05 05:00:00+00
672026,672027,2018309S06068,SI,MM,ALCIDE,-7.61,65.26,22,1008,2018,11,5,2018/11/05 05:00:00+00
672027,672028,2018309S06068,SI,MM,ALCIDE,-7.48,64.42,25,1008,2018,11,5,2018/11/05 05:00:00+00
672028,672029,2018309S06068,SI,MM,ALCIDE,-7.69,63.78,25,1007,2018,11,5,2018/11/05 05:00:00+00
672029,672030,2018309S06068,SI,MM,ALCIDE,-8.0,63.24,25,1007,2018,11,5,2018/11/05 05:00:00+00
672030,672031,2018309S06068,SI,MM,ALCIDE,-8.26,62.77,27,1006,2018,11,5,2018/11/05 05:00:00+00
672031,672032,2018309S06068,SI,MM,ALCIDE,-8.45,62.3,30,1006,2018,11,5,2018/11/05 05:00:00+00
672032,672033,2018309S06068,SI,MM,ALCIDE,-8.54,61.8,32,1005,2018,11,5,2018/11/05 05:00:00+00
672033,672034,2018309S06068,SI,MM,ALCIDE,-8.65,61.3,35,1005,2018,11,6,2018/11/06 05:00:00+00
672034,672035,2018309S06068,SI,MM,ALCIDE,-8.92,60.8,35,1004,2018,11,6,2018/11/06 05:00:00+00
672035,672036,2018309S06068,SI,MM,ALCIDE,-9.2,60.3,35,1004,2018,11,6,2018/11/06 05:00:00+00
672036,672037,2018309S06068,SI,MM,ALCIDE,-9.37,59.79,37,1003,2018,11,6,2018/11/06 05:00:00+00
672037,672038,2018309S06068,SI,MM,ALCIDE,-9.5,59.3,40,1003,2018,11,6,2018/11/06 05:00:00+00
