Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
567709,567710,2001298S07098,SI,WA,ALEX:ANDRE,-7.0,97.5,25,1002,2001,10,24,2001/10/24 04:00:00+00
567710,567711,2001298S07098,SI,WA,ALEX:ANDRE,-7.01,97.14,25,1002,2001,10,24,2001/10/24 04:00:00+00
567711,567712,2001298S07098,SI,WA,ALEX:ANDRE,-7.06,96.8,25,1002,2001,10,25,2001/10/25 04:00:00+00
567712,567713,2001298S07098,SI,WA,ALEX:ANDRE,-7.06,96.52,25,1002,2001,10,25,2001/10/25 04:00:00+00
567713,567714,2001298S07098,SI,WA,ALEX:ANDRE,-7.11,96.28,25,1002,2001,10,25,2001/10/25 04:00:00+00
567714,567715,2001298S07098,SI,WA,ALEX:ANDRE,-7.23,96.08,25,1002,2001,10,25,2001/10/25 04:00:00+00
567715,567716,2001298S07098,SI,WA,ALEX:ANDRE,-7.35,95.85,25,1002,2001,10,25,2001/10/25 04:00:00+00
567716,567717,2001298S07098,SI,WA,ALEX:ANDRE,-7.47,95.62,27,1002,2001,10,25,2001/10/25 04:00:00+00
567717,567718,2001298S07098,SI,WA,ALEX:ANDRE,-7.59,95.39,30,1002,2001,10,25,2001/10/25 04:00:00+00
567718,567719,2001298S07098,SI,WA,ALEX:ANDRE,-7.71,95.15,30,1001,2001,10,25,2001/10/25 04:00:00+00
567719,567720,2001298S07098,SI,WA,ALEX:ANDRE,-7.83,94.9,30,1000,2001,10,26,2001/10/26 04:00:00+00
567720,567721,2001298S07098,SI,WA,ALEX:ANDRE,-7.91,94.63,32,998,2001,10,26,2001/10/26 04:00:00+00
567721,567722,2001298S07098,SI,WA,ALEX:ANDRE,-7.97,94.38,35,997,2001,10,26,2001/10/26 04:00:00+00
567722,567723,2001298S07098,SI,WA,ALEX:ANDRE,-8.01,94.12,35,997,2001,10,26,2001/10/26 04:00:00+00
567723,567724,2001298S07098,SI,WA,ALEX:ANDRE,-8.0,93.85,35,997,2001,10,26,2001/10/26 04:00:00+00
567724,567725,2001298S07098,SI,WA,ALEX:ANDRE,-7.95,93.56,35,997,2001,10,26,2001/10/26 04:00:00+00
567725,567726,2001298S07098,SI,WA,ALEX:ANDRE,-7.88,93.25,35,997,2001,10,26,2001/10/26 04:00:00+00
567726,567727,2001298S07098,SI,WA,ALEX:ANDRE,-7.8,92.94,35,997,2001,10,26,2001/10/26 04:00:00+00
567727,567728,2001298S07098,SI,WA,ALEX:ANDRE,-7.72,92.6,35,997,2001,10,27,2001/10/27 04:00:00+00
567728,567729,2001298S07098,SI,WA,ALEX:ANDRE,-7.68,92.21,35,997,2001,10,27,2001/10/27 04:00:00+00
567729,567730,2001298S07098,SI,WA,ALEX:ANDRE,-7.65,91.83,35,997,2001,10,27,2001/10/27 04:00:00+00
567730,567731,2001298S07098,SI,WA,ALEX:ANDRE,-7.62,91.48,37,995,2001,10,27,2001/10/27 04:00:00+00
567731,567732,2001298S07098,SI,WA,ALEX:ANDRE,-7.62,91.15,40,994,2001,10,27,2001/10/27 04:00:00+00
567732,567733,2001298S07098,SI,WA,ALEX:ANDRE,-7.66,90.83,45,990,2001,10,27,2001/10/27 04:00:00+00
567733,567734,2001298S07098,SI,WA,ALEX:ANDRE,-7.72,90.53,50,987,2001,10,27,2001/10/27 04:00:00+00
567734,567735,2001298S07098,SI,WA,ALEX:ANDRE,-7.79,90.22,52,985,2001,10,27,2001/10/27 04:00:00+00
567735,567736,2001298S07098,SI,MM,ALEX:ANDRE,-7.88,89.9,55,984,2001,10,28,2001/10/28 04:00:00+00
567736,567737,2001298S07098,SI,MM,ALEX:ANDRE,-8.01,89.53,55,984,2001,10,28,2001/10/28 04:00:00+00
567737,567738,2001298S07098,SI,MM,ALEX:ANDRE,-8.15,89.14,55,984,2001,10,28,2001/10/28 04:00:00+00
567738,567739,2001298S07098,SI,MM,ALEX:ANDRE,-8.22,88.77,55,984,2001,10,28,2001/10/28 04:00:00+00
567739,567740,2001298S07098,SI,MM,ALEX:ANDRE,-8.28,88.38,55,984,2001,10,28,2001/10/28 04:00:00+00
567740,567741,2001298S07098,SI,MM,ALEX:ANDRE,-8.37,87.89,55,984,2001,10,28,2001/10/28 04:00:00+00
567741,567742,2001298S07098,SI,MM,ALEX:ANDRE,-8.5,87.37,55,984,2001,10,28,2001/10/28 04:00:00+00
567742,567743,2001298S07098,SI,MM,ALEX:ANDRE,-8.65,86.82,55,984,2001,10,28,2001/10/28 04:00:00+00
567743,567744,2001298S07098,SI,MM,ALEX:ANDRE,-8.8,86.27,55,984,2001,10,29,2001/10/29 04:00:00+00
567744,567745,2001298S07098,SI,MM,ALEX:ANDRE,-8.92,85.7,55,984,2001,10,29,2001/10/29 04:00:00+00
567745,567746,2001298S07098,SI,MM,ALEX:ANDRE,-9.0,85.17,55,984,2001,10,29,2001/10/29 04:00:00+00
567746,567747,2001298S07098,SI,MM,ALEX:ANDRE,-9.03,84.7,55,984,2001,10,29,2001/10/29 04:00:00+00
567747,567748,2001298S07098,SI,MM,ALEX:ANDRE,-8.97,84.27,55,984,2001,10,29,2001/10/29 04:00:00+00
567748,567749,2001298S07098,SI,MM,ALEX:ANDRE,-8.81,83.82,50,987,2001,10,29,2001/10/29 04:00:00+00
567749,567750,2001298S07098,SI,MM,ALEX:ANDRE,-8.57,83.43,45,991,2001,10,29,2001/10/29 04:00:00+00
567750,567751,2001298S07098,SI,MM,ALEX:ANDRE,-8.23,83.15,45,991,2001,10,29,2001/10/29 04:00:00+00
567751,567752,2001298S07098,SI,MM,ALEX:ANDRE,-7.9,82.97,45,991,2001,10,30,2001/10/30 04:00:00+00
567752,567753,2001298S07098,SI,MM,ALEX:ANDRE,-7.66,82.87,45,991,2001,10,30,2001/10/30 04:00:00+00
567753,567754,2001298S07098,SI,MM,ALEX:ANDRE,-7.5,82.83,45,991,2001,10,30,2001/10/30 04:00:00+00
567754,567755,2001298S07098,SI,MM,ALEX:ANDRE,-7.38,82.81,45,991,2001,10,30,2001/10/30 04:00:00+00
567755,567756,2001298S07098,SI,MM,ALEX:ANDRE,-7.3,82.77,45,991,2001,10,30,2001/10/30 04:00:00+00
567756,567757,2001298S07098,SI,MM,ALEX:ANDRE,-7.2,82.69,40,994,2001,10,30,2001/10/30 04:00:00+00
567757,567758,2001298S07098,SI,MM,ALEX:ANDRE,-7.2,82.57,35,997,2001,10,30,2001/10/30 04:00:00+00
567758,567759,2001298S07098,SI,MM,ALEX:ANDRE,-7.37,82.39,35,997,2001,10,30,2001/10/30 04:00:00+00
567759,567760,2001298S07098,SI,MM,ALEX:ANDRE,-7.63,82.13,35,997,2001,10,31,2001/10/31 04:00:00+00
567760,567761,2001298S07098,SI,MM,ALEX:ANDRE,-7.91,81.83,35,997,2001,10,31,2001/10/31 04:00:00+00
567761,567762,2001298S07098,SI,MM,ALEX:ANDRE,-8.2,81.47,35,997,2001,10,31,2001/10/31 04:00:00+00
567762,567763,2001298S07098,SI,MM,ALEX:ANDRE,-8.45,81.08,35,997,2001,10,31,2001/10/31 04:00:00+00
567763,567764,2001298S07098,SI,MM,ALEX:ANDRE,-8.77,80.7,35,997,2001,10,31,2001/10/31 04:00:00+00
567764,567765,2001298S07098,SI,MM,ALEX:ANDRE,-9.23,80.34,32,998,2001,10,31,2001/10/31 04:00:00+00
567765,567766,2001298S07098,SI,MM,ALEX:ANDRE,-9.73,80.03,30,1000,2001,10,31,2001/10/31 04:00:00+00
567766,567767,2001298S07098,SI,MM,ALEX:ANDRE,-10.12,79.8,30,1000,2001,10,31,2001/10/31 04:00:00+00
567767,567768,2001298S07098,SI,MM,ALEX:ANDRE,-10.5,79.6,30,1000,2001,11,1,2001/11/01 04:00:00+00
567768,567769,2001298S07098,SI,MM,ALEX:ANDRE,-10.94,79.36,30,1000,2001,11,1,2001/11/01 04:00:00+00
567769,567770,2001298S07098,SI,MM,ALEX:ANDRE,-11.4,79.12,30,1000,2001,11,1,2001/11/01 04:00:00+00
567770,567771,2001298S07098,SI,MM,ALEX:ANDRE,-11.86,78.82,27,1001,2001,11,1,2001/11/01 04:00:00+00
567771,567772,2001298S07098,SI,MM,ALEX:ANDRE,-12.23,78.4,25,1002,2001,11,1,2001/11/01 04:00:00+00
567772,567773,2001298S07098,SI,MM,ALEX:ANDRE,-12.27,77.71,0,0,2001,11,1,2001/11/01 04:00:00+00
567773,567774,2001298S07098,SI,MM,ALEX:ANDRE,-12.2,77.1,0,0,2001,11,1,2001/11/01 04:00:00+00
567774,567775,2001298S07098,SI,MM,ALEX:ANDRE,-12.15,76.48,0,0,2001,11,1,2001/11/01 04:00:00+00
567775,567776,2001298S07098,SI,MM,ALEX:ANDRE,-12.1,75.9,0,0,2001,11,2,2001/11/02 04:00:00+00
567776,567777,2001298S07098,SI,MM,ALEX:ANDRE,-12.1,75.39,0,0,2001,11,2,2001/11/02 04:00:00+00
567777,567778,2001298S07098,SI,MM,ALEX:ANDRE,-12.1,74.9,0,0,2001,11,2,2001/11/02 04:00:00+00
567778,567779,2001298S07098,SI,MM,ALEX:ANDRE,-12.06,74.39,0,0,2001,11,2,2001/11/02 04:00:00+00
567779,567780,2001298S07098,SI,MM,ALEX:ANDRE,-12.0,73.9,0,0,2001,11,2,2001/11/02 04:00:00+00
567780,567781,2001298S07098,SI,MM,ALEX:ANDRE,-11.91,73.45,0,0,2001,11,2,2001/11/02 04:00:00+00
567781,567782,2001298S07098,SI,MM,ALEX:ANDRE,-11.8,73.0,0,0,2001,11,2,2001/11/02 04:00:00+00
567782,567783,2001298S07098,SI,MM,ALEX:ANDRE,-11.71,72.51,0,0,2001,11,2,2001/11/02 04:00:00+00
567783,567784,2001298S07098,SI,MM,ALEX:ANDRE,-11.6,72.0,0,0,2001,11,3,2001/11/03 04:00:00+00
