Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
571748,571749,2002234N11221,EP,MM,ALIKA,11.1,-139.2,50,997,2002,8,21,2002/08/21 04:00:00+00
571749,571750,2002234N11221,EP,MM,ALIKA,10.92,-139.16,37,1003,2002,8,21,2002/08/21 04:00:00+00
571750,571751,2002234N11221,EP,MM,ALIKA,10.8,-139.2,25,1009,2002,8,22,2002/08/22 04:00:00+00
571751,571752,2002234N11221,EP,MM,ALIKA,10.78,-139.4,25,1009,2002,8,22,2002/08/22 04:00:00+00
571752,571753,2002234N11221,EP,MM,ALIKA,10.8,-139.8,25,1009,2002,8,22,2002/08/22 04:00:00+00
571753,571754,2002234N11221,EP,CP,ALIKA,10.75,-140.43,25,1009,2002,8,22,2002/08/22 04:00:00+00
571754,571755,2002234N11221,EP,CP,ALIKA,10.7,-141.37,25,1009,2002,8,22,2002/08/22 04:00:00+00
571755,571756,2002234N11221,EP,CP,ALIKA,10.71,-142.17,27,1009,2002,8,22,2002/08/22 04:00:00+00
571756,571757,2002234N11221,EP,CP,ALIKA,10.75,-142.89,30,1009,2002,8,22,2002/08/22 04:00:00+00
571757,571758,2002234N11221,EP,CP,ALIKA,10.78,-143.54,30,1009,2002,8,22,2002/08/22 04:00:00+00
571758,571759,2002234N11221,EP,CP,ALIKA,10.83,-144.1,30,1009,2002,8,23,2002/08/23 04:00:00+00
571759,571760,2002234N11221,EP,CP,ALIKA,10.98,-144.56,30,1009,2002,8,23,2002/08/23 04:00:00+00
571760,571761,2002234N11221,EP,CP,ALIKA,11.13,-145.0,30,1009,2002,8,23,2002/08/23 04:00:00+00
571761,571762,2002234N11221,EP,CP,ALIKA,11.2,-145.55,30,1008,2002,8,23,2002/08/23 04:00:00+00
571762,571763,2002234N11221,EP,CP,ALIKA,11.23,-146.1,30,1007,2002,8,23,2002/08/23 04:00:00+00
571763,571764,2002234N11221,EP,CP,ALIKA,11.29,-146.56,30,1007,2002,8,23,2002/08/23 04:00:00+00
571764,571765,2002234N11221,EP,CP,ALIKA,11.37,-147.0,30,1007,2002,8,23,2002/08/23 04:00:00+00
571765,571766,2002234N11221,EP,CP,ALIKA,11.45,-147.49,30,1007,2002,8,23,2002/08/23 04:00:00+00
571766,571767,2002234N11221,EP,CP,ALIKA,11.53,-148.0,30,1007,2002,8,24,2002/08/24 04:00:00+00
571767,571768,2002234N11221,EP,CP,ALIKA,11.59,-148.52,30,1007,2002,8,24,2002/08/24 04:00:00+00
571768,571769,2002234N11221,EP,CP,ALIKA,11.63,-149.0,30,1007,2002,8,24,2002/08/24 04:00:00+00
571769,571770,2002234N11221,EP,CP,ALIKA,11.68,-149.35,30,1007,2002,8,24,2002/08/24 04:00:00+00
571770,571771,2002234N11221,EP,CP,ALIKA,11.73,-149.7,30,1007,2002,8,24,2002/08/24 04:00:00+00
571771,571772,2002234N11221,EP,CP,ALIKA,11.81,-150.19,30,1005,2002,8,24,2002/08/24 04:00:00+00
571772,571773,2002234N11221,EP,CP,ALIKA,11.93,-150.7,30,1003,2002,8,24,2002/08/24 04:00:00+00
571773,571774,2002234N11221,EP,CP,ALIKA,12.14,-151.09,35,999,2002,8,24,2002/08/24 04:00:00+00
571774,571775,2002234N11221,EP,CP,ALIKA,12.37,-151.5,40,996,2002,8,25,2002/08/25 04:00:00+00
571775,571776,2002234N11221,EP,CP,ALIKA,12.59,-152.02,47,995,2002,8,25,2002/08/25 04:00:00+00
571776,571777,2002234N11221,EP,CP,ALIKA,12.73,-152.6,55,995,2002,8,25,2002/08/25 04:00:00+00
571777,571778,2002234N11221,EP,CP,ALIKA,12.76,-153.19,52,996,2002,8,25,2002/08/25 04:00:00+00
571778,571779,2002234N11221,EP,CP,ALIKA,12.7,-153.8,50,998,2002,8,25,2002/08/25 04:00:00+00
571779,571780,2002234N11221,EP,CP,ALIKA,12.59,-154.45,50,998,2002,8,25,2002/08/25 04:00:00+00
571780,571781,2002234N11221,EP,CP,ALIKA,12.5,-155.1,50,998,2002,8,25,2002/08/25 04:00:00+00
571781,571782,2002234N11221,EP,CP,ALIKA,12.49,-155.71,50,998,2002,8,25,2002/08/25 04:00:00+00
571782,571783,2002234N11221,EP,CP,ALIKA,12.53,-156.3,50,998,2002,8,26,2002/08/26 04:00:00+00
571783,571784,2002234N11221,EP,CP,ALIKA,12.6,-156.88,47,999,2002,8,26,2002/08/26 04:00:00+00
571784,571785,2002234N11221,EP,CP,ALIKA,12.73,-157.5,45,1000,2002,8,26,2002/08/26 04:00:00+00
571785,571786,2002234N11221,EP,CP,ALIKA,12.95,-158.18,45,1000,2002,8,26,2002/08/26 04:00:00+00
571786,571787,2002234N11221,EP,CP,ALIKA,13.27,-158.9,45,1000,2002,8,26,2002/08/26 04:00:00+00
571787,571788,2002234N11221,EP,CP,ALIKA,13.65,-159.63,40,1002,2002,8,26,2002/08/26 04:00:00+00
571788,571789,2002234N11221,EP,CP,ALIKA,14.07,-160.4,35,1004,2002,8,26,2002/08/26 04:00:00+00
571789,571790,2002234N11221,EP,CP,ALIKA,14.47,-161.26,32,1007,2002,8,26,2002/08/26 04:00:00+00
571790,571791,2002234N11221,EP,CP,ALIKA,14.83,-162.1,30,1010,2002,8,27,2002/08/27 04:00:00+00
571791,571792,2002234N11221,EP,CP,ALIKA,15.15,-162.76,30,1009,2002,8,27,2002/08/27 04:00:00+00
571792,571793,2002234N11221,EP,CP,ALIKA,15.4,-163.4,30,1009,2002,8,27,2002/08/27 04:00:00+00
571793,571794,2002234N11221,EP,CP,ALIKA,15.56,-164.18,30,1009,2002,8,27,2002/08/27 04:00:00+00
571794,571795,2002234N11221,EP,CP,ALIKA,15.67,-165.0,30,1010,2002,8,27,2002/08/27 04:00:00+00
571795,571796,2002234N11221,EP,CP,ALIKA,15.77,-165.84,27,1009,2002,8,27,2002/08/27 04:00:00+00
571796,571797,2002234N11221,EP,CP,ALIKA,15.85,-166.56,25,1009,2002,8,27,2002/08/27 04:00:00+00
571797,571798,2002234N11221,EP,CP,ALIKA,15.94,-167.14,25,1009,2002,8,27,2002/08/27 04:00:00+00
571798,571799,2002234N11221,EP,CP,ALIKA,16.03,-167.7,25,1009,2002,8,28,2002/08/28 04:00:00+00
571799,571800,2002234N11221,EP,CP,ALIKA,16.1,-168.18,25,1009,2002,8,28,2002/08/28 04:00:00+00
