Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
338550,338551,1969231S09069,SI,MM,ALINE,-9.2,69.1,0,0,1969,8,18,1969/08/18 04:00:00+00
338551,338552,1969231S09069,SI,MM,ALINE,-9.4,68.76,0,0,1969,8,18,1969/08/18 04:00:00+00
338552,338553,1969231S09069,SI,MM,ALINE,-9.58,68.41,0,0,1969,8,19,1969/08/19 04:00:00+00
338553,338554,1969231S09069,SI,MM,ALINE,-9.71,68.03,0,0,1969,8,19,1969/08/19 04:00:00+00
338554,338555,1969231S09069,SI,MM,ALINE,-9.7,67.63,0,0,1969,8,19,1969/08/19 04:00:00+00
338555,338556,1969231S09069,SI,MM,ALINE,-9.66,67.1,0,0,1969,8,19,1969/08/19 04:00:00+00
338556,338557,1969231S09069,SI,MM,ALINE,-9.61,66.46,0,0,1969,8,19,1969/08/19 04:00:00+00
338557,338558,1969231S09069,SI,MM,ALINE,-9.58,65.72,0,0,1969,8,19,1969/08/19 04:00:00+00
338558,338559,1969231S09069,SI,MM,ALINE,-9.6,65.02,0,0,1969,8,19,1969/08/19 04:00:00+00
338559,338560,1969231S09069,SI,MM,ALINE,-9.6,64.49,0,0,1969,8,19,1969/08/19 04:00:00+00
338560,338561,1969231S09069,SI,MM,ALINE,-9.59,63.97,0,0,1969,8,20,1969/08/20 04:00:00+00
338561,338562,1969231S09069,SI,MM,ALINE,-9.58,63.34,0,0,1969,8,20,1969/08/20 04:00:00+00
338562,338563,1969231S09069,SI,MM,ALINE,-9.6,62.6,0,0,1969,8,20,1969/08/20 04:00:00+00
338563,338564,1969231S09069,SI,MM,ALINE,-9.69,61.74,0,0,1969,8,20,1969/08/20 04:00:00+00
338564,338565,1969231S09069,SI,MM,ALINE,-9.83,60.8,0,0,1969,8,20,1969/08/20 04:00:00+00
338565,338566,1969231S09069,SI,MM,ALINE,-9.99,59.84,0,0,1969,8,20,1969/08/20 04:00:00+00
338566,338567,1969231S09069,SI,MM,ALINE,-10.2,58.86,0,0,1969,8,20,1969/08/20 04:00:00+00
338567,338568,1969231S09069,SI,MM,ALINE,-10.45,57.9,0,0,1969,8,20,1969/08/20 04:00:00+00
338568,338569,1969231S09069,SI,MM,ALINE,-10.75,56.92,0,0,1969,8,21,1969/08/21 04:00:00+00
338569,338570,1969231S09069,SI,MM,ALINE,-11.1,55.87,0,0,1969,8,21,1969/08/21 04:00:00+00
338570,338571,1969231S09069,SI,MM,ALINE,-11.38,54.88,0,0,1969,8,21,1969/08/21 04:00:00+00
338571,338572,1969231S09069,SI,MM,ALINE,-11.49,54.08,0,0,1969,8,21,1969/08/21 04:00:00+00
338572,338573,1969231S09069,SI,MM,ALINE,-11.4,53.16,0,0,1969,8,21,1969/08/21 04:00:00+00
338573,338574,1969231S09069,SI,MM,ALINE,-11.2,52.16,0,0,1969,8,21,1969/08/21 04:00:00+00
338574,338575,1969231S09069,SI,MM,ALINE,-10.89,51.14,0,0,1969,8,21,1969/08/21 04:00:00+00
338575,338576,1969231S09069,SI,MM,ALINE,-10.46,50.1,0,0,1969,8,21,1969/08/21 04:00:00+00
338576,338577,1969231S09069,SI,MM,ALINE,-10.2,49.5,0,0,1969,8,22,1969/08/22 04:00:00+00
338577,338578,1969231S09069,SI,MM,ALINE,-9.95,48.9,0,0,1969,8,22,1969/08/22 04:00:00+00
