Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
224498,224499,1949317N09158,WP,MM,ALLYN,9.1,158.2,30,0,1949,11,13,1949/11/13 05:00:00+00
224499,224500,1949317N09158,WP,MM,ALLYN,9.1,157.8,30,0,1949,11,13,1949/11/13 05:00:00+00
224500,224501,1949317N09158,WP,MM,ALLYN,9.1,157.4,30,0,1949,11,13,1949/11/13 05:00:00+00
224501,224502,1949317N09158,WP,MM,ALLYN,9.1,157.01,32,0,1949,11,13,1949/11/13 05:00:00+00
224502,224503,1949317N09158,WP,MM,ALLYN,9.1,156.6,35,0,1949,11,13,1949/11/13 05:00:00+00
224503,224504,1949317N09158,WP,MM,ALLYN,9.1,156.16,40,0,1949,11,13,1949/11/13 05:00:00+00
224504,224505,1949317N09158,WP,MM,ALLYN,9.09,155.71,45,0,1949,11,13,1949/11/13 05:00:00+00
224505,224506,1949317N09158,WP,MM,ALLYN,9.09,155.31,50,0,1949,11,13,1949/11/13 05:00:00+00
224506,224507,1949317N09158,WP,MM,ALLYN,9.1,154.9,55,0,1949,11,14,1949/11/14 05:00:00+00
224507,224508,1949317N09158,WP,MM,ALLYN,9.14,154.45,57,0,1949,11,14,1949/11/14 05:00:00+00
224508,224509,1949317N09158,WP,MM,ALLYN,9.14,154.0,60,0,1949,11,14,1949/11/14 05:00:00+00
224509,224510,1949317N09158,WP,MM,ALLYN,9.19,153.58,62,0,1949,11,14,1949/11/14 05:00:00+00
224510,224511,1949317N09158,WP,MM,ALLYN,9.26,153.23,65,0,1949,11,14,1949/11/14 05:00:00+00
224511,224512,1949317N09158,WP,MM,ALLYN,9.33,152.97,67,0,1949,11,14,1949/11/14 05:00:00+00
224512,224513,1949317N09158,WP,MM,ALLYN,9.44,152.74,70,0,1949,11,14,1949/11/14 05:00:00+00
224513,224514,1949317N09158,WP,MM,ALLYN,9.57,152.45,70,0,1949,11,14,1949/11/14 05:00:00+00
224514,224515,1949317N09158,WP,MM,ALLYN,9.68,152.18,70,0,1949,11,15,1949/11/15 05:00:00+00
224515,224516,1949317N09158,WP,MM,ALLYN,9.77,151.99,85,0,1949,11,15,1949/11/15 05:00:00+00
224516,224517,1949317N09158,WP,MM,ALLYN,9.84,151.83,100,0,1949,11,15,1949/11/15 05:00:00+00
224517,224518,1949317N09158,WP,MM,ALLYN,9.91,151.64,102,0,1949,11,15,1949/11/15 05:00:00+00
224518,224519,1949317N09158,WP,MM,ALLYN,9.98,151.42,105,0,1949,11,15,1949/11/15 05:00:00+00
224519,224520,1949317N09158,WP,MM,ALLYN,10.08,151.16,105,0,1949,11,15,1949/11/15 05:00:00+00
