Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
313247,313248,1965355S09134,SI,WA,AMANDA:GISELE,-9.4,133.9,0,0,1965,12,20,1965/12/20 05:00:00+00
313248,313249,1965355S09134,SI,WA,AMANDA:GISELE,-9.65,133.96,0,0,1965,12,20,1965/12/20 05:00:00+00
313249,313250,1965355S09134,SI,WA,AMANDA:GISELE,-9.7,134.08,0,0,1965,12,21,1965/12/21 05:00:00+00
313250,313251,1965355S09134,SI,WA,AMANDA:GISELE,-9.94,134.53,0,0,1965,12,21,1965/12/21 05:00:00+00
313251,313252,1965355S09134,SI,WA,AMANDA:GISELE,-10.19,134.79,0,0,1965,12,21,1965/12/21 05:00:00+00
313252,313253,1965355S09134,SI,WA,AMANDA:GISELE,-10.23,134.84,0,0,1965,12,21,1965/12/21 05:00:00+00
313253,313254,1965355S09134,SI,WA,AMANDA:GISELE,-10.62,134.79,0,0,1965,12,21,1965/12/21 05:00:00+00
313254,313255,1965355S09134,SI,WA,AMANDA:GISELE,-10.86,134.76,0,0,1965,12,21,1965/12/21 05:00:00+00
313255,313256,1965355S09134,SI,WA,AMANDA:GISELE,-10.91,134.77,0,0,1965,12,21,1965/12/21 05:00:00+00
313256,313257,1965355S09134,SI,WA,AMANDA:GISELE,-10.96,134.8,0,0,1965,12,21,1965/12/21 05:00:00+00
313257,313258,1965355S09134,SP,EA,AMANDA:GISELE,-11.16,135.26,0,0,1965,12,21,1965/12/21 05:00:00+00
313258,313259,1965355S09134,SP,EA,AMANDA:GISELE,-11.27,135.88,0,0,1965,12,21,1965/12/21 05:00:00+00
313259,313260,1965355S09134,SP,EA,AMANDA:GISELE,-11.39,136.43,0,0,1965,12,21,1965/12/21 05:00:00+00
313260,313261,1965355S09134,SP,EA,AMANDA:GISELE,-11.42,136.78,0,0,1965,12,21,1965/12/21 05:00:00+00
313261,313262,1965355S09134,SP,EA,AMANDA:GISELE,-11.41,136.86,0,0,1965,12,21,1965/12/21 05:00:00+00
313262,313263,1965355S09134,SP,EA,AMANDA:GISELE,-11.39,136.94,0,0,1965,12,22,1965/12/22 05:00:00+00
313263,313264,1965355S09134,SP,EA,AMANDA:GISELE,-11.14,137.44,0,0,1965,12,22,1965/12/22 05:00:00+00
313264,313265,1965355S09134,SP,EA,AMANDA:GISELE,-10.84,137.81,0,0,1965,12,22,1965/12/22 05:00:00+00
313265,313266,1965355S09134,SP,EA,AMANDA:GISELE,-10.67,137.95,0,0,1965,12,22,1965/12/22 05:00:00+00
313266,313267,1965355S09134,SP,EA,AMANDA:GISELE,-10.6,138.03,0,0,1965,12,22,1965/12/22 05:00:00+00
313267,313268,1965355S09134,SP,EA,AMANDA:GISELE,-10.58,138.09,0,0,1965,12,22,1965/12/22 05:00:00+00
313268,313269,1965355S09134,SP,EA,AMANDA:GISELE,-10.56,138.25,0,0,1965,12,22,1965/12/22 05:00:00+00
313269,313270,1965355S09134,SP,EA,AMANDA:GISELE,-10.63,138.41,0,0,1965,12,22,1965/12/22 05:00:00+00
313270,313271,1965355S09134,SP,EA,AMANDA:GISELE,-10.87,138.69,0,0,1965,12,22,1965/12/22 05:00:00+00
