Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
679526,679527,2019337S04065,SI,MM,AMBALI,-3.9,65.4,15,1009,2019,12,3,2019/12/03 05:00:00+00
679527,679528,2019337S04065,SI,MM,AMBALI,-4.02,65.26,17,1007,2019,12,3,2019/12/03 05:00:00+00
679528,679529,2019337S04065,SI,MM,AMBALI,-4.15,65.15,20,1005,2019,12,3,2019/12/03 05:00:00+00
679529,679530,2019337S04065,SI,MM,AMBALI,-4.3,65.09,22,1003,2019,12,3,2019/12/03 05:00:00+00
679530,679531,2019337S04065,SI,MM,AMBALI,-4.5,65.05,25,1002,2019,12,3,2019/12/03 05:00:00+00
679531,679532,2019337S04065,SI,MM,AMBALI,-4.77,64.98,25,1002,2019,12,3,2019/12/03 05:00:00+00
679532,679533,2019337S04065,SI,MM,AMBALI,-5.1,64.9,25,1003,2019,12,4,2019/12/04 05:00:00+00
679533,679534,2019337S04065,SI,MM,AMBALI,-5.43,64.83,27,1003,2019,12,4,2019/12/04 05:00:00+00
679534,679535,2019337S04065,SI,MM,AMBALI,-5.8,64.75,30,1003,2019,12,4,2019/12/04 05:00:00+00
679535,679536,2019337S04065,SI,MM,AMBALI,-6.22,64.69,30,1003,2019,12,4,2019/12/04 05:00:00+00
679536,679537,2019337S04065,SI,MM,AMBALI,-6.65,64.6,30,1004,2019,12,4,2019/12/04 05:00:00+00
679537,679538,2019337S04065,SI,MM,AMBALI,-7.01,64.45,32,1005,2019,12,4,2019/12/04 05:00:00+00
679538,679539,2019337S04065,SI,MM,AMBALI,-7.35,64.25,35,1006,2019,12,4,2019/12/04 05:00:00+00
679539,679540,2019337S04065,SI,MM,AMBALI,-7.74,64.04,37,1005,2019,12,4,2019/12/04 05:00:00+00
679540,679541,2019337S04065,SI,MM,AMBALI,-8.1,63.8,40,1004,2019,12,5,2019/12/05 05:00:00+00
679541,679542,2019337S04065,SI,MM,AMBALI,-8.39,63.53,47,999,2019,12,5,2019/12/05 05:00:00+00
679542,679543,2019337S04065,SI,MM,AMBALI,-8.65,63.25,55,994,2019,12,5,2019/12/05 05:00:00+00
679543,679544,2019337S04065,SI,MM,AMBALI,-8.94,62.98,62,990,2019,12,5,2019/12/05 05:00:00+00
679544,679545,2019337S04065,SI,MM,AMBALI,-9.25,62.75,70,986,2019,12,5,2019/12/05 05:00:00+00
679545,679546,2019337S04065,SI,MM,AMBALI,-9.64,62.55,95,966,2019,12,5,2019/12/05 05:00:00+00
679546,679547,2019337S04065,SI,MM,AMBALI,-10.0,62.4,120,947,2019,12,5,2019/12/05 05:00:00+00
679547,679548,2019337S04065,SI,MM,AMBALI,-10.22,62.28,135,932,2019,12,5,2019/12/05 05:00:00+00
679548,679549,2019337S04065,SI,MM,AMBALI,-10.4,62.2,140,918,2019,12,6,2019/12/06 05:00:00+00
679549,679550,2019337S04065,SI,MM,AMBALI,-10.6,62.2,130,931,2019,12,6,2019/12/06 05:00:00+00
679550,679551,2019337S04065,SI,MM,AMBALI,-10.8,62.25,120,944,2019,12,6,2019/12/06 05:00:00+00
679551,679552,2019337S04065,SI,MM,AMBALI,-11.0,62.26,110,953,2019,12,6,2019/12/06 05:00:00+00
679552,679553,2019337S04065,SI,MM,AMBALI,-11.2,62.3,100,962,2019,12,6,2019/12/06 05:00:00+00
679553,679554,2019337S04065,SI,MM,AMBALI,-11.37,62.43,92,969,2019,12,6,2019/12/06 05:00:00+00
679554,679555,2019337S04065,SI,MM,AMBALI,-11.55,62.6,85,976,2019,12,6,2019/12/06 05:00:00+00
679555,679556,2019337S04065,SI,MM,AMBALI,-11.79,62.79,80,979,2019,12,6,2019/12/06 05:00:00+00
679556,679557,2019337S04065,SI,MM,AMBALI,-12.0,62.95,75,983,2019,12,7,2019/12/07 05:00:00+00
679557,679558,2019337S04065,SI,MM,AMBALI,-12.1,63.06,67,987,2019,12,7,2019/12/07 05:00:00+00
679558,679559,2019337S04065,SI,MM,AMBALI,-12.2,63.1,60,992,2019,12,7,2019/12/07 05:00:00+00
679559,679560,2019337S04065,SI,MM,AMBALI,-12.43,63.09,52,995,2019,12,7,2019/12/07 05:00:00+00
679560,679561,2019337S04065,SI,MM,AMBALI,-12.66,62.93,45,998,2019,12,7,2019/12/07 05:00:00+00
679561,679562,2019337S04065,SI,MM,AMBALI,-12.81,62.54,35,1003,2019,12,7,2019/12/07 05:00:00+00
679562,679563,2019337S04065,SI,MM,AMBALI,-12.88,61.98,25,1009,2019,12,7,2019/12/07 05:00:00+00
679563,679564,2019337S04065,SI,MM,AMBALI,-12.82,61.3,0,0,2019,12,7,2019/12/07 05:00:00+00
679564,679565,2019337S04065,SI,MM,AMBALI,-12.9,60.9,0,0,2019,12,8,2019/12/08 05:00:00+00
679565,679566,2019337S04065,SI,MM,AMBALI,-12.91,60.65,0,0,2019,12,8,2019/12/08 05:00:00+00
679566,679567,2019337S04065,SI,MM,AMBALI,-12.9,60.5,0,0,2019,12,8,2019/12/08 05:00:00+00
679567,679568,2019337S04065,SI,MM,AMBALI,-12.88,60.38,0,0,2019,12,8,2019/12/08 05:00:00+00
679568,679569,2019337S04065,SI,MM,AMBALI,-12.9,60.3,0,0,2019,12,8,2019/12/08 05:00:00+00
679569,679570,2019337S04065,SI,MM,AMBALI,-13.02,60.26,0,0,2019,12,8,2019/12/08 05:00:00+00
679570,679571,2019337S04065,SI,MM,AMBALI,-13.2,60.2,0,0,2019,12,8,2019/12/08 05:00:00+00
679571,679572,2019337S04065,SI,MM,AMBALI,-13.38,60.06,0,0,2019,12,8,2019/12/08 05:00:00+00
679572,679573,2019337S04065,SI,MM,AMBALI,-13.6,59.9,0,0,2019,12,9,2019/12/09 05:00:00+00
679573,679574,2019337S04065,SI,MM,AMBALI,-13.84,59.75,0,0,2019,12,9,2019/12/09 05:00:00+00
