Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
457577,457578,1986156N26284,,,ANDREW,26.2,-75.8,30,1007,1986,6,5,1986/06/05 04:00:00+00
457578,457579,1986156N26284,,,ANDREW,26.81,-75.88,30,1006,1986,6,5,1986/06/05 04:00:00+00
457579,457580,1986156N26284,,,ANDREW,27.4,-76.0,30,1006,1986,6,5,1986/06/05 04:00:00+00
457580,457581,1986156N26284,,,ANDREW,27.94,-76.17,30,1005,1986,6,5,1986/06/05 04:00:00+00
457581,457582,1986156N26284,,,ANDREW,28.4,-76.4,30,1005,1986,6,5,1986/06/05 04:00:00+00
457582,457583,1986156N26284,,,ANDREW,28.78,-76.69,30,1004,1986,6,5,1986/06/05 04:00:00+00
457583,457584,1986156N26284,,,ANDREW,29.1,-77.0,30,1003,1986,6,5,1986/06/05 04:00:00+00
457584,457585,1986156N26284,,,ANDREW,29.41,-77.27,32,1002,1986,6,5,1986/06/05 04:00:00+00
457585,457586,1986156N26284,,,ANDREW,29.7,-77.5,35,1002,1986,6,6,1986/06/06 04:00:00+00
457586,457587,1986156N26284,,,ANDREW,29.96,-77.67,37,1002,1986,6,6,1986/06/06 04:00:00+00
457587,457588,1986156N26284,,,ANDREW,30.2,-77.8,40,1003,1986,6,6,1986/06/06 04:00:00+00
457588,457589,1986156N26284,,,ANDREW,30.43,-77.93,42,1004,1986,6,6,1986/06/06 04:00:00+00
457589,457590,1986156N26284,,,ANDREW,30.7,-78.0,45,1005,1986,6,6,1986/06/06 04:00:00+00
457590,457591,1986156N26284,,,ANDREW,31.05,-77.97,45,1004,1986,6,6,1986/06/06 04:00:00+00
457591,457592,1986156N26284,,,ANDREW,31.4,-77.9,45,1004,1986,6,6,1986/06/06 04:00:00+00
457592,457593,1986156N26284,,,ANDREW,31.63,-77.91,45,1003,1986,6,6,1986/06/06 04:00:00+00
457593,457594,1986156N26284,,,ANDREW,31.9,-77.8,45,1003,1986,6,7,1986/06/07 04:00:00+00
457594,457595,1986156N26284,,,ANDREW,32.33,-77.41,45,1002,1986,6,7,1986/06/07 04:00:00+00
457595,457596,1986156N26284,,,ANDREW,32.8,-76.9,45,1001,1986,6,7,1986/06/07 04:00:00+00
457596,457597,1986156N26284,,,ANDREW,33.21,-76.46,45,1000,1986,6,7,1986/06/07 04:00:00+00
457597,457598,1986156N26284,,,ANDREW,33.6,-76.0,45,999,1986,6,7,1986/06/07 04:00:00+00
457598,457599,1986156N26284,,,ANDREW,33.94,-75.51,45,999,1986,6,7,1986/06/07 04:00:00+00
457599,457600,1986156N26284,,,ANDREW,34.3,-75.0,45,1000,1986,6,7,1986/06/07 04:00:00+00
457600,457601,1986156N26284,,,ANDREW,34.72,-74.46,45,1001,1986,6,7,1986/06/07 04:00:00+00
457601,457602,1986156N26284,,,ANDREW,35.2,-73.9,45,1002,1986,6,8,1986/06/08 04:00:00+00
457602,457603,1986156N26284,,,ANDREW,35.7,-73.34,45,1002,1986,6,8,1986/06/08 04:00:00+00
457603,457604,1986156N26284,,,ANDREW,36.3,-72.7,45,1002,1986,6,8,1986/06/08 04:00:00+00
457604,457605,1986156N26284,,,ANDREW,37.05,-71.92,42,1002,1986,6,8,1986/06/08 04:00:00+00
457605,457606,1986156N26284,,,ANDREW,37.9,-71.0,40,1002,1986,6,8,1986/06/08 04:00:00+00
457606,457607,1986156N26284,,,ANDREW,38.75,-69.98,37,1001,1986,6,8,1986/06/08 04:00:00+00
499961,499962,1992230N11325,,,ANDREW,10.8,-35.5,25,1010,1992,8,16,1992/08/16 04:00:00+00
499962,499963,1992230N11325,,,ANDREW,10.99,-36.42,27,1009,1992,8,16,1992/08/16 04:00:00+00
499963,499964,1992230N11325,,,ANDREW,11.2,-37.4,30,1009,1992,8,17,1992/08/17 04:00:00+00
