Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
622380,622381,2010302S08098,SI,WA,ANGGREK,-7.6,97.5,20,1007,2010,10,29,2010/10/29 04:00:00+00
622381,622382,2010302S08098,SI,WA,ANGGREK,-7.47,97.31,22,1005,2010,10,29,2010/10/29 04:00:00+00
622382,622383,2010302S08098,SI,WA,ANGGREK,-7.4,97.1,25,1004,2010,10,29,2010/10/29 04:00:00+00
622383,622384,2010302S08098,SI,WA,ANGGREK,-7.43,96.85,27,1002,2010,10,29,2010/10/29 04:00:00+00
622384,622385,2010302S08098,SI,WA,ANGGREK,-7.5,96.6,30,1000,2010,10,29,2010/10/29 04:00:00+00
622385,622386,2010302S08098,SI,WA,ANGGREK,-7.5,96.5,30,1000,2010,10,29,2010/10/29 04:00:00+00
622386,622387,2010302S08098,SI,WA,ANGGREK,-7.51,96.4,30,1000,2010,10,29,2010/10/29 04:00:00+00
622387,622388,2010302S08098,SI,WA,ANGGREK,-7.56,96.24,30,1000,2010,10,30,2010/10/30 04:00:00+00
622388,622389,2010302S08098,SI,WA,ANGGREK,-7.61,96.1,30,1000,2010,10,30,2010/10/30 04:00:00+00
622389,622390,2010302S08098,SI,WA,ANGGREK,-7.7,95.95,30,1000,2010,10,30,2010/10/30 04:00:00+00
622390,622391,2010302S08098,SI,WA,ANGGREK,-7.76,95.86,30,1000,2010,10,30,2010/10/30 04:00:00+00
622391,622392,2010302S08098,SI,WA,ANGGREK,-7.78,95.82,30,1000,2010,10,30,2010/10/30 04:00:00+00
622392,622393,2010302S08098,SI,WA,ANGGREK,-7.79,95.81,30,1000,2010,10,30,2010/10/30 04:00:00+00
622393,622394,2010302S08098,SI,WA,ANGGREK,-7.8,95.8,30,1000,2010,10,30,2010/10/30 04:00:00+00
622394,622395,2010302S08098,SI,WA,ANGGREK,-7.91,95.83,32,998,2010,10,30,2010/10/30 04:00:00+00
622395,622396,2010302S08098,SI,WA,ANGGREK,-8.05,95.9,35,996,2010,10,30,2010/10/30 04:00:00+00
622396,622397,2010302S08098,SI,WA,ANGGREK,-8.16,95.97,37,994,2010,10,30,2010/10/30 04:00:00+00
622397,622398,2010302S08098,SI,WA,ANGGREK,-8.23,96.03,39,993,2010,10,30,2010/10/30 04:00:00+00
622398,622399,2010302S08098,SI,WA,ANGGREK,-8.25,96.05,40,993,2010,10,31,2010/10/31 04:00:00+00
622399,622400,2010302S08098,SI,WA,ANGGREK,-8.34,96.14,40,993,2010,10,31,2010/10/31 04:00:00+00
