Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
290553,290554,1962229N15247,EP,MM,AVA,15.0,-113.0,45,0,1962,8,16,1962/08/16 04:00:00+00
290554,290555,1962229N15247,EP,MM,AVA,15.2,-113.36,45,0,1962,8,16,1962/08/16 04:00:00+00
290555,290556,1962229N15247,EP,MM,AVA,15.4,-113.7,45,0,1962,8,16,1962/08/16 04:00:00+00
290556,290557,1962229N15247,EP,MM,AVA,15.61,-114.01,45,0,1962,8,16,1962/08/16 04:00:00+00
290557,290558,1962229N15247,EP,MM,AVA,15.8,-114.3,45,0,1962,8,17,1962/08/17 04:00:00+00
290558,290559,1962229N15247,EP,MM,AVA,15.95,-114.56,45,0,1962,8,17,1962/08/17 04:00:00+00
290559,290560,1962229N15247,EP,MM,AVA,16.11,-114.8,45,0,1962,8,17,1962/08/17 04:00:00+00
290560,290561,1962229N15247,EP,MM,AVA,16.29,-115.03,45,0,1962,8,17,1962/08/17 04:00:00+00
290561,290562,1962229N15247,EP,MM,AVA,16.5,-115.3,45,0,1962,8,17,1962/08/17 04:00:00+00
290562,290563,1962229N15247,EP,MM,AVA,16.74,-115.68,45,0,1962,8,17,1962/08/17 04:00:00+00
290563,290564,1962229N15247,EP,MM,AVA,16.99,-116.09,45,0,1962,8,17,1962/08/17 04:00:00+00
290564,290565,1962229N15247,EP,MM,AVA,17.24,-116.48,45,0,1962,8,17,1962/08/17 04:00:00+00
290565,290566,1962229N15247,EP,MM,AVA,17.5,-116.8,45,0,1962,8,18,1962/08/18 04:00:00+00
290566,290567,1962229N15247,EP,MM,AVA,17.79,-117.03,45,0,1962,8,18,1962/08/18 04:00:00+00
290567,290568,1962229N15247,EP,MM,AVA,18.1,-117.2,45,0,1962,8,18,1962/08/18 04:00:00+00
290568,290569,1962229N15247,EP,MM,AVA,18.4,-117.36,45,0,1962,8,18,1962/08/18 04:00:00+00
290569,290570,1962229N15247,EP,MM,AVA,18.7,-117.5,45,0,1962,8,18,1962/08/18 04:00:00+00
290570,290571,1962229N15247,EP,MM,AVA,19.0,-117.65,45,0,1962,8,18,1962/08/18 04:00:00+00
290571,290572,1962229N15247,EP,MM,AVA,19.3,-117.81,45,0,1962,8,18,1962/08/18 04:00:00+00
290572,290573,1962229N15247,EP,MM,AVA,19.64,-118.02,45,0,1962,8,18,1962/08/18 04:00:00+00
290573,290574,1962229N15247,EP,MM,AVA,20.0,-118.2,45,0,1962,8,19,1962/08/19 04:00:00+00
290574,290575,1962229N15247,EP,MM,AVA,20.39,-118.32,45,0,1962,8,19,1962/08/19 04:00:00+00
290575,290576,1962229N15247,EP,MM,AVA,20.8,-118.41,45,0,1962,8,19,1962/08/19 04:00:00+00
290576,290577,1962229N15247,EP,MM,AVA,21.21,-118.5,45,0,1962,8,19,1962/08/19 04:00:00+00
290577,290578,1962229N15247,EP,MM,AVA,21.6,-118.6,45,0,1962,8,19,1962/08/19 04:00:00+00
290578,290579,1962229N15247,EP,MM,AVA,21.96,-118.7,45,0,1962,8,19,1962/08/19 04:00:00+00
290579,290580,1962229N15247,EP,MM,AVA,22.3,-118.8,45,0,1962,8,19,1962/08/19 04:00:00+00
290580,290581,1962229N15247,EP,MM,AVA,22.61,-118.9,45,0,1962,8,19,1962/08/19 04:00:00+00
309543,309544,1965180N15250,EP,MM,AVA,15.1,-109.7,45,0,1965,6,29,1965/06/29 04:00:00+00
309544,309545,1965180N15250,EP,MM,AVA,15.15,-110.26,45,0,1965,6,29,1965/06/29 04:00:00+00
309545,309546,1965180N15250,EP,MM,AVA,15.21,-110.79,45,0,1965,6,29,1965/06/29 04:00:00+00
309546,309547,1965180N15250,EP,MM,AVA,15.3,-111.31,45,0,1965,6,29,1965/06/29 04:00:00+00
309547,309548,1965180N15250,EP,MM,AVA,15.4,-111.8,45,0,1965,6,29,1965/06/29 04:00:00+00
309548,309549,1965180N15250,EP,MM,AVA,15.49,-112.3,35,0,1965,6,29,1965/06/29 04:00:00+00
309549,309550,1965180N15250,EP,MM,AVA,15.59,-112.79,25,0,1965,6,29,1965/06/29 04:00:00+00
309550,309551,1965180N15250,EP,MM,AVA,15.67,-113.25,25,0,1965,6,29,1965/06/29 04:00:00+00
309551,309552,1965180N15250,EP,MM,AVA,15.8,-113.7,25,0,1965,6,30,1965/06/30 04:00:00+00
309552,309553,1965180N15250,EP,MM,AVA,16.02,-114.2,25,0,1965,6,30,1965/06/30 04:00:00+00
309553,309554,1965180N15250,EP,MM,AVA,16.29,-114.71,25,0,1965,6,30,1965/06/30 04:00:00+00
309554,309555,1965180N15250,EP,MM,AVA,16.55,-115.23,25,0,1965,6,30,1965/06/30 04:00:00+00
309555,309556,1965180N15250,EP,MM,AVA,16.8,-115.7,25,0,1965,6,30,1965/06/30 04:00:00+00
309556,309557,1965180N15250,EP,MM,AVA,17.01,-116.07,35,0,1965,6,30,1965/06/30 04:00:00+00
309557,309558,1965180N15250,EP,MM,AVA,17.21,-116.4,45,0,1965,6,30,1965/06/30 04:00:00+00
309558,309559,1965180N15250,EP,MM,AVA,17.42,-116.74,45,0,1965,6,30,1965/06/30 04:00:00+00
309559,309560,1965180N15250,EP,MM,AVA,17.6,-117.1,45,0,1965,7,1,1965/07/01 04:00:00+00
309560,309561,1965180N15250,EP,MM,AVA,17.72,-117.53,45,0,1965,7,1,1965/07/01 04:00:00+00
309561,309562,1965180N15250,EP,MM,AVA,17.8,-117.99,45,0,1965,7,1,1965/07/01 04:00:00+00
309562,309563,1965180N15250,EP,MM,AVA,17.86,-118.44,45,0,1965,7,1,1965/07/01 04:00:00+00
309563,309564,1965180N15250,EP,MM,AVA,17.9,-118.9,45,0,1965,7,1,1965/07/01 04:00:00+00
309564,309565,1965180N15250,EP,MM,AVA,17.96,-119.39,45,0,1965,7,1,1965/07/01 04:00:00+00
309565,309566,1965180N15250,EP,MM,AVA,18.0,-119.89,45,0,1965,7,1,1965/07/01 04:00:00+00
309566,309567,1965180N15250,EP,MM,AVA,18.01,-120.35,45,0,1965,7,1,1965/07/01 04:00:00+00
309567,309568,1965180N15250,EP,MM,AVA,18.0,-120.8,45,0,1965,7,2,1965/07/02 04:00:00+00
309568,309569,1965180N15250,EP,MM,AVA,18.0,-121.25,45,0,1965,7,2,1965/07/02 04:00:00+00
309569,309570,1965180N15250,EP,MM,AVA,17.99,-121.71,45,0,1965,7,2,1965/07/02 04:00:00+00
309570,309571,1965180N15250,EP,MM,AVA,17.95,-122.16,45,0,1965,7,2,1965/07/02 04:00:00+00
309571,309572,1965180N15250,EP,MM,AVA,17.9,-122.6,45,0,1965,7,2,1965/07/02 04:00:00+00
309572,309573,1965180N15250,EP,MM,AVA,17.85,-123.01,45,0,1965,7,2,1965/07/02 04:00:00+00
309573,309574,1965180N15250,EP,MM,AVA,17.8,-123.39,45,0,1965,7,2,1965/07/02 04:00:00+00
309574,309575,1965180N15250,EP,MM,AVA,17.76,-123.74,45,0,1965,7,2,1965/07/02 04:00:00+00
309575,309576,1965180N15250,EP,MM,AVA,17.7,-124.1,45,0,1965,7,3,1965/07/03 04:00:00+00
309576,309577,1965180N15250,EP,MM,AVA,17.61,-124.53,45,0,1965,7,3,1965/07/03 04:00:00+00
309577,309578,1965180N15250,EP,MM,AVA,17.5,-125.0,45,0,1965,7,3,1965/07/03 04:00:00+00
309578,309579,1965180N15250,EP,MM,AVA,17.4,-125.5,35,0,1965,7,3,1965/07/03 04:00:00+00
309579,309580,1965180N15250,EP,MM,AVA,17.3,-126.0,25,0,1965,7,3,1965/07/03 04:00:00+00
309580,309581,1965180N15250,EP,MM,AVA,17.2,-126.5,25,0,1965,7,3,1965/07/03 04:00:00+00
309581,309582,1965180N15250,EP,MM,AVA,17.11,-127.0,25,0,1965,7,3,1965/07/03 04:00:00+00
309582,309583,1965180N15250,EP,MM,AVA,17.05,-127.46,25,0,1965,7,3,1965/07/03 04:00:00+00
309583,309584,1965180N15250,EP,MM,AVA,17.0,-127.9,25,0,1965,7,4,1965/07/04 04:00:00+00
309584,309585,1965180N15250,EP,MM,AVA,16.95,-128.31,25,0,1965,7,4,1965/07/04 04:00:00+00
309585,309586,1965180N15250,EP,MM,AVA,16.89,-128.7,25,0,1965,7,4,1965/07/04 04:00:00+00
309586,309587,1965180N15250,EP,MM,AVA,16.8,-129.05,25,0,1965,7,4,1965/07/04 04:00:00+00
309587,309588,1965180N15250,EP,MM,AVA,16.7,-129.4,25,0,1965,7,4,1965/07/04 04:00:00+00
309588,309589,1965180N15250,EP,MM,AVA,16.6,-129.75,25,0,1965,7,4,1965/07/04 04:00:00+00
