Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
503005,503006,1992292S09083,SI,MM,BABIE,-8.9,83.0,20,0,1992,10,17,1992/10/17 04:00:00+00
503006,503007,1992292S09083,SI,MM,BABIE,-9.0,82.85,20,0,1992,10,17,1992/10/17 04:00:00+00
503007,503008,1992292S09083,SI,MM,BABIE,-9.1,82.7,20,0,1992,10,17,1992/10/17 04:00:00+00
503008,503009,1992292S09083,SI,MM,BABIE,-9.19,82.54,22,0,1992,10,17,1992/10/17 04:00:00+00
503009,503010,1992292S09083,SI,MM,BABIE,-9.26,82.24,25,0,1992,10,18,1992/10/18 04:00:00+00
503010,503011,1992292S09083,SI,MM,BABIE,-9.37,82.06,25,0,1992,10,18,1992/10/18 04:00:00+00
503011,503012,1992292S09083,SI,MM,BABIE,-9.52,81.93,25,0,1992,10,18,1992/10/18 04:00:00+00
503012,503013,1992292S09083,SI,MM,BABIE,-9.67,81.82,27,0,1992,10,18,1992/10/18 04:00:00+00
503013,503014,1992292S09083,SI,MM,BABIE,-9.83,81.77,30,0,1992,10,18,1992/10/18 04:00:00+00
503014,503015,1992292S09083,SI,MM,BABIE,-10.0,81.73,30,0,1992,10,18,1992/10/18 04:00:00+00
503015,503016,1992292S09083,SI,MM,BABIE,-10.17,81.7,30,0,1992,10,18,1992/10/18 04:00:00+00
503016,503017,1992292S09083,SI,MM,BABIE,-10.32,81.67,32,0,1992,10,18,1992/10/18 04:00:00+00
503017,503018,1992292S09083,SI,MM,BABIE,-10.47,81.63,35,0,1992,10,19,1992/10/19 04:00:00+00
503018,503019,1992292S09083,SI,MM,BABIE,-10.63,81.57,35,0,1992,10,19,1992/10/19 04:00:00+00
503019,503020,1992292S09083,SI,MM,BABIE,-10.8,81.5,35,0,1992,10,19,1992/10/19 04:00:00+00
503020,503021,1992292S09083,SI,MM,BABIE,-10.95,81.45,37,0,1992,10,19,1992/10/19 04:00:00+00
503021,503022,1992292S09083,SI,MM,BABIE,-11.1,81.4,40,0,1992,10,19,1992/10/19 04:00:00+00
503022,503023,1992292S09083,SI,MM,BABIE,-11.3,81.35,40,0,1992,10,19,1992/10/19 04:00:00+00
503023,503024,1992292S09083,SI,MM,BABIE,-11.5,81.3,40,0,1992,10,19,1992/10/19 04:00:00+00
503024,503025,1992292S09083,SI,MM,BABIE,-11.65,81.25,42,0,1992,10,19,1992/10/19 04:00:00+00
503025,503026,1992292S09083,SI,MM,BABIE,-11.8,81.2,45,0,1992,10,20,1992/10/20 04:00:00+00
503026,503027,1992292S09083,SI,MM,BABIE,-11.96,81.16,45,0,1992,10,20,1992/10/20 04:00:00+00
503027,503028,1992292S09083,SI,MM,BABIE,-12.13,81.1,45,0,1992,10,20,1992/10/20 04:00:00+00
503028,503029,1992292S09083,SI,MM,BABIE,-12.34,81.04,45,0,1992,10,20,1992/10/20 04:00:00+00
503029,503030,1992292S09083,SI,MM,BABIE,-12.53,80.93,45,0,1992,10,20,1992/10/20 04:00:00+00
503030,503031,1992292S09083,SI,MM,BABIE,-12.68,80.77,42,0,1992,10,20,1992/10/20 04:00:00+00
503031,503032,1992292S09083,SI,MM,BABIE,-12.8,80.57,40,0,1992,10,20,1992/10/20 04:00:00+00
503032,503033,1992292S09083,SI,MM,BABIE,-12.91,80.37,40,0,1992,10,20,1992/10/20 04:00:00+00
503033,503034,1992292S09083,SI,MM,BABIE,-13.0,80.17,40,0,1992,10,21,1992/10/21 04:00:00+00
503034,503035,1992292S09083,SI,MM,BABIE,-13.07,79.95,37,0,1992,10,21,1992/10/21 04:00:00+00
503035,503036,1992292S09083,SI,MM,BABIE,-13.13,79.73,35,0,1992,10,21,1992/10/21 04:00:00+00
503036,503037,1992292S09083,SI,MM,BABIE,-13.2,79.53,32,0,1992,10,21,1992/10/21 04:00:00+00
