Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
676283,676284,2019231N13135,WP,MM,BAILU,12.6,135.1,15,1004,2019,8,19,2019/08/19 04:00:00+00
676284,676285,2019231N13135,WP,MM,BAILU,12.7,134.9,15,1003,2019,8,19,2019/08/19 04:00:00+00
676285,676286,2019231N13135,WP,MM,BAILU,12.8,134.7,15,1003,2019,8,19,2019/08/19 04:00:00+00
676286,676287,2019231N13135,WP,MM,BAILU,12.9,134.49,15,1003,2019,8,19,2019/08/19 04:00:00+00
676287,676288,2019231N13135,WP,MM,BAILU,13.0,134.24,15,1003,2019,8,19,2019/08/19 04:00:00+00
676288,676289,2019231N13135,WP,MM,BAILU,13.07,134.07,15,1003,2019,8,19,2019/08/19 04:00:00+00
676289,676290,2019231N13135,WP,MM,BAILU,13.16,133.96,15,1003,2019,8,19,2019/08/19 04:00:00+00
676290,676291,2019231N13135,WP,MM,BAILU,13.29,133.88,17,1002,2019,8,19,2019/08/19 04:00:00+00
676291,676292,2019231N13135,WP,MM,BAILU,13.46,133.8,20,1002,2019,8,20,2019/08/20 04:00:00+00
676292,676293,2019231N13135,WP,MM,BAILU,13.6,133.69,20,1002,2019,8,20,2019/08/20 04:00:00+00
676293,676294,2019231N13135,WP,MM,BAILU,13.76,133.56,20,1002,2019,8,20,2019/08/20 04:00:00+00
676294,676295,2019231N13135,WP,MM,BAILU,13.96,133.42,20,1001,2019,8,20,2019/08/20 04:00:00+00
676295,676296,2019231N13135,WP,MM,BAILU,14.13,133.23,20,1001,2019,8,20,2019/08/20 04:00:00+00
676296,676297,2019231N13135,WP,MM,BAILU,14.26,133.01,20,1001,2019,8,20,2019/08/20 04:00:00+00
676297,676298,2019231N13135,WP,MM,BAILU,14.37,132.77,20,1001,2019,8,20,2019/08/20 04:00:00+00
676298,676299,2019231N13135,WP,MM,BAILU,14.48,132.56,20,1001,2019,8,20,2019/08/20 04:00:00+00
676299,676300,2019231N13135,WP,MM,BAILU,14.6,132.3,20,1001,2019,8,21,2019/08/21 04:00:00+00
676300,676301,2019231N13135,WP,MM,BAILU,14.72,131.89,22,1001,2019,8,21,2019/08/21 04:00:00+00
676301,676302,2019231N13135,WP,MM,BAILU,14.9,131.49,25,1001,2019,8,21,2019/08/21 04:00:00+00
676302,676303,2019231N13135,WP,MM,BAILU,15.02,131.05,27,1001,2019,8,21,2019/08/21 04:00:00+00
