Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
227427,227428,1950231N12306,,,BAKER,12.0,-54.0,30,0,1950,8,18,1950/08/18 04:00:00+00
227428,227429,1950231N12306,,,BAKER,12.25,-54.1,30,0,1950,8,18,1950/08/18 04:00:00+00
227429,227430,1950231N12306,,,BAKER,12.5,-54.2,30,0,1950,8,18,1950/08/18 04:00:00+00
227430,227431,1950231N12306,,,BAKER,12.75,-54.29,30,0,1950,8,18,1950/08/18 04:00:00+00
227431,227432,1950231N12306,,,BAKER,13.0,-54.4,30,0,1950,8,19,1950/08/19 04:00:00+00
227432,227433,1950231N12306,,,BAKER,13.25,-54.54,30,0,1950,8,19,1950/08/19 04:00:00+00
227433,227434,1950231N12306,,,BAKER,13.5,-54.7,30,0,1950,8,19,1950/08/19 04:00:00+00
227434,227435,1950231N12306,,,BAKER,13.75,-54.84,32,0,1950,8,19,1950/08/19 04:00:00+00
227435,227436,1950231N12306,,,BAKER,14.0,-55.0,35,0,1950,8,19,1950/08/19 04:00:00+00
227436,227437,1950231N12306,,,BAKER,14.25,-55.19,37,0,1950,8,19,1950/08/19 04:00:00+00
227437,227438,1950231N12306,,,BAKER,14.5,-55.4,40,0,1950,8,19,1950/08/19 04:00:00+00
227438,227439,1950231N12306,,,BAKER,14.75,-55.64,42,0,1950,8,19,1950/08/19 04:00:00+00
227439,227440,1950231N12306,,,BAKER,15.0,-55.9,45,0,1950,8,20,1950/08/20 04:00:00+00
227440,227441,1950231N12306,,,BAKER,15.25,-56.14,47,0,1950,8,20,1950/08/20 04:00:00+00
227441,227442,1950231N12306,,,BAKER,15.5,-56.4,50,0,1950,8,20,1950/08/20 04:00:00+00
227442,227443,1950231N12306,,,BAKER,15.76,-56.67,52,0,1950,8,20,1950/08/20 04:00:00+00
227443,227444,1950231N12306,,,BAKER,16.0,-57.0,55,0,1950,8,20,1950/08/20 04:00:00+00
227444,227445,1950231N12306,,,BAKER,16.16,-57.43,57,0,1950,8,20,1950/08/20 04:00:00+00
227445,227446,1950231N12306,,,BAKER,16.3,-57.9,60,0,1950,8,20,1950/08/20 04:00:00+00
227446,227447,1950231N12306,,,BAKER,16.46,-58.34,62,0,1950,8,20,1950/08/20 04:00:00+00
227447,227448,1950231N12306,,,BAKER,16.6,-58.8,65,0,1950,8,21,1950/08/21 04:00:00+00
227448,227449,1950231N12306,,,BAKER,16.71,-59.31,67,0,1950,8,21,1950/08/21 04:00:00+00
227449,227450,1950231N12306,,,BAKER,16.8,-59.8,70,0,1950,8,21,1950/08/21 04:00:00+00
227450,227451,1950231N12306,,,BAKER,16.86,-60.25,70,0,1950,8,21,1950/08/21 04:00:00+00
227451,227452,1950231N12306,,CS,BAKER,16.9,-60.6,70,990,1950,8,21,1950/08/21 04:00:00+00
227452,227453,1950231N12306,,CS,BAKER,16.96,-60.83,72,988,1950,8,21,1950/08/21 04:00:00+00
227453,227454,1950231N12306,,CS,BAKER,17.0,-61.0,75,987,1950,8,21,1950/08/21 04:00:00+00
227454,227455,1950231N12306,,CS,BAKER,17.02,-61.2,80,0,1950,8,21,1950/08/21 04:00:00+00
227455,227456,1950231N12306,,CS,BAKER,17.0,-61.4,85,0,1950,8,22,1950/08/22 04:00:00+00
227456,227457,1950231N12306,,CS,BAKER,16.96,-61.6,80,0,1950,8,22,1950/08/22 04:00:00+00
227457,227458,1950231N12306,,CS,BAKER,16.9,-61.8,75,0,1950,8,22,1950/08/22 04:00:00+00
227458,227459,1950231N12306,,CS,BAKER,16.84,-61.98,67,0,1950,8,22,1950/08/22 04:00:00+00
227459,227460,1950231N12306,,CS,BAKER,16.8,-62.2,60,0,1950,8,22,1950/08/22 04:00:00+00
227460,227461,1950231N12306,,CS,BAKER,16.78,-62.5,52,0,1950,8,22,1950/08/22 04:00:00+00
227461,227462,1950231N12306,,CS,BAKER,16.8,-62.9,45,1003,1950,8,22,1950/08/22 04:00:00+00
227462,227463,1950231N12306,,CS,BAKER,16.87,-63.42,45,0,1950,8,22,1950/08/22 04:00:00+00
227463,227464,1950231N12306,,CS,BAKER,17.0,-64.0,45,0,1950,8,23,1950/08/23 04:00:00+00
227464,227465,1950231N12306,,CS,BAKER,17.18,-64.55,42,0,1950,8,23,1950/08/23 04:00:00+00
227465,227466,1950231N12306,,CS,BAKER,17.4,-65.1,40,0,1950,8,23,1950/08/23 04:00:00+00
227466,227467,1950231N12306,,CS,BAKER,17.6,-65.65,37,0,1950,8,23,1950/08/23 04:00:00+00
227467,227468,1950231N12306,,CS,BAKER,17.8,-66.2,35,0,1950,8,23,1950/08/23 04:00:00+00
227468,227469,1950231N12306,,CS,BAKER,18.0,-66.74,32,0,1950,8,23,1950/08/23 04:00:00+00
227469,227470,1950231N12306,,CS,BAKER,18.2,-67.3,30,0,1950,8,23,1950/08/23 04:00:00+00
227470,227471,1950231N12306,,CS,BAKER,18.37,-67.93,30,0,1950,8,23,1950/08/23 04:00:00+00
227471,227472,1950231N12306,,,BAKER,18.6,-68.6,30,0,1950,8,24,1950/08/24 04:00:00+00
227472,227473,1950231N12306,,,BAKER,18.96,-69.27,27,0,1950,8,24,1950/08/24 04:00:00+00
