Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
646822,646823,2015009S19054,SI,MM,BANSI,-18.9,53.9,0,0,2015,1,8,2015/01/08 05:00:00+00
646823,646824,2015009S19054,SI,MM,BANSI,-18.75,53.73,0,0,2015,1,8,2015/01/08 05:00:00+00
646824,646825,2015009S19054,SI,MM,BANSI,-18.7,53.6,0,0,2015,1,8,2015/01/08 05:00:00+00
646825,646826,2015009S19054,SI,MM,BANSI,-18.83,53.52,0,0,2015,1,8,2015/01/08 05:00:00+00
646826,646827,2015009S19054,SI,MM,BANSI,-19.0,53.4,0,0,2015,1,9,2015/01/09 05:00:00+00
646827,646828,2015009S19054,SI,MM,BANSI,-19.11,53.14,0,0,2015,1,9,2015/01/09 05:00:00+00
646828,646829,2015009S19054,SI,MM,BANSI,-19.08,52.88,15,1010,2015,1,9,2015/01/09 05:00:00+00
646829,646830,2015009S19054,SI,MM,BANSI,-18.84,52.83,17,1008,2015,1,9,2015/01/09 05:00:00+00
646830,646831,2015009S19054,SI,MM,BANSI,-18.56,52.86,20,1006,2015,1,9,2015/01/09 05:00:00+00
646831,646832,2015009S19054,SI,MM,BANSI,-18.34,52.9,20,1006,2015,1,9,2015/01/09 05:00:00+00
646832,646833,2015009S19054,SI,MM,BANSI,-18.1,52.95,20,1006,2015,1,9,2015/01/09 05:00:00+00
646833,646834,2015009S19054,SI,MM,BANSI,-17.76,52.93,20,1006,2015,1,9,2015/01/09 05:00:00+00
646834,646835,2015009S19054,SI,MM,BANSI,-17.4,52.9,20,1007,2015,1,10,2015/01/10 05:00:00+00
646835,646836,2015009S19054,SI,MM,BANSI,-17.1,52.91,20,1007,2015,1,10,2015/01/10 05:00:00+00
646836,646837,2015009S19054,SI,MM,BANSI,-16.85,52.95,20,1007,2015,1,10,2015/01/10 05:00:00+00
646837,646838,2015009S19054,SI,MM,BANSI,-16.65,53.01,22,1005,2015,1,10,2015/01/10 05:00:00+00
646838,646839,2015009S19054,SI,MM,BANSI,-16.45,53.15,25,1004,2015,1,10,2015/01/10 05:00:00+00
646839,646840,2015009S19054,SI,MM,BANSI,-16.14,53.38,30,1000,2015,1,10,2015/01/10 05:00:00+00
646840,646841,2015009S19054,SI,MM,BANSI,-15.9,53.7,35,996,2015,1,10,2015/01/10 05:00:00+00
646841,646842,2015009S19054,SI,MM,BANSI,-15.83,54.15,35,996,2015,1,10,2015/01/10 05:00:00+00
