Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
335486,335487,1968354S12108,SI,WA,BEATIE,-12.4,108.4,0,0,1968,12,18,1968/12/18 05:00:00+00
335487,335488,1968354S12108,SI,WA,BEATIE,-12.53,108.34,0,0,1968,12,19,1968/12/19 05:00:00+00
335488,335489,1968354S12108,SI,WA,BEATIE,-12.6,108.29,0,0,1968,12,19,1968/12/19 05:00:00+00
335489,335490,1968354S12108,SI,WA,BEATIE,-12.64,108.25,0,0,1968,12,19,1968/12/19 05:00:00+00
335490,335491,1968354S12108,SI,WA,BEATIE,-12.69,108.22,0,0,1968,12,19,1968/12/19 05:00:00+00
335491,335492,1968354S12108,SI,WA,BEATIE,-12.73,108.2,0,0,1968,12,19,1968/12/19 05:00:00+00
335492,335493,1968354S12108,SI,WA,BEATIE,-12.75,108.2,0,0,1968,12,19,1968/12/19 05:00:00+00
335493,335494,1968354S12108,SI,WA,BEATIE,-12.76,108.2,0,0,1968,12,19,1968/12/19 05:00:00+00
335494,335495,1968354S12108,SI,WA,BEATIE,-12.79,108.17,0,0,1968,12,19,1968/12/19 05:00:00+00
335495,335496,1968354S12108,SI,WA,BEATIE,-12.81,108.15,0,0,1968,12,19,1968/12/19 05:00:00+00
335496,335497,1968354S12108,SI,WA,BEATIE,-12.82,108.14,0,0,1968,12,19,1968/12/19 05:00:00+00
335497,335498,1968354S12108,SI,WA,BEATIE,-12.82,108.15,0,0,1968,12,19,1968/12/19 05:00:00+00
335498,335499,1968354S12108,SI,WA,BEATIE,-12.83,108.13,0,0,1968,12,20,1968/12/20 05:00:00+00
335499,335500,1968354S12108,SI,WA,BEATIE,-12.85,108.12,0,0,1968,12,20,1968/12/20 05:00:00+00
335500,335501,1968354S12108,SI,WA,BEATIE,-12.87,108.1,0,0,1968,12,20,1968/12/20 05:00:00+00
335501,335502,1968354S12108,SI,WA,BEATIE,-12.9,108.07,0,0,1968,12,20,1968/12/20 05:00:00+00
335502,335503,1968354S12108,SI,WA,BEATIE,-12.93,108.07,0,0,1968,12,20,1968/12/20 05:00:00+00
335503,335504,1968354S12108,SI,WA,BEATIE,-12.94,108.06,0,0,1968,12,20,1968/12/20 05:00:00+00
335504,335505,1968354S12108,SI,WA,BEATIE,-12.95,108.06,0,0,1968,12,20,1968/12/20 05:00:00+00
335505,335506,1968354S12108,SI,WA,BEATIE,-12.98,108.04,0,0,1968,12,20,1968/12/20 05:00:00+00
335506,335507,1968354S12108,SI,WA,BEATIE,-12.99,108.02,0,0,1968,12,20,1968/12/20 05:00:00+00
335507,335508,1968354S12108,SI,WA,BEATIE,-13.0,108.02,0,0,1968,12,20,1968/12/20 05:00:00+00
335508,335509,1968354S12108,SI,WA,BEATIE,-13.0,108.03,0,0,1968,12,20,1968/12/20 05:00:00+00
335509,335510,1968354S12108,SI,WA,BEATIE,-13.0,108.02,0,0,1968,12,21,1968/12/21 05:00:00+00
335510,335511,1968354S12108,SI,WA,BEATIE,-13.01,108.01,0,0,1968,12,21,1968/12/21 05:00:00+00
335511,335512,1968354S12108,SI,WA,BEATIE,-13.02,108.0,0,0,1968,12,21,1968/12/21 05:00:00+00
335512,335513,1968354S12108,SI,WA,BEATIE,-13.04,107.99,0,0,1968,12,21,1968/12/21 05:00:00+00
335513,335514,1968354S12108,SI,WA,BEATIE,-13.05,107.99,0,0,1968,12,21,1968/12/21 05:00:00+00
335514,335515,1968354S12108,SI,WA,BEATIE,-13.05,108.0,0,0,1968,12,21,1968/12/21 05:00:00+00
335515,335516,1968354S12108,SI,WA,BEATIE,-13.05,107.99,0,0,1968,12,21,1968/12/21 05:00:00+00
335516,335517,1968354S12108,SI,WA,BEATIE,-13.07,107.97,0,0,1968,12,21,1968/12/21 05:00:00+00
335517,335518,1968354S12108,SI,WA,BEATIE,-13.1,107.94,0,0,1968,12,21,1968/12/21 05:00:00+00
335518,335519,1968354S12108,SI,WA,BEATIE,-13.1,107.89,0,0,1968,12,21,1968/12/21 05:00:00+00
335519,335520,1968354S12108,SI,WA,BEATIE,-13.1,107.86,0,0,1968,12,21,1968/12/21 05:00:00+00
335520,335521,1968354S12108,SI,WA,BEATIE,-13.1,107.83,0,0,1968,12,22,1968/12/22 05:00:00+00
335521,335522,1968354S12108,SI,WA,BEATIE,-13.1,107.81,0,0,1968,12,22,1968/12/22 05:00:00+00
335522,335523,1968354S12108,SI,WA,BEATIE,-13.1,107.75,0,0,1968,12,22,1968/12/22 05:00:00+00
335523,335524,1968354S12108,SI,WA,BEATIE,-13.09,107.65,0,0,1968,12,22,1968/12/22 05:00:00+00
335524,335525,1968354S12108,SI,WA,BEATIE,-13.07,107.54,0,0,1968,12,22,1968/12/22 05:00:00+00
335525,335526,1968354S12108,SI,WA,BEATIE,-13.06,107.47,0,0,1968,12,22,1968/12/22 05:00:00+00
335526,335527,1968354S12108,SI,WA,BEATIE,-13.05,107.44,0,0,1968,12,22,1968/12/22 05:00:00+00
