Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
266779,266780,1958221N17340,,,BECKY,16.5,-20.5,25,0,1958,8,8,1958/08/08 04:00:00+00
266780,266781,1958221N17340,,,BECKY,16.6,-21.13,25,0,1958,8,8,1958/08/08 04:00:00+00
266781,266782,1958221N17340,,,BECKY,16.7,-21.8,25,0,1958,8,8,1958/08/08 04:00:00+00
266782,266783,1958221N17340,,,BECKY,16.79,-22.52,27,0,1958,8,8,1958/08/08 04:00:00+00
266783,266784,1958221N17340,,,BECKY,16.9,-23.3,30,0,1958,8,9,1958/08/09 04:00:00+00
266784,266785,1958221N17340,,,BECKY,17.05,-24.13,32,0,1958,8,9,1958/08/09 04:00:00+00
266785,266786,1958221N17340,,,BECKY,17.2,-25.0,35,0,1958,8,9,1958/08/09 04:00:00+00
266786,266787,1958221N17340,,,BECKY,17.31,-25.89,37,0,1958,8,9,1958/08/09 04:00:00+00
266787,266788,1958221N17340,,,BECKY,17.4,-26.8,40,0,1958,8,9,1958/08/09 04:00:00+00
266788,266789,1958221N17340,,,BECKY,17.46,-27.7,42,0,1958,8,9,1958/08/09 04:00:00+00
266789,266790,1958221N17340,,,BECKY,17.5,-28.6,45,0,1958,8,9,1958/08/09 04:00:00+00
266790,266791,1958221N17340,,,BECKY,17.51,-29.5,45,0,1958,8,9,1958/08/09 04:00:00+00
266791,266792,1958221N17340,,,BECKY,17.5,-30.4,45,0,1958,8,10,1958/08/10 04:00:00+00
266792,266793,1958221N17340,,,BECKY,17.5,-31.3,45,0,1958,8,10,1958/08/10 04:00:00+00
266793,266794,1958221N17340,,,BECKY,17.5,-32.2,45,0,1958,8,10,1958/08/10 04:00:00+00
266794,266795,1958221N17340,,,BECKY,17.5,-33.1,45,0,1958,8,10,1958/08/10 04:00:00+00
266795,266796,1958221N17340,,,BECKY,17.5,-34.0,45,0,1958,8,10,1958/08/10 04:00:00+00
266796,266797,1958221N17340,,,BECKY,17.5,-34.88,45,0,1958,8,10,1958/08/10 04:00:00+00
266797,266798,1958221N17340,,,BECKY,17.5,-35.8,45,0,1958,8,10,1958/08/10 04:00:00+00
266798,266799,1958221N17340,,,BECKY,17.49,-36.83,45,0,1958,8,10,1958/08/10 04:00:00+00
266799,266800,1958221N17340,,,BECKY,17.5,-37.9,45,0,1958,8,11,1958/08/11 04:00:00+00
266800,266801,1958221N17340,,,BECKY,17.54,-38.96,45,0,1958,8,11,1958/08/11 04:00:00+00
266801,266802,1958221N17340,,,BECKY,17.6,-40.0,45,0,1958,8,11,1958/08/11 04:00:00+00
266802,266803,1958221N17340,,,BECKY,17.64,-41.01,45,0,1958,8,11,1958/08/11 04:00:00+00
266803,266804,1958221N17340,,,BECKY,17.7,-42.0,45,0,1958,8,11,1958/08/11 04:00:00+00
266804,266805,1958221N17340,,,BECKY,17.79,-42.99,45,0,1958,8,11,1958/08/11 04:00:00+00
266805,266806,1958221N17340,,,BECKY,17.9,-44.0,45,0,1958,8,11,1958/08/11 04:00:00+00
266806,266807,1958221N17340,,,BECKY,18.01,-45.03,45,0,1958,8,11,1958/08/11 04:00:00+00
266807,266808,1958221N17340,,,BECKY,18.1,-46.1,45,0,1958,8,12,1958/08/12 04:00:00+00
266808,266809,1958221N17340,,,BECKY,18.16,-47.19,45,0,1958,8,12,1958/08/12 04:00:00+00
266809,266810,1958221N17340,,,BECKY,18.2,-48.3,45,0,1958,8,12,1958/08/12 04:00:00+00
266810,266811,1958221N17340,,,BECKY,18.24,-49.39,45,0,1958,8,12,1958/08/12 04:00:00+00
266811,266812,1958221N17340,,,BECKY,18.3,-50.5,45,0,1958,8,12,1958/08/12 04:00:00+00
266812,266813,1958221N17340,,,BECKY,18.38,-51.71,45,0,1958,8,12,1958/08/12 04:00:00+00
266813,266814,1958221N17340,,,BECKY,18.5,-52.9,45,1006,1958,8,12,1958/08/12 04:00:00+00
266814,266815,1958221N17340,,,BECKY,18.63,-54.0,45,0,1958,8,12,1958/08/12 04:00:00+00
266815,266816,1958221N17340,,,BECKY,18.8,-55.0,45,0,1958,8,13,1958/08/13 04:00:00+00
266816,266817,1958221N17340,,,BECKY,18.98,-55.88,45,0,1958,8,13,1958/08/13 04:00:00+00
266817,266818,1958221N17340,,,BECKY,19.2,-56.7,45,0,1958,8,13,1958/08/13 04:00:00+00
266818,266819,1958221N17340,,,BECKY,19.48,-57.53,45,0,1958,8,13,1958/08/13 04:00:00+00
266819,266820,1958221N17340,,,BECKY,19.8,-58.4,45,0,1958,8,13,1958/08/13 04:00:00+00
266820,266821,1958221N17340,,,BECKY,20.08,-59.38,42,0,1958,8,13,1958/08/13 04:00:00+00
266821,266822,1958221N17340,,,BECKY,20.4,-60.4,40,0,1958,8,13,1958/08/13 04:00:00+00
266822,266823,1958221N17340,,,BECKY,20.83,-61.38,40,0,1958,8,13,1958/08/13 04:00:00+00
266823,266824,1958221N17340,,,BECKY,21.3,-62.4,40,0,1958,8,14,1958/08/14 04:00:00+00
266824,266825,1958221N17340,,,BECKY,21.76,-63.5,40,0,1958,8,14,1958/08/14 04:00:00+00
266825,266826,1958221N17340,,,BECKY,22.2,-64.7,40,0,1958,8,14,1958/08/14 04:00:00+00
266826,266827,1958221N17340,,,BECKY,22.59,-66.04,40,0,1958,8,14,1958/08/14 04:00:00+00
266827,266828,1958221N17340,,,BECKY,23.0,-67.4,40,0,1958,8,14,1958/08/14 04:00:00+00
266828,266829,1958221N17340,,,BECKY,23.46,-68.66,40,0,1958,8,14,1958/08/14 04:00:00+00
266829,266830,1958221N17340,,,BECKY,24.0,-69.8,40,0,1958,8,14,1958/08/14 04:00:00+00
266830,266831,1958221N17340,,,BECKY,24.6,-70.82,40,0,1958,8,14,1958/08/14 04:00:00+00
266831,266832,1958221N17340,,,BECKY,25.3,-71.7,40,0,1958,8,15,1958/08/15 04:00:00+00
266832,266833,1958221N17340,,,BECKY,26.13,-72.54,40,0,1958,8,15,1958/08/15 04:00:00+00
266833,266834,1958221N17340,,,BECKY,27.0,-73.2,40,0,1958,8,15,1958/08/15 04:00:00+00
266834,266835,1958221N17340,,,BECKY,27.8,-73.66,40,0,1958,8,15,1958/08/15 04:00:00+00
266835,266836,1958221N17340,,,BECKY,28.5,-73.9,40,0,1958,8,15,1958/08/15 04:00:00+00
266836,266837,1958221N17340,,,BECKY,29.0,-73.96,40,0,1958,8,15,1958/08/15 04:00:00+00
266837,266838,1958221N17340,,,BECKY,29.5,-73.9,40,0,1958,8,15,1958/08/15 04:00:00+00
266838,266839,1958221N17340,,,BECKY,30.23,-73.86,40,0,1958,8,15,1958/08/15 04:00:00+00
266839,266840,1958221N17340,,,BECKY,31.0,-73.8,40,0,1958,8,16,1958/08/16 04:00:00+00
