Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
468063,468064,1987358S10070,SI,MM,BENANDRO,-10.1,70.1,25,0,1987,12,24,1987/12/24 05:00:00+00
468064,468065,1987358S10070,SI,MM,BENANDRO,-10.17,69.69,25,0,1987,12,24,1987/12/24 05:00:00+00
468065,468066,1987358S10070,SI,MM,BENANDRO,-10.3,69.3,25,0,1987,12,24,1987/12/24 05:00:00+00
468066,468067,1987358S10070,SI,MM,BENANDRO,-10.52,68.93,25,0,1987,12,24,1987/12/24 05:00:00+00
468067,468068,1987358S10070,SI,MM,BENANDRO,-10.82,68.6,25,0,1987,12,24,1987/12/24 05:00:00+00
468068,468069,1987358S10070,SI,MM,BENANDRO,-11.2,68.32,25,0,1987,12,24,1987/12/24 05:00:00+00
468069,468070,1987358S10070,SI,MM,BENANDRO,-11.6,68.1,25,0,1987,12,25,1987/12/25 05:00:00+00
468070,468071,1987358S10070,SI,MM,BENANDRO,-11.96,67.91,25,0,1987,12,25,1987/12/25 05:00:00+00
468071,468072,1987358S10070,SI,MM,BENANDRO,-12.33,67.86,25,0,1987,12,25,1987/12/25 05:00:00+00
468072,468073,1987358S10070,SI,MM,BENANDRO,-12.59,67.94,25,0,1987,12,25,1987/12/25 05:00:00+00
468073,468074,1987358S10070,SI,MM,BENANDRO,-12.76,68.12,25,0,1987,12,25,1987/12/25 05:00:00+00
468074,468075,1987358S10070,SI,MM,BENANDRO,-12.88,68.37,25,0,1987,12,25,1987/12/25 05:00:00+00
468075,468076,1987358S10070,SI,MM,BENANDRO,-12.98,68.62,25,0,1987,12,25,1987/12/25 05:00:00+00
468076,468077,1987358S10070,SI,MM,BENANDRO,-13.14,68.91,27,0,1987,12,25,1987/12/25 05:00:00+00
468077,468078,1987358S10070,SI,MM,BENANDRO,-13.28,69.17,30,0,1987,12,26,1987/12/26 05:00:00+00
468078,468079,1987358S10070,SI,MM,BENANDRO,-13.35,69.38,30,0,1987,12,26,1987/12/26 05:00:00+00
468079,468080,1987358S10070,SI,MM,BENANDRO,-13.37,69.53,30,0,1987,12,26,1987/12/26 05:00:00+00
468080,468081,1987358S10070,SI,MM,BENANDRO,-13.35,69.63,30,0,1987,12,26,1987/12/26 05:00:00+00
468081,468082,1987358S10070,SI,MM,BENANDRO,-13.35,69.7,30,0,1987,12,26,1987/12/26 05:00:00+00
468082,468083,1987358S10070,SI,MM,BENANDRO,-13.45,69.78,30,0,1987,12,26,1987/12/26 05:00:00+00
468083,468084,1987358S10070,SI,MM,BENANDRO,-13.59,69.84,30,0,1987,12,26,1987/12/26 05:00:00+00
468084,468085,1987358S10070,SI,MM,BENANDRO,-13.77,69.92,32,0,1987,12,26,1987/12/26 05:00:00+00
468085,468086,1987358S10070,SI,MM,BENANDRO,-13.9,69.92,35,0,1987,12,27,1987/12/27 05:00:00+00
468086,468087,1987358S10070,SI,MM,BENANDRO,-13.91,69.81,35,0,1987,12,27,1987/12/27 05:00:00+00
468087,468088,1987358S10070,SI,MM,BENANDRO,-13.84,69.57,35,0,1987,12,27,1987/12/27 05:00:00+00
468088,468089,1987358S10070,SI,MM,BENANDRO,-13.73,69.18,35,0,1987,12,27,1987/12/27 05:00:00+00
