Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
519342,519343,1994365S06063,SI,MM,BENTHA,-6.0,63.1,15,0,1994,12,30,1994/12/30 05:00:00+00
519343,519344,1994365S06063,SI,MM,BENTHA,-6.14,62.84,15,0,1994,12,30,1994/12/30 05:00:00+00
519344,519345,1994365S06063,SI,MM,BENTHA,-6.3,62.6,15,0,1994,12,30,1994/12/30 05:00:00+00
519345,519346,1994365S06063,SI,MM,BENTHA,-6.48,62.38,15,0,1994,12,30,1994/12/30 05:00:00+00
519346,519347,1994365S06063,SI,MM,BENTHA,-6.7,62.2,15,0,1994,12,31,1994/12/31 05:00:00+00
519347,519348,1994365S06063,SI,MM,BENTHA,-6.93,62.03,17,0,1994,12,31,1994/12/31 05:00:00+00
519348,519349,1994365S06063,SI,MM,BENTHA,-7.2,61.9,20,0,1994,12,31,1994/12/31 05:00:00+00
519349,519350,1994365S06063,SI,MM,BENTHA,-7.49,61.78,20,0,1994,12,31,1994/12/31 05:00:00+00
519350,519351,1994365S06063,SI,MM,BENTHA,-7.8,61.7,20,0,1994,12,31,1994/12/31 05:00:00+00
519351,519352,1994365S06063,SI,MM,BENTHA,-8.1,61.64,20,0,1994,12,31,1994/12/31 05:00:00+00
519352,519353,1994365S06063,SI,MM,BENTHA,-8.4,61.6,20,0,1994,12,31,1994/12/31 05:00:00+00
519353,519354,1994365S06063,SI,MM,BENTHA,-8.7,61.56,20,0,1994,12,31,1994/12/31 05:00:00+00
519354,519355,1994365S06063,SI,MM,BENTHA,-9.0,61.5,20,0,1995,1,1,1995/01/01 05:00:00+00
519355,519356,1994365S06063,SI,MM,BENTHA,-9.31,61.41,20,0,1995,1,1,1995/01/01 05:00:00+00
519356,519357,1994365S06063,SI,MM,BENTHA,-9.6,61.3,20,0,1995,1,1,1995/01/01 05:00:00+00
519357,519358,1994365S06063,SI,MM,BENTHA,-9.86,61.19,20,0,1995,1,1,1995/01/01 05:00:00+00
519358,519359,1994365S06063,SI,MM,BENTHA,-10.1,61.1,20,0,1995,1,1,1995/01/01 05:00:00+00
519359,519360,1994365S06063,SI,MM,BENTHA,-10.36,61.05,20,0,1995,1,1,1995/01/01 05:00:00+00
519360,519361,1994365S06063,SI,MM,BENTHA,-10.6,61.0,20,0,1995,1,1,1995/01/01 05:00:00+00
519361,519362,1994365S06063,SI,MM,BENTHA,-10.81,60.91,22,0,1995,1,1,1995/01/01 05:00:00+00
519362,519363,1994365S06063,SI,MM,BENTHA,-11.0,60.8,25,0,1995,1,2,1995/01/02 05:00:00+00
