Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
587469,587470,2004325S06078,SI,MM,BENTOJANA,-6.1,77.9,0,0,2004,11,19,2004/11/19 05:00:00+00
587470,587471,2004325S06078,SI,MM,BENTOJANA,-6.3,77.95,0,0,2004,11,19,2004/11/19 05:00:00+00
587471,587472,2004325S06078,SI,MM,BENTOJANA,-6.86,77.92,15,1006,2004,11,19,2004/11/19 05:00:00+00
587472,587473,2004325S06078,SI,MM,BENTOJANA,-7.07,77.88,17,1005,2004,11,19,2004/11/19 05:00:00+00
587473,587474,2004325S06078,SI,MM,BENTOJANA,-7.26,77.8,20,1004,2004,11,20,2004/11/20 05:00:00+00
587474,587475,2004325S06078,SI,MM,BENTOJANA,-7.43,77.72,22,1003,2004,11,20,2004/11/20 05:00:00+00
587475,587476,2004325S06078,SI,MM,BENTOJANA,-7.57,77.7,25,1002,2004,11,20,2004/11/20 05:00:00+00
587476,587477,2004325S06078,SI,MM,BENTOJANA,-7.73,77.7,25,1002,2004,11,20,2004/11/20 05:00:00+00
587477,587478,2004325S06078,SI,MM,BENTOJANA,-7.87,77.77,25,1002,2004,11,20,2004/11/20 05:00:00+00
587478,587479,2004325S06078,SI,MM,BENTOJANA,-7.93,77.92,25,1002,2004,11,20,2004/11/20 05:00:00+00
587479,587480,2004325S06078,SI,MM,BENTOJANA,-7.97,78.1,25,1002,2004,11,20,2004/11/20 05:00:00+00
587480,587481,2004325S06078,SI,MM,BENTOJANA,-8.02,78.26,27,1001,2004,11,20,2004/11/20 05:00:00+00
587481,587482,2004325S06078,SI,MM,BENTOJANA,-8.07,78.4,30,1000,2004,11,21,2004/11/21 05:00:00+00
587482,587483,2004325S06078,SI,MM,BENTOJANA,-8.1,78.53,32,998,2004,11,21,2004/11/21 05:00:00+00
587483,587484,2004325S06078,SI,MM,BENTOJANA,-8.13,78.63,35,997,2004,11,21,2004/11/21 05:00:00+00
587484,587485,2004325S06078,SI,MM,BENTOJANA,-8.19,78.69,40,994,2004,11,21,2004/11/21 05:00:00+00
587485,587486,2004325S06078,SI,MM,BENTOJANA,-8.27,78.7,45,991,2004,11,21,2004/11/21 05:00:00+00
587486,587487,2004325S06078,SI,MM,BENTOJANA,-8.37,78.65,50,987,2004,11,21,2004/11/21 05:00:00+00
587487,587488,2004325S06078,SI,MM,BENTOJANA,-8.47,78.57,55,984,2004,11,21,2004/11/21 05:00:00+00
587488,587489,2004325S06078,SI,MM,BENTOJANA,-8.52,78.51,55,984,2004,11,21,2004/11/21 05:00:00+00
587489,587490,2004325S06078,SI,MM,BENTOJANA,-8.57,78.4,55,984,2004,11,22,2004/11/22 05:00:00+00
587490,587491,2004325S06078,SI,MM,BENTOJANA,-8.69,78.17,60,980,2004,11,22,2004/11/22 05:00:00+00
587491,587492,2004325S06078,SI,MM,BENTOJANA,-8.77,77.87,65,976,2004,11,22,2004/11/22 05:00:00+00
587492,587493,2004325S06078,SI,MM,BENTOJANA,-8.7,77.53,72,969,2004,11,22,2004/11/22 05:00:00+00
587493,587494,2004325S06078,SI,MM,BENTOJANA,-8.57,77.2,80,963,2004,11,22,2004/11/22 05:00:00+00
587494,587495,2004325S06078,SI,MM,BENTOJANA,-8.44,76.94,90,953,2004,11,22,2004/11/22 05:00:00+00
587495,587496,2004325S06078,SI,MM,BENTOJANA,-8.33,76.7,100,944,2004,11,22,2004/11/22 05:00:00+00
587496,587497,2004325S06078,SI,MM,BENTOJANA,-8.27,76.46,110,933,2004,11,22,2004/11/22 05:00:00+00
587497,587498,2004325S06078,SI,MM,BENTOJANA,-8.23,76.23,120,922,2004,11,23,2004/11/23 05:00:00+00
587498,587499,2004325S06078,SI,MM,BENTOJANA,-8.22,76.03,122,919,2004,11,23,2004/11/23 05:00:00+00
