Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
291053,291054,1962245N20252,EP,MM,BERNICE,19.6,-107.8,45,0,1962,9,2,1962/09/02 04:00:00+00
291054,291055,1962245N20252,EP,MM,BERNICE,19.9,-108.25,45,0,1962,9,2,1962/09/02 04:00:00+00
291055,291056,1962245N20252,EP,MM,BERNICE,20.21,-108.69,45,0,1962,9,2,1962/09/02 04:00:00+00
291056,291057,1962245N20252,EP,MM,BERNICE,20.51,-109.1,45,0,1962,9,2,1962/09/02 04:00:00+00
291057,291058,1962245N20252,EP,MM,BERNICE,20.8,-109.5,45,0,1962,9,2,1962/09/02 04:00:00+00
291058,291059,1962245N20252,EP,MM,BERNICE,21.06,-109.91,45,0,1962,9,2,1962/09/02 04:00:00+00
291059,291060,1962245N20252,EP,MM,BERNICE,21.29,-110.3,45,0,1962,9,2,1962/09/02 04:00:00+00
291060,291061,1962245N20252,EP,MM,BERNICE,21.5,-110.66,45,0,1962,9,2,1962/09/02 04:00:00+00
291061,291062,1962245N20252,EP,MM,BERNICE,21.7,-111.0,45,0,1962,9,3,1962/09/03 04:00:00+00
291062,291063,1962245N20252,EP,MM,BERNICE,21.95,-111.36,45,0,1962,9,3,1962/09/03 04:00:00+00
291063,291064,1962245N20252,EP,MM,BERNICE,22.2,-111.7,45,0,1962,9,3,1962/09/03 04:00:00+00
291064,291065,1962245N20252,EP,MM,BERNICE,22.47,-112.02,45,0,1962,9,3,1962/09/03 04:00:00+00
291065,291066,1962245N20252,EP,MM,BERNICE,22.7,-112.3,45,0,1962,9,3,1962/09/03 04:00:00+00
291066,291067,1962245N20252,EP,MM,BERNICE,22.87,-112.57,45,0,1962,9,3,1962/09/03 04:00:00+00
291067,291068,1962245N20252,EP,MM,BERNICE,23.01,-112.79,45,0,1962,9,3,1962/09/03 04:00:00+00
291068,291069,1962245N20252,EP,MM,BERNICE,23.2,-112.92,45,0,1962,9,3,1962/09/03 04:00:00+00
291069,291070,1962245N20252,EP,MM,BERNICE,23.4,-113.0,45,0,1962,9,4,1962/09/04 04:00:00+00
291070,291071,1962245N20252,EP,MM,BERNICE,23.6,-113.07,45,0,1962,9,4,1962/09/04 04:00:00+00
291071,291072,1962245N20252,EP,MM,BERNICE,23.8,-113.1,45,0,1962,9,4,1962/09/04 04:00:00+00
291072,291073,1962245N20252,EP,MM,BERNICE,23.96,-113.11,45,0,1962,9,4,1962/09/04 04:00:00+00
291073,291074,1962245N20252,EP,MM,BERNICE,24.1,-113.1,45,0,1962,9,4,1962/09/04 04:00:00+00
291074,291075,1962245N20252,EP,MM,BERNICE,24.21,-113.1,45,0,1962,9,4,1962/09/04 04:00:00+00
291075,291076,1962245N20252,EP,MM,BERNICE,24.29,-113.1,45,0,1962,9,4,1962/09/04 04:00:00+00
291076,291077,1962245N20252,EP,MM,BERNICE,24.35,-113.1,45,0,1962,9,4,1962/09/04 04:00:00+00
291077,291078,1962245N20252,EP,MM,BERNICE,24.4,-113.1,45,0,1962,9,5,1962/09/05 04:00:00+00
291078,291079,1962245N20252,EP,MM,BERNICE,24.49,-113.1,45,0,1962,9,5,1962/09/05 04:00:00+00
291079,291080,1962245N20252,EP,MM,BERNICE,24.6,-113.1,45,0,1962,9,5,1962/09/05 04:00:00+00
