Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
214448,214449,1947133N16138,WP,MM,BERNIDA,15.8,137.7,25,0,1947,5,13,1947/05/13 04:00:00+00
214449,214450,1947133N16138,WP,MM,BERNIDA,16.15,138.1,27,0,1947,5,13,1947/05/13 04:00:00+00
214450,214451,1947133N16138,WP,MM,BERNIDA,16.5,138.49,30,0,1947,5,13,1947/05/13 04:00:00+00
214451,214452,1947133N16138,WP,MM,BERNIDA,16.85,138.85,37,0,1947,5,13,1947/05/13 04:00:00+00
214452,214453,1947133N16138,WP,MM,BERNIDA,17.2,139.2,45,0,1947,5,13,1947/05/13 04:00:00+00
214453,214454,1947133N16138,WP,MM,BERNIDA,17.58,139.56,47,0,1947,5,13,1947/05/13 04:00:00+00
214454,214455,1947133N16138,WP,MM,BERNIDA,17.97,139.89,50,0,1947,5,13,1947/05/13 04:00:00+00
214455,214456,1947133N16138,WP,MM,BERNIDA,18.31,140.16,55,0,1947,5,13,1947/05/13 04:00:00+00
214456,214457,1947133N16138,WP,MM,BERNIDA,18.7,140.4,60,0,1947,5,14,1947/05/14 04:00:00+00
214457,214458,1947133N16138,WP,MM,BERNIDA,19.2,140.66,60,0,1947,5,14,1947/05/14 04:00:00+00
214458,214459,1947133N16138,WP,MM,BERNIDA,19.8,140.91,60,0,1947,5,14,1947/05/14 04:00:00+00
214459,214460,1947133N16138,WP,MM,BERNIDA,20.46,141.13,62,0,1947,5,14,1947/05/14 04:00:00+00
214460,214461,1947133N16138,WP,MM,BERNIDA,21.2,141.3,65,0,1947,5,14,1947/05/14 04:00:00+00
214461,214462,1947133N16138,WP,MM,BERNIDA,21.97,141.43,70,0,1947,5,14,1947/05/14 04:00:00+00
214462,214463,1947133N16138,WP,MM,BERNIDA,22.81,141.49,75,0,1947,5,14,1947/05/14 04:00:00+00
214463,214464,1947133N16138,WP,MM,BERNIDA,23.7,141.52,77,0,1947,5,14,1947/05/14 04:00:00+00
214464,214465,1947133N16138,WP,MM,BERNIDA,24.6,141.5,80,0,1947,5,15,1947/05/15 04:00:00+00
214465,214466,1947133N16138,WP,MM,BERNIDA,25.47,141.44,80,0,1947,5,15,1947/05/15 04:00:00+00
214466,214467,1947133N16138,WP,MM,BERNIDA,26.32,141.38,80,0,1947,5,15,1947/05/15 04:00:00+00
214467,214468,1947133N16138,WP,MM,BERNIDA,27.17,141.33,75,0,1947,5,15,1947/05/15 04:00:00+00
214468,214469,1947133N16138,WP,MM,BERNIDA,28.0,141.4,70,0,1947,5,15,1947/05/15 04:00:00+00
214469,214470,1947133N16138,WP,MM,BERNIDA,28.82,141.71,70,0,1947,5,15,1947/05/15 04:00:00+00
214470,214471,1947133N16138,WP,MM,BERNIDA,29.54,142.18,70,0,1947,5,15,1947/05/15 04:00:00+00
214471,214472,1947133N16138,WP,MM,BERNIDA,30.01,142.63,65,0,1947,5,15,1947/05/15 04:00:00+00
214472,214473,1947133N16138,WP,MM,BERNIDA,30.4,143.2,60,0,1947,5,16,1947/05/16 04:00:00+00
214473,214474,1947133N16138,WP,MM,BERNIDA,30.96,144.14,52,0,1947,5,16,1947/05/16 04:00:00+00
214474,214475,1947133N16138,WP,MM,BERNIDA,31.5,145.2,45,0,1947,5,16,1947/05/16 04:00:00+00
214475,214476,1947133N16138,WP,MM,BERNIDA,31.84,146.18,40,0,1947,5,16,1947/05/16 04:00:00+00
214476,214477,1947133N16138,WP,MM,BERNIDA,32.2,147.0,35,0,1947,5,16,1947/05/16 04:00:00+00
214477,214478,1947133N16138,WP,MM,BERNIDA,32.83,147.49,35,0,1947,5,16,1947/05/16 04:00:00+00
214478,214479,1947133N16138,WP,MM,BERNIDA,33.5,148.0,35,0,1947,5,16,1947/05/16 04:00:00+00
214479,214480,1947133N16138,WP,MM,BERNIDA,34.05,148.88,32,0,1947,5,16,1947/05/16 04:00:00+00
