Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
421096,421097,1980329S08095,SI,WA,BERT:CHRISTE,-7.7,95.0,0,0,1980,11,24,1980/11/24 05:00:00+00
421097,421098,1980329S08095,SI,WA,BERT:CHRISTE,-7.76,94.8,0,0,1980,11,24,1980/11/24 05:00:00+00
421098,421099,1980329S08095,SI,WA,BERT:CHRISTE,-7.8,94.6,0,0,1980,11,24,1980/11/24 05:00:00+00
421099,421100,1980329S08095,SI,WA,BERT:CHRISTE,-7.81,94.4,0,0,1980,11,24,1980/11/24 05:00:00+00
421100,421101,1980329S08095,SI,WA,BERT:CHRISTE,-7.8,94.2,0,0,1980,11,24,1980/11/24 05:00:00+00
421101,421102,1980329S08095,SI,WA,BERT:CHRISTE,-7.76,94.0,0,0,1980,11,24,1980/11/24 05:00:00+00
421102,421103,1980329S08095,SI,WA,BERT:CHRISTE,-7.7,93.8,0,0,1980,11,25,1980/11/25 05:00:00+00
421103,421104,1980329S08095,SI,WA,BERT:CHRISTE,-7.66,93.6,0,0,1980,11,25,1980/11/25 05:00:00+00
421104,421105,1980329S08095,SI,WA,BERT:CHRISTE,-7.6,93.4,0,0,1980,11,25,1980/11/25 05:00:00+00
421105,421106,1980329S08095,SI,WA,BERT:CHRISTE,-7.51,93.2,0,0,1980,11,25,1980/11/25 05:00:00+00
421106,421107,1980329S08095,SI,WA,BERT:CHRISTE,-7.4,93.0,0,0,1980,11,25,1980/11/25 05:00:00+00
421107,421108,1980329S08095,SI,WA,BERT:CHRISTE,-7.31,92.79,0,0,1980,11,25,1980/11/25 05:00:00+00
421108,421109,1980329S08095,SI,WA,BERT:CHRISTE,-7.2,92.6,0,0,1980,11,25,1980/11/25 05:00:00+00
421109,421110,1980329S08095,SI,WA,BERT:CHRISTE,-7.06,92.46,0,0,1980,11,25,1980/11/25 05:00:00+00
421110,421111,1980329S08095,SI,WA,BERT:CHRISTE,-6.9,92.3,0,0,1980,11,26,1980/11/26 05:00:00+00
421111,421112,1980329S08095,SI,WA,BERT:CHRISTE,-6.75,92.07,0,0,1980,11,26,1980/11/26 05:00:00+00
421112,421113,1980329S08095,SI,WA,BERT:CHRISTE,-6.6,91.8,0,0,1980,11,26,1980/11/26 05:00:00+00
421113,421114,1980329S08095,SI,WA,BERT:CHRISTE,-6.43,91.55,0,0,1980,11,26,1980/11/26 05:00:00+00
421114,421115,1980329S08095,SI,WA,BERT:CHRISTE,-6.3,91.2,0,0,1980,11,26,1980/11/26 05:00:00+00
421115,421116,1980329S08095,SI,WA,BERT:CHRISTE,-6.18,90.68,0,0,1980,11,26,1980/11/26 05:00:00+00
421116,421117,1980329S08095,SI,WA,BERT:CHRISTE,-6.2,90.1,0,0,1980,11,26,1980/11/26 05:00:00+00
421117,421118,1980329S08095,SI,MM,BERT:CHRISTE,-6.43,89.58,0,0,1980,11,26,1980/11/26 05:00:00+00
421118,421119,1980329S08095,SI,MM,BERT:CHRISTE,-6.8,89.1,0,0,1980,11,27,1980/11/27 05:00:00+00
421119,421120,1980329S08095,SI,MM,BERT:CHRISTE,-7.22,88.66,0,0,1980,11,27,1980/11/27 05:00:00+00
421120,421121,1980329S08095,SI,MM,BERT:CHRISTE,-7.6,88.3,0,0,1980,11,27,1980/11/27 05:00:00+00
421121,421122,1980329S08095,SI,MM,BERT:CHRISTE,-7.8,88.06,0,0,1980,11,27,1980/11/27 05:00:00+00
421122,421123,1980329S08095,SI,MM,BERT:CHRISTE,-7.9,87.9,0,0,1980,11,27,1980/11/27 05:00:00+00
421123,421124,1980329S08095,SI,MM,BERT:CHRISTE,-7.96,87.74,0,0,1980,11,27,1980/11/27 05:00:00+00
421124,421125,1980329S08095,SI,MM,BERT:CHRISTE,-8.0,87.6,0,0,1980,11,27,1980/11/27 05:00:00+00
421125,421126,1980329S08095,SI,MM,BERT:CHRISTE,-8.04,87.47,0,0,1980,11,27,1980/11/27 05:00:00+00
421126,421127,1980329S08095,SI,MM,BERT:CHRISTE,-8.1,87.3,0,0,1980,11,28,1980/11/28 05:00:00+00
421127,421128,1980329S08095,SI,MM,BERT:CHRISTE,-8.2,87.02,0,0,1980,11,28,1980/11/28 05:00:00+00
