Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
349068,349069,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.0,138.0,0,0,1970,11,26,1970/11/26 05:00:00+00
349069,349070,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.0,137.46,0,0,1970,11,26,1970/11/26 05:00:00+00
349070,349071,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.0,137.06,0,0,1970,11,26,1970/11/26 05:00:00+00
349071,349072,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.02,136.75,0,0,1970,11,26,1970/11/26 05:00:00+00
349072,349073,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.07,136.52,0,0,1970,11,26,1970/11/26 05:00:00+00
349073,349074,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.16,136.3,0,0,1970,11,26,1970/11/26 05:00:00+00
349074,349075,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.28,136.1,0,0,1970,11,26,1970/11/26 05:00:00+00
349075,349076,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.31,136.05,0,0,1970,11,27,1970/11/27 05:00:00+00
349076,349077,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.56,135.69,0,0,1970,11,27,1970/11/27 05:00:00+00
349077,349078,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-9.87,135.33,0,0,1970,11,27,1970/11/27 05:00:00+00
349078,349079,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-10.18,134.96,0,0,1970,11,27,1970/11/27 05:00:00+00
349079,349080,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-10.47,134.7,0,0,1970,11,27,1970/11/27 05:00:00+00
349080,349081,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-10.64,134.64,0,0,1970,11,27,1970/11/27 05:00:00+00
349081,349082,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-10.76,134.7,0,0,1970,11,27,1970/11/27 05:00:00+00
349082,349083,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-10.88,134.78,0,0,1970,11,27,1970/11/27 05:00:00+00
349083,349084,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-10.98,134.86,0,0,1970,11,27,1970/11/27 05:00:00+00
349084,349085,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.01,134.87,0,0,1970,11,28,1970/11/28 05:00:00+00
349085,349086,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.18,134.89,0,0,1970,11,28,1970/11/28 05:00:00+00
349086,349087,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.35,134.9,0,0,1970,11,28,1970/11/28 05:00:00+00
349087,349088,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.52,134.93,0,0,1970,11,28,1970/11/28 05:00:00+00
349088,349089,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.67,134.97,0,0,1970,11,28,1970/11/28 05:00:00+00
349089,349090,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-11.76,135.03,0,0,1970,11,28,1970/11/28 05:00:00+00
349090,349091,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-11.83,135.09,0,0,1970,11,28,1970/11/28 05:00:00+00
349091,349092,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-11.91,135.15,0,0,1970,11,28,1970/11/28 05:00:00+00
349092,349093,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-11.99,135.19,0,0,1970,11,28,1970/11/28 05:00:00+00
349093,349094,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-12.01,135.22,0,0,1970,11,29,1970/11/29 05:00:00+00
349094,349095,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-12.13,135.23,0,0,1970,11,29,1970/11/29 05:00:00+00
349095,349096,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-12.13,135.25,0,0,1970,11,29,1970/11/29 05:00:00+00
349096,349097,1970330S09138,SP,EA,BEVERLEY-EVA:EVA(BEV-EVA),-12.2,135.1,0,0,1970,11,29,1970/11/29 05:00:00+00
349097,349098,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-12.12,134.83,0,0,1970,11,29,1970/11/29 05:00:00+00
349098,349099,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-12.0,134.5,0,0,1970,11,29,1970/11/29 05:00:00+00
349099,349100,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.94,134.2,0,0,1970,11,29,1970/11/29 05:00:00+00
349100,349101,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.9,133.9,0,0,1970,11,29,1970/11/29 05:00:00+00
349101,349102,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.85,133.6,0,0,1970,11,29,1970/11/29 05:00:00+00
349102,349103,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.8,133.3,0,0,1970,11,30,1970/11/30 05:00:00+00
349103,349104,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.75,133.0,0,0,1970,11,30,1970/11/30 05:00:00+00
349104,349105,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.7,132.7,0,0,1970,11,30,1970/11/30 05:00:00+00
349105,349106,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.65,132.4,0,0,1970,11,30,1970/11/30 05:00:00+00
349106,349107,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.6,132.1,0,0,1970,11,30,1970/11/30 05:00:00+00
349107,349108,1970330S09138,SI,WA,BEVERLEY-EVA:EVA(BEV-EVA),-11.55,131.8,0,0,1970,11,30,1970/11/30 05:00:00+00
