Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
229501,229502,1950308N13151,WP,MM,BILLIE,13.0,150.8,0,0,1950,11,4,1950/11/04 04:00:00+00
229502,229503,1950308N13151,WP,MM,BILLIE,13.29,150.31,0,0,1950,11,4,1950/11/04 04:00:00+00
229503,229504,1950308N13151,WP,MM,BILLIE,13.6,149.8,0,0,1950,11,4,1950/11/04 04:00:00+00
229504,229505,1950308N13151,WP,MM,BILLIE,13.96,149.28,0,0,1950,11,4,1950/11/04 04:00:00+00
229505,229506,1950308N13151,WP,MM,BILLIE,14.3,148.8,0,0,1950,11,4,1950/11/04 04:00:00+00
229506,229507,1950308N13151,WP,MM,BILLIE,14.56,148.44,0,0,1950,11,4,1950/11/04 04:00:00+00
229507,229508,1950308N13151,WP,MM,BILLIE,14.9,148.2,50,0,1950,11,5,1950/11/05 04:00:00+00
229508,229509,1950308N13151,WP,MM,BILLIE,15.16,147.85,57,0,1950,11,5,1950/11/05 04:00:00+00
229509,229510,1950308N13151,WP,MM,BILLIE,15.4,147.44,65,0,1950,11,5,1950/11/05 04:00:00+00
229510,229511,1950308N13151,WP,MM,BILLIE,15.62,146.97,72,0,1950,11,5,1950/11/05 04:00:00+00
229511,229512,1950308N13151,WP,MM,BILLIE,15.9,146.46,80,0,1950,11,5,1950/11/05 04:00:00+00
229512,229513,1950308N13151,WP,MM,BILLIE,16.26,145.96,80,0,1950,11,5,1950/11/05 04:00:00+00
229513,229514,1950308N13151,WP,MM,BILLIE,16.67,145.47,80,0,1950,11,5,1950/11/05 04:00:00+00
229514,229515,1950308N13151,WP,MM,BILLIE,17.13,144.96,77,0,1950,11,5,1950/11/05 04:00:00+00
229515,229516,1950308N13151,WP,MM,BILLIE,17.6,144.52,75,0,1950,11,6,1950/11/06 04:00:00+00
229516,229517,1950308N13151,WP,MM,BILLIE,18.05,144.17,75,0,1950,11,6,1950/11/06 04:00:00+00
229517,229518,1950308N13151,WP,MM,BILLIE,18.51,143.91,75,0,1950,11,6,1950/11/06 04:00:00+00
229518,229519,1950308N13151,WP,MM,BILLIE,19.03,143.71,75,0,1950,11,6,1950/11/06 04:00:00+00
229519,229520,1950308N13151,WP,MM,BILLIE,19.58,143.6,75,0,1950,11,6,1950/11/06 04:00:00+00
229520,229521,1950308N13151,WP,MM,BILLIE,20.14,143.57,72,0,1950,11,6,1950/11/06 04:00:00+00
