Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
686871,686872,2021029S14162,SP,MM,BINA,-14.0,162.4,20,1007,2021,1,29,2021/01/29 05:00:00+00
686872,686873,2021029S14162,SP,MM,BINA,-13.93,162.72,22,1005,2021,1,29,2021/01/29 05:00:00+00
686873,686874,2021029S14162,SP,MM,BINA,-13.8,163.0,25,1004,2021,1,29,2021/01/29 05:00:00+00
686874,686875,2021029S14162,SP,MM,BINA,-13.6,163.22,25,1001,2021,1,29,2021/01/29 05:00:00+00
686875,686876,2021029S14162,SP,MM,BINA,-13.4,163.5,25,999,2021,1,29,2021/01/29 05:00:00+00
686876,686877,2021029S14162,SP,MM,BINA,-13.29,163.92,25,999,2021,1,29,2021/01/29 05:00:00+00
686877,686878,2021029S14162,SP,MM,BINA,-13.2,164.5,25,1000,2021,1,29,2021/01/29 05:00:00+00
686878,686879,2021029S14162,SP,MM,BINA,-13.04,165.32,25,1000,2021,1,29,2021/01/29 05:00:00+00
686879,686880,2021029S14162,SP,MM,BINA,-12.9,166.1,25,1000,2021,1,30,2021/01/30 05:00:00+00
686880,686881,2021029S14162,SP,MM,BINA,-12.88,166.4,25,999,2021,1,30,2021/01/30 05:00:00+00
686881,686882,2021029S14162,SP,MM,BINA,-12.8,166.8,25,999,2021,1,30,2021/01/30 05:00:00+00
686882,686883,2021029S14162,SP,MM,BINA,-12.48,167.84,27,998,2021,1,30,2021/01/30 05:00:00+00
686883,686884,2021029S14162,SP,MM,BINA,-12.1,169.1,30,998,2021,1,30,2021/01/30 05:00:00+00
686884,686885,2021029S14162,SP,MM,BINA,-11.78,170.28,37,994,2021,1,30,2021/01/30 05:00:00+00
686885,686886,2021029S14162,SP,MM,BINA,-11.6,171.3,45,990,2021,1,30,2021/01/30 05:00:00+00
686886,686887,2021029S14162,SP,MM,BINA,-11.66,172.01,45,990,2021,1,30,2021/01/30 05:00:00+00
686887,686888,2021029S14162,SP,MM,BINA,-11.9,172.6,45,991,2021,1,31,2021/01/31 05:00:00+00
686888,686889,2021029S14162,SP,MM,BINA,-12.21,173.31,47,989,2021,1,31,2021/01/31 05:00:00+00
686889,686890,2021029S14162,SP,MM,BINA,-12.6,174.0,50,988,2021,1,31,2021/01/31 05:00:00+00
686890,686891,2021029S14162,SP,MM,BINA,-12.88,174.52,47,990,2021,1,31,2021/01/31 05:00:00+00
686891,686892,2021029S14162,SP,MM,BINA,-13.3,175.0,45,993,2021,1,31,2021/01/31 05:00:00+00
686892,686893,2021029S14162,SP,MM,BINA,-13.73,175.34,40,993,2021,1,31,2021/01/31 05:00:00+00
686893,686894,2021029S14162,SP,MM,BINA,-14.18,175.9,35,994,2021,1,31,2021/01/31 05:00:00+00
686894,686895,2021029S14162,SP,MM,BINA,-15.12,177.0,32,995,2021,1,31,2021/01/31 05:00:00+00
686895,686896,2021029S14162,SP,MM,BINA,-16.2,178.2,30,997,2021,2,1,2021/02/01 05:00:00+00
686896,686897,2021029S14162,SP,MM,BINA,-16.88,179.03,25,997,2021,2,1,2021/02/01 05:00:00+00
