Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
463710,463711,1987140S08170,SP,MM,BLANCH(E),-7.7,170.4,0,0,1987,5,20,1987/05/20 04:00:00+00
463711,463712,1987140S08170,SP,MM,BLANCH(E),-7.83,169.79,0,0,1987,5,20,1987/05/20 04:00:00+00
463712,463713,1987140S08170,SP,MM,BLANCH(E),-8.0,169.2,0,0,1987,5,20,1987/05/20 04:00:00+00
463713,463714,1987140S08170,SP,MM,BLANCH(E),-8.23,168.64,0,0,1987,5,20,1987/05/20 04:00:00+00
463714,463715,1987140S08170,SP,MM,BLANCH(E),-8.5,168.1,0,0,1987,5,20,1987/05/20 04:00:00+00
463715,463716,1987140S08170,SP,MM,BLANCH(E),-8.76,167.54,0,0,1987,5,20,1987/05/20 04:00:00+00
463716,463717,1987140S08170,SP,MM,BLANCH(E),-9.43,166.96,25,0,1987,5,20,1987/05/20 04:00:00+00
463717,463718,1987140S08170,SP,MM,BLANCH(E),-9.76,166.5,25,0,1987,5,20,1987/05/20 04:00:00+00
463718,463719,1987140S08170,SP,MM,BLANCH(E),-9.97,165.93,25,0,1987,5,21,1987/05/21 04:00:00+00
463719,463720,1987140S08170,SP,MM,BLANCH(E),-10.19,165.32,25,0,1987,5,21,1987/05/21 04:00:00+00
463720,463721,1987140S08170,SP,MM,BLANCH(E),-10.37,164.72,25,0,1987,5,21,1987/05/21 04:00:00+00
463721,463722,1987140S08170,SP,MM,BLANCH(E),-10.52,164.12,25,0,1987,5,21,1987/05/21 04:00:00+00
463722,463723,1987140S08170,SP,MM,BLANCH(E),-10.66,163.52,25,0,1987,5,21,1987/05/21 04:00:00+00
463723,463724,1987140S08170,SP,MM,BLANCH(E),-10.8,162.91,25,0,1987,5,21,1987/05/21 04:00:00+00
463724,463725,1987140S08170,SP,MM,BLANCH(E),-10.93,162.33,25,0,1987,5,21,1987/05/21 04:00:00+00
463725,463726,1987140S08170,SP,MM,BLANCH(E),-11.01,161.79,27,0,1987,5,21,1987/05/21 04:00:00+00
463726,463727,1987140S08170,SP,MM,BLANCH(E),-11.12,161.32,30,0,1987,5,22,1987/05/22 04:00:00+00
463727,463728,1987140S08170,SP,MM,BLANCH(E),-11.3,160.9,30,0,1987,5,22,1987/05/22 04:00:00+00
463728,463729,1987140S08170,SP,MM,BLANCH(E),-11.53,160.53,30,0,1987,5,22,1987/05/22 04:00:00+00
463729,463730,1987140S08170,SP,MM,BLANCH(E),-11.77,160.19,30,0,1987,5,22,1987/05/22 04:00:00+00
463730,463731,1987140S08170,SP,EA,BLANCH(E),-12.02,159.88,30,0,1987,5,22,1987/05/22 04:00:00+00
463731,463732,1987140S08170,SP,EA,BLANCH(E),-12.24,159.58,32,0,1987,5,22,1987/05/22 04:00:00+00
463732,463733,1987140S08170,SP,EA,BLANCH(E),-12.47,159.32,35,0,1987,5,22,1987/05/22 04:00:00+00
463733,463734,1987140S08170,SP,EA,BLANCH(E),-12.76,159.09,35,0,1987,5,22,1987/05/22 04:00:00+00
463734,463735,1987140S08170,SP,EA,BLANCH(E),-13.08,158.9,35,0,1987,5,23,1987/05/23 04:00:00+00
463735,463736,1987140S08170,SP,EA,BLANCH(E),-13.4,158.76,37,0,1987,5,23,1987/05/23 04:00:00+00
463736,463737,1987140S08170,SP,EA,BLANCH(E),-13.74,158.64,40,0,1987,5,23,1987/05/23 04:00:00+00
463737,463738,1987140S08170,SP,EA,BLANCH(E),-14.1,158.52,42,0,1987,5,23,1987/05/23 04:00:00+00
463738,463739,1987140S08170,SP,EA,BLANCH(E),-14.44,158.38,45,0,1987,5,23,1987/05/23 04:00:00+00
