Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
468959,468960,1988055S10180,SP,MM,BOLA,-10.4,179.5,25,0,1988,2,23,1988/02/23 05:00:00+00
468960,468961,1988055S10180,SP,MM,BOLA,-11.0,179.05,27,0,1988,2,23,1988/02/23 05:00:00+00
468961,468962,1988055S10180,SP,MM,BOLA,-11.64,178.74,30,0,1988,2,24,1988/02/24 05:00:00+00
468962,468963,1988055S10180,SP,MM,BOLA,-12.25,178.38,32,0,1988,2,24,1988/02/24 05:00:00+00
468963,468964,1988055S10180,SP,MM,BOLA,-12.85,178.07,35,0,1988,2,24,1988/02/24 05:00:00+00
468964,468965,1988055S10180,SP,MM,BOLA,-13.43,177.79,35,0,1988,2,24,1988/02/24 05:00:00+00
468965,468966,1988055S10180,SP,MM,BOLA,-13.93,177.53,35,0,1988,2,24,1988/02/24 05:00:00+00
468966,468967,1988055S10180,SP,MM,BOLA,-14.27,177.39,35,0,1988,2,24,1988/02/24 05:00:00+00
468967,468968,1988055S10180,SP,MM,BOLA,-14.55,177.32,35,0,1988,2,24,1988/02/24 05:00:00+00
468968,468969,1988055S10180,SP,MM,BOLA,-14.88,177.23,35,0,1988,2,24,1988/02/24 05:00:00+00
468969,468970,1988055S10180,SP,MM,BOLA,-15.18,177.12,35,0,1988,2,25,1988/02/25 05:00:00+00
468970,468971,1988055S10180,SP,MM,BOLA,-15.42,176.99,37,0,1988,2,25,1988/02/25 05:00:00+00
468971,468972,1988055S10180,SP,MM,BOLA,-15.58,176.79,40,0,1988,2,25,1988/02/25 05:00:00+00
468972,468973,1988055S10180,SP,MM,BOLA,-15.67,176.47,42,0,1988,2,25,1988/02/25 05:00:00+00
468973,468974,1988055S10180,SP,MM,BOLA,-15.68,176.05,45,0,1988,2,25,1988/02/25 05:00:00+00
468974,468975,1988055S10180,SP,MM,BOLA,-15.67,175.58,47,0,1988,2,25,1988/02/25 05:00:00+00
468975,468976,1988055S10180,SP,MM,BOLA,-15.58,175.05,50,0,1988,2,25,1988/02/25 05:00:00+00
468976,468977,1988055S10180,SP,MM,BOLA,-15.4,174.48,50,0,1988,2,25,1988/02/25 05:00:00+00
468977,468978,1988055S10180,SP,MM,BOLA,-15.18,173.88,50,0,1988,2,26,1988/02/26 05:00:00+00
468978,468979,1988055S10180,SP,MM,BOLA,-14.95,173.25,52,0,1988,2,26,1988/02/26 05:00:00+00
468979,468980,1988055S10180,SP,MM,BOLA,-14.75,172.62,55,0,1988,2,26,1988/02/26 05:00:00+00
468980,468981,1988055S10180,SP,MM,BOLA,-14.57,172.01,55,0,1988,2,26,1988/02/26 05:00:00+00
468981,468982,1988055S10180,SP,MM,BOLA,-14.5,171.5,55,0,1988,2,26,1988/02/26 05:00:00+00
468982,468983,1988055S10180,SP,MM,BOLA,-14.6,171.13,55,0,1988,2,26,1988/02/26 05:00:00+00
468983,468984,1988055S10180,SP,MM,BOLA,-14.8,170.88,55,0,1988,2,26,1988/02/26 05:00:00+00
468984,468985,1988055S10180,SP,MM,BOLA,-15.0,170.68,55,0,1988,2,26,1988/02/26 05:00:00+00
468985,468986,1988055S10180,SP,MM,BOLA,-15.22,170.53,55,0,1988,2,27,1988/02/27 05:00:00+00
468986,468987,1988055S10180,SP,MM,BOLA,-15.45,170.36,55,0,1988,2,27,1988/02/27 05:00:00+00
468987,468988,1988055S10180,SP,MM,BOLA,-15.67,170.2,55,0,1988,2,27,1988/02/27 05:00:00+00
468988,468989,1988055S10180,SP,MM,BOLA,-15.9,170.07,55,0,1988,2,27,1988/02/27 05:00:00+00
468989,468990,1988055S10180,SP,MM,BOLA,-16.07,169.93,55,0,1988,2,27,1988/02/27 05:00:00+00
468990,468991,1988055S10180,SP,MM,BOLA,-16.17,169.73,55,0,1988,2,27,1988/02/27 05:00:00+00
468991,468992,1988055S10180,SP,MM,BOLA,-16.23,169.51,55,0,1988,2,27,1988/02/27 05:00:00+00
468992,468993,1988055S10180,SP,MM,BOLA,-16.3,169.29,57,0,1988,2,27,1988/02/27 05:00:00+00
468993,468994,1988055S10180,SP,MM,BOLA,-16.38,169.07,60,0,1988,2,28,1988/02/28 05:00:00+00
468994,468995,1988055S10180,SP,MM,BOLA,-16.5,168.88,65,0,1988,2,28,1988/02/28 05:00:00+00
468995,468996,1988055S10180,SP,MM,BOLA,-16.6,168.68,70,0,1988,2,28,1988/02/28 05:00:00+00
468996,468997,1988055S10180,SP,MM,BOLA,-16.64,168.43,75,0,1988,2,28,1988/02/28 05:00:00+00
468997,468998,1988055S10180,SP,MM,BOLA,-16.65,168.22,80,0,1988,2,28,1988/02/28 05:00:00+00
468998,468999,1988055S10180,SP,MM,BOLA,-16.69,168.12,82,0,1988,2,28,1988/02/28 05:00:00+00
468999,469000,1988055S10180,SP,MM,BOLA,-16.74,168.1,85,0,1988,2,28,1988/02/28 05:00:00+00
469000,469001,1988055S10180,SP,MM,BOLA,-16.78,168.14,87,0,1988,2,28,1988/02/28 05:00:00+00
469001,469002,1988055S10180,SP,MM,BOLA,-16.82,168.28,90,0,1988,2,29,1988/02/29 05:00:00+00
469002,469003,1988055S10180,SP,MM,BOLA,-16.87,168.55,90,0,1988,2,29,1988/02/29 05:00:00+00
469003,469004,1988055S10180,SP,MM,BOLA,-16.95,168.9,90,0,1988,2,29,1988/02/29 05:00:00+00
469004,469005,1988055S10180,SP,MM,BOLA,-17.09,169.23,92,0,1988,2,29,1988/02/29 05:00:00+00
469005,469006,1988055S10180,SP,MM,BOLA,-17.27,169.5,95,0,1988,2,29,1988/02/29 05:00:00+00
469006,469007,1988055S10180,SP,MM,BOLA,-17.53,169.67,95,0,1988,2,29,1988/02/29 05:00:00+00
469007,469008,1988055S10180,SP,MM,BOLA,-17.79,169.74,95,0,1988,2,29,1988/02/29 05:00:00+00
469008,469009,1988055S10180,SP,MM,BOLA,-18.0,169.74,95,0,1988,2,29,1988/02/29 05:00:00+00
469009,469010,1988055S10180,SP,MM,BOLA,-18.15,169.65,95,0,1988,3,1,1988/03/01 05:00:00+00
469010,469011,1988055S10180,SP,MM,BOLA,-18.25,169.49,97,0,1988,3,1,1988/03/01 05:00:00+00
469011,469012,1988055S10180,SP,MM,BOLA,-18.26,169.29,100,0,1988,3,1,1988/03/01 05:00:00+00
469012,469013,1988055S10180,SP,MM,BOLA,-18.18,169.12,102,0,1988,3,1,1988/03/01 05:00:00+00
469013,469014,1988055S10180,SP,MM,BOLA,-18.05,169.0,105,0,1988,3,1,1988/03/01 05:00:00+00
469014,469015,1988055S10180,SP,MM,BOLA,-17.94,168.97,102,0,1988,3,1,1988/03/01 05:00:00+00
469015,469016,1988055S10180,SP,MM,BOLA,-17.84,169.0,100,0,1988,3,1,1988/03/01 05:00:00+00
469016,469017,1988055S10180,SP,MM,BOLA,-17.77,169.08,97,0,1988,3,1,1988/03/01 05:00:00+00
469017,469018,1988055S10180,SP,MM,BOLA,-17.73,169.2,95,0,1988,3,2,1988/03/02 05:00:00+00
469018,469019,1988055S10180,SP,MM,BOLA,-17.68,169.34,92,0,1988,3,2,1988/03/02 05:00:00+00
469019,469020,1988055S10180,SP,MM,BOLA,-17.66,169.5,90,0,1988,3,2,1988/03/02 05:00:00+00
469020,469021,1988055S10180,SP,MM,BOLA,-17.69,169.67,85,0,1988,3,2,1988/03/02 05:00:00+00
469021,469022,1988055S10180,SP,MM,BOLA,-17.75,169.88,80,0,1988,3,2,1988/03/02 05:00:00+00
469022,469023,1988055S10180,SP,MM,BOLA,-17.8,170.13,75,0,1988,3,2,1988/03/02 05:00:00+00
469023,469024,1988055S10180,SP,MM,BOLA,-17.89,170.45,70,0,1988,3,2,1988/03/02 05:00:00+00
469024,469025,1988055S10180,SP,MM,BOLA,-18.05,170.85,70,0,1988,3,2,1988/03/02 05:00:00+00
469025,469026,1988055S10180,SP,MM,BOLA,-18.27,171.35,70,0,1988,3,3,1988/03/03 05:00:00+00
469026,469027,1988055S10180,SP,MM,BOLA,-18.47,171.95,67,0,1988,3,3,1988/03/03 05:00:00+00
469027,469028,1988055S10180,SP,MM,BOLA,-18.74,172.66,65,0,1988,3,3,1988/03/03 05:00:00+00
469028,469029,1988055S10180,SP,MM,BOLA,-19.09,173.44,62,0,1988,3,3,1988/03/03 05:00:00+00
469029,469030,1988055S10180,SP,MM,BOLA,-19.57,174.28,60,0,1988,3,3,1988/03/03 05:00:00+00
469030,469031,1988055S10180,SP,MM,BOLA,-20.16,175.17,60,0,1988,3,3,1988/03/03 05:00:00+00
469031,469032,1988055S10180,SP,MM,BOLA,-20.89,176.03,60,0,1988,3,3,1988/03/03 05:00:00+00
469032,469033,1988055S10180,SP,MM,BOLA,-21.72,176.75,57,0,1988,3,3,1988/03/03 05:00:00+00
469033,469034,1988055S10180,SP,MM,BOLA,-22.65,177.38,55,0,1988,3,4,1988/03/04 05:00:00+00
469034,469035,1988055S10180,SP,MM,BOLA,-23.69,178.05,52,0,1988,3,4,1988/03/04 05:00:00+00
469035,469036,1988055S10180,SP,MM,BOLA,-24.71,178.54,50,0,1988,3,4,1988/03/04 05:00:00+00
469036,469037,1988055S10180,SP,MM,BOLA,-25.54,178.68,47,0,1988,3,4,1988/03/04 05:00:00+00
469037,469038,1988055S10180,SP,MM,BOLA,-26.25,178.57,45,0,1988,3,4,1988/03/04 05:00:00+00
469038,469039,1988055S10180,SP,MM,BOLA,-26.9,178.42,45,0,1988,3,4,1988/03/04 05:00:00+00
469039,469040,1988055S10180,SP,MM,BOLA,-27.45,178.13,45,0,1988,3,4,1988/03/04 05:00:00+00
469040,469041,1988055S10180,SP,MM,BOLA,-27.92,177.69,42,0,1988,3,4,1988/03/04 05:00:00+00
469041,469042,1988055S10180,SP,MM,BOLA,-28.27,177.25,40,0,1988,3,5,1988/03/05 05:00:00+00
469042,469043,1988055S10180,SP,MM,BOLA,-28.56,176.95,37,0,1988,3,5,1988/03/05 05:00:00+00
469043,469044,1988055S10180,SP,MM,BOLA,-28.8,176.69,35,0,1988,3,5,1988/03/05 05:00:00+00
469044,469045,1988055S10180,SP,MM,BOLA,-29.0,176.49,32,0,1988,3,5,1988/03/05 05:00:00+00
469045,469046,1988055S10180,SP,MM,BOLA,-29.2,176.33,30,0,1988,3,5,1988/03/05 05:00:00+00
469046,469047,1988055S10180,SP,MM,BOLA,-29.59,176.2,0,0,1988,3,5,1988/03/05 05:00:00+00
469047,469048,1988055S10180,SP,MM,BOLA,-30.0,176.2,0,0,1988,3,5,1988/03/05 05:00:00+00
469048,469049,1988055S10180,SP,MM,BOLA,-30.21,176.21,0,0,1988,3,5,1988/03/05 05:00:00+00
469049,469050,1988055S10180,SP,MM,BOLA,-30.4,176.2,0,0,1988,3,6,1988/03/06 05:00:00+00
469050,469051,1988055S10180,SP,MM,BOLA,-30.69,176.16,0,0,1988,3,6,1988/03/06 05:00:00+00
469051,469052,1988055S10180,SP,MM,BOLA,-31.0,176.1,0,0,1988,3,6,1988/03/06 05:00:00+00
469052,469053,1988055S10180,SP,MM,BOLA,-31.18,176.06,0,0,1988,3,6,1988/03/06 05:00:00+00
469053,469054,1988055S10180,SP,MM,BOLA,-31.5,176.0,0,0,1988,3,6,1988/03/06 05:00:00+00
469054,469055,1988055S10180,SP,MM,BOLA,-32.26,175.91,0,0,1988,3,6,1988/03/06 05:00:00+00
469055,469056,1988055S10180,SP,MM,BOLA,-33.0,175.8,0,0,1988,3,6,1988/03/06 05:00:00+00
469056,469057,1988055S10180,SP,MM,BOLA,-33.3,175.66,0,0,1988,3,6,1988/03/06 05:00:00+00
469057,469058,1988055S10180,SP,MM,BOLA,-33.4,175.5,0,0,1988,3,7,1988/03/07 05:00:00+00
469058,469059,1988055S10180,SP,MM,BOLA,-33.48,175.34,0,0,1988,3,7,1988/03/07 05:00:00+00
469059,469060,1988055S10180,SP,MM,BOLA,-33.5,175.2,0,0,1988,3,7,1988/03/07 05:00:00+00
469060,469061,1988055S10180,SP,MM,BOLA,-33.5,175.14,0,0,1988,3,7,1988/03/07 05:00:00+00
469061,469062,1988055S10180,SP,MM,BOLA,-33.5,175.0,0,0,1988,3,7,1988/03/07 05:00:00+00
469062,469063,1988055S10180,SP,MM,BOLA,-33.55,174.65,0,0,1988,3,7,1988/03/07 05:00:00+00
469063,469064,1988055S10180,SP,MM,BOLA,-33.6,174.2,0,0,1988,3,7,1988/03/07 05:00:00+00
469064,469065,1988055S10180,SP,MM,BOLA,-33.6,173.78,0,0,1988,3,7,1988/03/07 05:00:00+00
469065,469066,1988055S10180,SP,MM,BOLA,-33.6,173.4,0,0,1988,3,8,1988/03/08 05:00:00+00
469066,469067,1988055S10180,SP,MM,BOLA,-33.64,173.11,0,0,1988,3,8,1988/03/08 05:00:00+00
469067,469068,1988055S10180,SP,MM,BOLA,-33.7,172.8,0,0,1988,3,8,1988/03/08 05:00:00+00
469068,469069,1988055S10180,SP,MM,BOLA,-33.74,172.37,0,0,1988,3,8,1988/03/08 05:00:00+00
469069,469070,1988055S10180,SP,MM,BOLA,-33.8,171.9,0,0,1988,3,8,1988/03/08 05:00:00+00
