Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
617429,617430,2009325S12066,SI,MM,BONGANI,-11.6,66.1,0,0,2009,11,20,2009/11/20 05:00:00+00
617430,617431,2009325S12066,SI,MM,BONGANI,-11.44,65.51,0,0,2009,11,20,2009/11/20 05:00:00+00
617431,617432,2009325S12066,SI,MM,BONGANI,-11.3,64.9,0,0,2009,11,20,2009/11/20 05:00:00+00
617432,617433,2009325S12066,SI,MM,BONGANI,-11.19,64.27,0,0,2009,11,20,2009/11/20 05:00:00+00
617433,617434,2009325S12066,SI,MM,BONGANI,-11.1,63.7,0,0,2009,11,21,2009/11/21 05:00:00+00
617434,617435,2009325S12066,SI,MM,BONGANI,-11.01,63.32,0,0,2009,11,21,2009/11/21 05:00:00+00
617435,617436,2009325S12066,SI,MM,BONGANI,-10.9,62.9,0,0,2009,11,21,2009/11/21 05:00:00+00
617436,617437,2009325S12066,SI,MM,BONGANI,-10.71,62.27,0,0,2009,11,21,2009/11/21 05:00:00+00
617437,617438,2009325S12066,SI,MM,BONGANI,-10.74,61.34,15,1010,2009,11,21,2009/11/21 05:00:00+00
617438,617439,2009325S12066,SI,MM,BONGANI,-10.6,60.43,15,1010,2009,11,21,2009/11/21 05:00:00+00
617439,617440,2009325S12066,SI,MM,BONGANI,-10.36,59.5,15,1010,2009,11,21,2009/11/21 05:00:00+00
617440,617441,2009325S12066,SI,MM,BONGANI,-10.06,58.56,17,1008,2009,11,21,2009/11/21 05:00:00+00
617441,617442,2009325S12066,SI,MM,BONGANI,-9.75,57.7,20,1007,2009,11,22,2009/11/22 05:00:00+00
617442,617443,2009325S12066,SI,MM,BONGANI,-9.46,56.93,22,1005,2009,11,22,2009/11/22 05:00:00+00
617443,617444,2009325S12066,SI,MM,BONGANI,-9.2,56.3,25,1004,2009,11,22,2009/11/22 05:00:00+00
617444,617445,2009325S12066,SI,MM,BONGANI,-8.93,55.82,27,1002,2009,11,22,2009/11/22 05:00:00+00
617445,617446,2009325S12066,SI,MM,BONGANI,-8.7,55.45,30,1000,2009,11,22,2009/11/22 05:00:00+00
617446,617447,2009325S12066,SI,MM,BONGANI,-8.54,55.1,30,1000,2009,11,22,2009/11/22 05:00:00+00
617447,617448,2009325S12066,SI,MM,BONGANI,-8.45,54.8,30,1000,2009,11,22,2009/11/22 05:00:00+00
617448,617449,2009325S12066,SI,MM,BONGANI,-8.39,54.51,32,998,2009,11,22,2009/11/22 05:00:00+00
