Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
560982,560983,2000248N18126,WP,MM,BOPHA,18.0,125.8,0,0,2000,9,4,2000/09/04 04:00:00+00
560983,560984,2000248N18126,WP,MM,BOPHA,18.07,126.41,0,0,2000,9,4,2000/09/04 04:00:00+00
560984,560985,2000248N18126,WP,MM,BOPHA,18.1,127.0,0,0,2000,9,4,2000/09/04 04:00:00+00
560985,560986,2000248N18126,WP,MM,BOPHA,18.09,127.56,0,0,2000,9,4,2000/09/04 04:00:00+00
560986,560987,2000248N18126,WP,MM,BOPHA,18.1,128.1,0,0,2000,9,4,2000/09/04 04:00:00+00
560987,560988,2000248N18126,WP,MM,BOPHA,18.15,128.56,0,0,2000,9,4,2000/09/04 04:00:00+00
560988,560989,2000248N18126,WP,MM,BOPHA,18.3,129.1,0,0,2000,9,5,2000/09/05 04:00:00+00
560989,560990,2000248N18126,WP,MM,BOPHA,18.58,129.86,0,0,2000,9,5,2000/09/05 04:00:00+00
560990,560991,2000248N18126,WP,MM,BOPHA,18.9,130.8,0,0,2000,9,5,2000/09/05 04:00:00+00
560991,560992,2000248N18126,WP,MM,BOPHA,19.11,131.88,0,0,2000,9,5,2000/09/05 04:00:00+00
560992,560993,2000248N18126,WP,MM,BOPHA,19.4,133.0,0,0,2000,9,5,2000/09/05 04:00:00+00
560993,560994,2000248N18126,WP,MM,BOPHA,19.94,134.1,0,0,2000,9,5,2000/09/05 04:00:00+00
560994,560995,2000248N18126,WP,MM,BOPHA,20.48,135.22,25,0,2000,9,5,2000/09/05 04:00:00+00
560995,560996,2000248N18126,WP,MM,BOPHA,20.88,135.72,25,0,2000,9,5,2000/09/05 04:00:00+00
560996,560997,2000248N18126,WP,MM,BOPHA,21.25,136.04,25,0,2000,9,6,2000/09/06 04:00:00+00
560997,560998,2000248N18126,WP,MM,BOPHA,21.57,136.24,25,0,2000,9,6,2000/09/06 04:00:00+00
560998,560999,2000248N18126,WP,MM,BOPHA,21.89,136.35,25,0,2000,9,6,2000/09/06 04:00:00+00
560999,561000,2000248N18126,WP,MM,BOPHA,22.31,136.42,27,0,2000,9,6,2000/09/06 04:00:00+00
561000,561001,2000248N18126,WP,MM,BOPHA,22.73,136.43,30,0,2000,9,6,2000/09/06 04:00:00+00
561001,561002,2000248N18126,WP,MM,BOPHA,23.04,136.37,30,0,2000,9,6,2000/09/06 04:00:00+00
561002,561003,2000248N18126,WP,MM,BOPHA,23.3,136.2,30,0,2000,9,6,2000/09/06 04:00:00+00
561003,561004,2000248N18126,WP,MM,BOPHA,23.53,135.95,32,0,2000,9,6,2000/09/06 04:00:00+00
561004,561005,2000248N18126,WP,MM,BOPHA,23.73,135.5,35,0,2000,9,7,2000/09/07 04:00:00+00
561005,561006,2000248N18126,WP,MM,BOPHA,23.91,134.79,35,0,2000,9,7,2000/09/07 04:00:00+00
561006,561007,2000248N18126,WP,MM,BOPHA,24.1,133.97,35,0,2000,9,7,2000/09/07 04:00:00+00
561007,561008,2000248N18126,WP,MM,BOPHA,24.3,133.24,35,0,2000,9,7,2000/09/07 04:00:00+00
561008,561009,2000248N18126,WP,MM,BOPHA,24.5,132.55,35,0,2000,9,7,2000/09/07 04:00:00+00
561009,561010,2000248N18126,WP,MM,BOPHA,24.67,131.95,40,0,2000,9,7,2000/09/07 04:00:00+00
561010,561011,2000248N18126,WP,MM,BOPHA,24.82,131.32,45,0,2000,9,7,2000/09/07 04:00:00+00
561011,561012,2000248N18126,WP,MM,BOPHA,24.99,130.55,47,0,2000,9,7,2000/09/07 04:00:00+00
561012,561013,2000248N18126,WP,MM,BOPHA,25.18,129.75,50,0,2000,9,8,2000/09/08 04:00:00+00
561013,561014,2000248N18126,WP,MM,BOPHA,25.35,129.09,52,0,2000,9,8,2000/09/08 04:00:00+00
561014,561015,2000248N18126,WP,MM,BOPHA,25.52,128.4,55,0,2000,9,8,2000/09/08 04:00:00+00
561015,561016,2000248N18126,WP,MM,BOPHA,25.72,127.65,55,0,2000,9,8,2000/09/08 04:00:00+00
561016,561017,2000248N18126,WP,MM,BOPHA,25.85,126.97,55,0,2000,9,8,2000/09/08 04:00:00+00
561017,561018,2000248N18126,WP,MM,BOPHA,25.82,126.4,55,0,2000,9,8,2000/09/08 04:00:00+00
561018,561019,2000248N18126,WP,MM,BOPHA,25.73,125.88,55,0,2000,9,8,2000/09/08 04:00:00+00
561019,561020,2000248N18126,WP,MM,BOPHA,25.59,125.44,52,0,2000,9,8,2000/09/08 04:00:00+00
561020,561021,2000248N18126,WP,MM,BOPHA,25.4,125.12,50,0,2000,9,9,2000/09/09 04:00:00+00
561021,561022,2000248N18126,WP,MM,BOPHA,25.14,124.81,47,0,2000,9,9,2000/09/09 04:00:00+00
561022,561023,2000248N18126,WP,MM,BOPHA,24.88,124.53,45,0,2000,9,9,2000/09/09 04:00:00+00
561023,561024,2000248N18126,WP,MM,BOPHA,24.6,124.23,45,0,2000,9,9,2000/09/09 04:00:00+00
561024,561025,2000248N18126,WP,MM,BOPHA,24.27,123.92,45,0,2000,9,9,2000/09/09 04:00:00+00
