Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
658605,658606,2016277S30044,SI,MM,BRANSBY,-30.1,43.6,0,0,2016,10,3,2016/10/03 04:00:00+00
658606,658607,2016277S30044,SI,MM,BRANSBY,-30.03,44.23,0,0,2016,10,3,2016/10/03 04:00:00+00
658607,658608,2016277S30044,SI,MM,BRANSBY,-30.1,44.8,0,0,2016,10,3,2016/10/03 04:00:00+00
658608,658609,2016277S30044,SI,MM,BRANSBY,-30.39,45.29,0,0,2016,10,3,2016/10/03 04:00:00+00
658609,658610,2016277S30044,SI,MM,BRANSBY,-30.7,45.7,0,0,2016,10,3,2016/10/03 04:00:00+00
658610,658611,2016277S30044,SI,MM,BRANSBY,-30.83,46.17,0,0,2016,10,3,2016/10/03 04:00:00+00
658611,658612,2016277S30044,SI,MM,BRANSBY,-30.8,46.4,0,0,2016,10,3,2016/10/03 04:00:00+00
658612,658613,2016277S30044,SI,MM,BRANSBY,-30.58,46.15,0,0,2016,10,3,2016/10/03 04:00:00+00
658613,658614,2016277S30044,SI,MM,BRANSBY,-30.3,45.7,0,0,2016,10,4,2016/10/04 04:00:00+00
658614,658615,2016277S30044,SI,MM,BRANSBY,-30.11,45.38,0,0,2016,10,4,2016/10/04 04:00:00+00
658615,658616,2016277S30044,SI,MM,BRANSBY,-30.0,45.1,0,0,2016,10,4,2016/10/04 04:00:00+00
658616,658617,2016277S30044,SI,MM,BRANSBY,-29.99,44.91,0,0,2016,10,4,2016/10/04 04:00:00+00
658617,658618,2016277S30044,SI,MM,BRANSBY,-30.0,44.7,0,0,2016,10,4,2016/10/04 04:00:00+00
658618,658619,2016277S30044,SI,MM,BRANSBY,-29.93,44.37,0,0,2016,10,4,2016/10/04 04:00:00+00
658619,658620,2016277S30044,SI,MM,BRANSBY,-29.8,44.0,0,0,2016,10,4,2016/10/04 04:00:00+00
658620,658621,2016277S30044,SI,MM,BRANSBY,-29.6,43.61,0,0,2016,10,4,2016/10/04 04:00:00+00
658621,658622,2016277S30044,SI,MM,BRANSBY,-29.4,43.3,0,0,2016,10,5,2016/10/05 04:00:00+00
658622,658623,2016277S30044,SI,MM,BRANSBY,-29.29,43.14,0,0,2016,10,5,2016/10/05 04:00:00+00
658623,658624,2016277S30044,SI,MM,BRANSBY,-29.2,43.1,0,0,2016,10,5,2016/10/05 04:00:00+00
658624,658625,2016277S30044,SI,MM,BRANSBY,-29.0,43.05,0,0,2016,10,5,2016/10/05 04:00:00+00
658625,658626,2016277S30044,SI,MM,BRANSBY,-28.9,43.2,0,0,2016,10,5,2016/10/05 04:00:00+00
658626,658627,2016277S30044,SI,MM,BRANSBY,-29.03,43.69,0,0,2016,10,5,2016/10/05 04:00:00+00
658627,658628,2016277S30044,SI,MM,BRANSBY,-29.3,44.3,0,0,2016,10,5,2016/10/05 04:00:00+00
658628,658629,2016277S30044,SI,MM,BRANSBY,-29.52,44.75,0,0,2016,10,5,2016/10/05 04:00:00+00
658629,658630,2016277S30044,SI,MM,BRANSBY,-29.9,45.2,0,0,2016,10,6,2016/10/06 04:00:00+00
658630,658631,2016277S30044,SI,MM,BRANSBY,-30.55,45.75,0,0,2016,10,6,2016/10/06 04:00:00+00
658631,658632,2016277S30044,SI,MM,BRANSBY,-31.3,46.3,0,0,2016,10,6,2016/10/06 04:00:00+00
658632,658633,2016277S30044,SI,MM,BRANSBY,-31.95,46.74,0,0,2016,10,6,2016/10/06 04:00:00+00
658633,658634,2016277S30044,SI,MM,BRANSBY,-32.6,47.2,0,0,2016,10,6,2016/10/06 04:00:00+00
658634,658635,2016277S30044,SI,MM,BRANSBY,-33.26,47.76,0,0,2016,10,6,2016/10/06 04:00:00+00
658635,658636,2016277S30044,SI,MM,BRANSBY,-34.0,48.4,0,0,2016,10,6,2016/10/06 04:00:00+00
658636,658637,2016277S30044,SI,MM,BRANSBY,-34.83,49.04,0,0,2016,10,6,2016/10/06 04:00:00+00
658637,658638,2016277S30044,SI,MM,BRANSBY,-35.8,49.8,0,0,2016,10,7,2016/10/07 04:00:00+00
658638,658639,2016277S30044,SI,MM,BRANSBY,-36.91,50.78,0,0,2016,10,7,2016/10/07 04:00:00+00
