Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
415736,415737,1980018S10130,SI,WA,BRIAN,-10.1,130.4,0,0,1980,1,18,1980/01/18 05:00:00+00
415737,415738,1980018S10130,SI,WA,BRIAN,-10.65,130.12,0,0,1980,1,18,1980/01/18 05:00:00+00
415738,415739,1980018S10130,SI,WA,BRIAN,-11.2,129.8,0,0,1980,1,18,1980/01/18 05:00:00+00
415739,415740,1980018S10130,SI,WA,BRIAN,-11.74,129.4,0,0,1980,1,18,1980/01/18 05:00:00+00
415740,415741,1980018S10130,SI,WA,BRIAN,-12.2,128.9,0,0,1980,1,18,1980/01/18 05:00:00+00
415741,415742,1980018S10130,SI,WA,BRIAN,-12.54,128.31,0,0,1980,1,18,1980/01/18 05:00:00+00
415742,415743,1980018S10130,SI,WA,BRIAN,-12.8,127.7,0,0,1980,1,18,1980/01/18 05:00:00+00
415743,415744,1980018S10130,SI,WA,BRIAN,-13.03,127.13,0,0,1980,1,18,1980/01/18 05:00:00+00
415744,415745,1980018S10130,SI,WA,BRIAN,-13.2,126.6,0,0,1980,1,19,1980/01/19 05:00:00+00
415745,415746,1980018S10130,SI,WA,BRIAN,-13.33,126.15,0,0,1980,1,19,1980/01/19 05:00:00+00
415746,415747,1980018S10130,SI,WA,BRIAN,-13.4,125.7,0,0,1980,1,19,1980/01/19 05:00:00+00
415747,415748,1980018S10130,SI,WA,BRIAN,-13.41,125.19,0,0,1980,1,19,1980/01/19 05:00:00+00
415748,415749,1980018S10130,SI,WA,BRIAN,-13.37,124.73,30,0,1980,1,19,1980/01/19 05:00:00+00
415749,415750,1980018S10130,SI,WA,BRIAN,-13.44,124.09,32,0,1980,1,19,1980/01/19 05:00:00+00
415750,415751,1980018S10130,SI,WA,BRIAN,-13.58,123.37,35,0,1980,1,19,1980/01/19 05:00:00+00
415751,415752,1980018S10130,SI,WA,BRIAN,-13.76,122.62,37,0,1980,1,19,1980/01/19 05:00:00+00
415752,415753,1980018S10130,SI,WA,BRIAN,-13.93,121.9,40,0,1980,1,20,1980/01/20 05:00:00+00
415753,415754,1980018S10130,SI,WA,BRIAN,-14.1,121.3,45,0,1980,1,20,1980/01/20 05:00:00+00
415754,415755,1980018S10130,SI,WA,BRIAN,-14.28,120.72,50,0,1980,1,20,1980/01/20 05:00:00+00
415755,415756,1980018S10130,SI,WA,BRIAN,-14.48,120.08,52,0,1980,1,20,1980/01/20 05:00:00+00
415756,415757,1980018S10130,SI,WA,BRIAN,-14.73,119.33,55,0,1980,1,20,1980/01/20 05:00:00+00
415757,415758,1980018S10130,SI,WA,BRIAN,-15.07,118.42,55,0,1980,1,20,1980/01/20 05:00:00+00
415758,415759,1980018S10130,SI,WA,BRIAN,-15.41,117.42,55,0,1980,1,20,1980/01/20 05:00:00+00
415759,415760,1980018S10130,SI,WA,BRIAN,-15.71,116.42,57,0,1980,1,20,1980/01/20 05:00:00+00
415760,415761,1980018S10130,SI,WA,BRIAN,-15.93,115.43,60,0,1980,1,21,1980/01/21 05:00:00+00
415761,415762,1980018S10130,SI,WA,BRIAN,-16.05,114.52,60,0,1980,1,21,1980/01/21 05:00:00+00
415762,415763,1980018S10130,SI,WA,BRIAN,-16.11,113.62,60,0,1980,1,21,1980/01/21 05:00:00+00
415763,415764,1980018S10130,SI,WA,BRIAN,-16.15,112.65,62,0,1980,1,21,1980/01/21 05:00:00+00
415764,415765,1980018S10130,SI,WA,BRIAN,-16.23,111.73,65,0,1980,1,21,1980/01/21 05:00:00+00
415765,415766,1980018S10130,SI,WA,BRIAN,-16.42,110.93,70,0,1980,1,21,1980/01/21 05:00:00+00
415766,415767,1980018S10130,SI,WA,BRIAN,-16.64,110.21,75,0,1980,1,21,1980/01/21 05:00:00+00
415767,415768,1980018S10130,SI,WA,BRIAN,-16.85,109.52,80,0,1980,1,21,1980/01/21 05:00:00+00
415768,415769,1980018S10130,SI,WA,BRIAN,-17.03,108.83,85,0,1980,1,22,1980/01/22 05:00:00+00
415769,415770,1980018S10130,SI,WA,BRIAN,-17.19,108.11,87,0,1980,1,22,1980/01/22 05:00:00+00
415770,415771,1980018S10130,SI,WA,BRIAN,-17.34,107.37,90,0,1980,1,22,1980/01/22 05:00:00+00
415771,415772,1980018S10130,SI,WA,BRIAN,-17.5,106.65,90,0,1980,1,22,1980/01/22 05:00:00+00
415772,415773,1980018S10130,SI,WA,BRIAN,-17.63,105.93,90,0,1980,1,22,1980/01/22 05:00:00+00
415773,415774,1980018S10130,SI,WA,BRIAN,-17.68,105.2,90,0,1980,1,22,1980/01/22 05:00:00+00
415774,415775,1980018S10130,SI,WA,BRIAN,-17.73,104.46,90,0,1980,1,22,1980/01/22 05:00:00+00
415775,415776,1980018S10130,SI,WA,BRIAN,-17.83,103.71,90,0,1980,1,22,1980/01/22 05:00:00+00
415776,415777,1980018S10130,SI,WA,BRIAN,-18.0,103.0,90,0,1980,1,23,1980/01/23 05:00:00+00
415777,415778,1980018S10130,SI,WA,BRIAN,-18.22,102.37,90,0,1980,1,23,1980/01/23 05:00:00+00
415778,415779,1980018S10130,SI,WA,BRIAN,-18.5,101.8,90,0,1980,1,23,1980/01/23 05:00:00+00
415779,415780,1980018S10130,SI,WA,BRIAN,-18.85,101.26,90,0,1980,1,23,1980/01/23 05:00:00+00
415780,415781,1980018S10130,SI,WA,BRIAN,-19.23,100.77,90,0,1980,1,23,1980/01/23 05:00:00+00
415781,415782,1980018S10130,SI,WA,BRIAN,-19.57,100.32,90,0,1980,1,23,1980/01/23 05:00:00+00
415782,415783,1980018S10130,SI,WA,BRIAN,-19.94,99.89,90,0,1980,1,23,1980/01/23 05:00:00+00
415783,415784,1980018S10130,SI,WA,BRIAN,-20.37,99.43,87,0,1980,1,23,1980/01/23 05:00:00+00
415784,415785,1980018S10130,SI,WA,BRIAN,-20.83,98.87,85,0,1980,1,24,1980/01/24 05:00:00+00
415785,415786,1980018S10130,SI,WA,BRIAN,-21.31,98.11,82,0,1980,1,24,1980/01/24 05:00:00+00
415786,415787,1980018S10130,SI,WA,BRIAN,-21.8,97.26,80,0,1980,1,24,1980/01/24 05:00:00+00
415787,415788,1980018S10130,SI,WA,BRIAN,-22.28,96.37,75,0,1980,1,24,1980/01/24 05:00:00+00
415788,415789,1980018S10130,SI,WA,BRIAN,-22.77,95.57,70,0,1980,1,24,1980/01/24 05:00:00+00
415789,415790,1980018S10130,SI,WA,BRIAN,-23.24,94.97,67,0,1980,1,24,1980/01/24 05:00:00+00
415790,415791,1980018S10130,SI,WA,BRIAN,-23.72,94.52,65,0,1980,1,24,1980/01/24 05:00:00+00
415791,415792,1980018S10130,SI,WA,BRIAN,-24.2,94.12,62,0,1980,1,24,1980/01/24 05:00:00+00
415792,415793,1980018S10130,SI,WA,BRIAN,-24.73,93.8,60,0,1980,1,25,1980/01/25 05:00:00+00
415793,415794,1980018S10130,SI,WA,BRIAN,-25.33,93.5,57,0,1980,1,25,1980/01/25 05:00:00+00
415794,415795,1980018S10130,SI,WA,BRIAN,-26.01,93.27,55,0,1980,1,25,1980/01/25 05:00:00+00
415795,415796,1980018S10130,SI,WA,BRIAN,-26.82,93.02,52,0,1980,1,25,1980/01/25 05:00:00+00
415796,415797,1980018S10130,SI,WA,BRIAN,-27.67,92.7,50,0,1980,1,25,1980/01/25 05:00:00+00
415797,415798,1980018S10130,SI,WA,BRIAN,-28.45,92.2,0,0,1980,1,25,1980/01/25 05:00:00+00
415798,415799,1980018S10130,SI,WA,BRIAN,-29.3,92.3,0,0,1980,1,25,1980/01/25 05:00:00+00
415799,415800,1980018S10130,SI,WA,BRIAN,-29.93,92.48,0,0,1980,1,25,1980/01/25 05:00:00+00
415800,415801,1980018S10130,SI,WA,BRIAN,-30.4,92.7,0,0,1980,1,26,1980/01/26 05:00:00+00
415801,415802,1980018S10130,SI,WA,BRIAN,-30.84,92.87,0,0,1980,1,26,1980/01/26 05:00:00+00
