Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
358362,358363,1972003S16139,SP,EA,BRONWYN(SEC,-16.2,138.7,0,0,1972,1,2,1972/01/02 05:00:00+00
358363,358364,1972003S16139,SP,EA,BRONWYN(SEC,-16.13,138.7,10,0,1972,1,3,1972/01/03 05:00:00+00
358364,358365,1972003S16139,SP,EA,BRONWYN(SEC,-16.01,138.71,8,0,1972,1,3,1972/01/03 05:00:00+00
358365,358366,1972003S16139,SP,EA,BRONWYN(SEC,-15.95,138.73,7,0,1972,1,3,1972/01/03 05:00:00+00
358366,358367,1972003S16139,SP,EA,BRONWYN(SEC,-15.83,138.75,5,0,1972,1,3,1972/01/03 05:00:00+00
358367,358368,1972003S16139,SP,EA,BRONWYN(SEC,-15.77,138.76,5,0,1972,1,3,1972/01/03 05:00:00+00
358368,358369,1972003S16139,SP,EA,BRONWYN(SEC,-15.63,138.77,5,0,1972,1,3,1972/01/03 05:00:00+00
358369,358370,1972003S16139,SP,EA,BRONWYN(SEC,-15.56,138.78,5,0,1972,1,3,1972/01/03 05:00:00+00
358370,358371,1972003S16139,SP,EA,BRONWYN(SEC,-15.41,138.79,5,0,1972,1,3,1972/01/03 05:00:00+00
358371,358372,1972003S16139,SP,EA,BRONWYN(SEC,-15.32,138.8,5,0,1972,1,3,1972/01/03 05:00:00+00
358372,358373,1972003S16139,SP,EA,BRONWYN(SEC,-15.14,138.83,6,0,1972,1,3,1972/01/03 05:00:00+00
358373,358374,1972003S16139,SP,EA,BRONWYN(SEC,-15.05,138.84,7,0,1972,1,3,1972/01/03 05:00:00+00
358374,358375,1972003S16139,SP,EA,BRONWYN(SEC,-14.86,138.89,9,0,1972,1,3,1972/01/03 05:00:00+00
358375,358376,1972003S16139,SP,EA,BRONWYN(SEC,-14.76,138.91,10,0,1972,1,3,1972/01/03 05:00:00+00
358376,358377,1972003S16139,SP,EA,BRONWYN(SEC,-14.56,138.94,10,0,1972,1,3,1972/01/03 05:00:00+00
358377,358378,1972003S16139,SP,EA,BRONWYN(SEC,-14.45,138.96,10,0,1972,1,3,1972/01/03 05:00:00+00
358378,358379,1972003S16139,SP,EA,BRONWYN(SEC,-14.23,138.99,10,0,1972,1,3,1972/01/03 05:00:00+00
358379,358380,1972003S16139,SP,EA,BRONWYN(SEC,-14.11,139.0,10,0,1972,1,4,1972/01/04 05:00:00+00
358380,358381,1972003S16139,SP,EA,BRONWYN(SEC,-13.88,139.04,10,0,1972,1,4,1972/01/04 05:00:00+00
358381,358382,1972003S16139,SP,EA,BRONWYN(SEC,-13.75,139.06,10,0,1972,1,4,1972/01/04 05:00:00+00
358382,358383,1972003S16139,SP,EA,BRONWYN(SEC,-13.49,139.12,10,0,1972,1,4,1972/01/04 05:00:00+00
358383,358384,1972003S16139,SP,EA,BRONWYN(SEC,-13.36,139.15,10,0,1972,1,4,1972/01/04 05:00:00+00
358384,358385,1972003S16139,SP,EA,BRONWYN(SEC,-13.08,139.19,10,0,1972,1,4,1972/01/04 05:00:00+00
358385,358386,1972003S16139,SP,EA,BRONWYN(SEC,-12.93,139.22,10,0,1972,1,4,1972/01/04 05:00:00+00
358386,358387,1972003S16139,SP,EA,BRONWYN(SEC,-12.63,139.28,10,0,1972,1,4,1972/01/04 05:00:00+00
358387,358388,1972003S16139,SP,EA,BRONWYN(SEC,-12.48,139.31,10,0,1972,1,4,1972/01/04 05:00:00+00
358388,358389,1972003S16139,SP,EA,BRONWYN(SEC,-12.16,139.4,13,0,1972,1,4,1972/01/04 05:00:00+00
358389,358390,1972003S16139,SP,EA,BRONWYN(SEC,-11.99,139.45,15,0,1972,1,4,1972/01/04 05:00:00+00
358390,358391,1972003S16139,SP,EA,BRONWYN(SEC,-11.7,139.57,18,0,1972,1,4,1972/01/04 05:00:00+00
358391,358392,1972003S16139,SP,EA,BRONWYN(SEC,-11.58,139.63,20,0,1972,1,4,1972/01/04 05:00:00+00
358392,358393,1972003S16139,SP,EA,BRONWYN(SEC,-11.41,139.78,21,0,1972,1,4,1972/01/04 05:00:00+00
358393,358394,1972003S16139,SP,EA,BRONWYN(SEC,-11.36,139.84,22,0,1972,1,4,1972/01/04 05:00:00+00
358394,358395,1972003S16139,SP,EA,BRONWYN(SEC,-11.31,139.96,24,0,1972,1,4,1972/01/04 05:00:00+00
358395,358396,1972003S16139,SP,EA,BRONWYN(SEC,-11.29,140.01,25,0,1972,1,5,1972/01/05 05:00:00+00
358396,358397,1972003S16139,SP,EA,BRONWYN(SEC,-11.28,140.09,28,0,1972,1,5,1972/01/05 05:00:00+00
358397,358398,1972003S16139,SP,EA,BRONWYN(SEC,-11.29,140.12,30,0,1972,1,5,1972/01/05 05:00:00+00
358398,358399,1972003S16139,SP,EA,BRONWYN(SEC,-11.31,140.19,33,0,1972,1,5,1972/01/05 05:00:00+00
358399,358400,1972003S16139,SP,EA,BRONWYN(SEC,-11.33,140.21,35,0,1972,1,5,1972/01/05 05:00:00+00
358400,358401,1972003S16139,SP,EA,BRONWYN(SEC,-11.35,140.28,35,0,1972,1,5,1972/01/05 05:00:00+00
358401,358402,1972003S16139,SP,EA,BRONWYN(SEC,-11.36,140.31,35,0,1972,1,5,1972/01/05 05:00:00+00
358402,358403,1972003S16139,SP,EA,BRONWYN(SEC,-11.39,140.38,35,0,1972,1,5,1972/01/05 05:00:00+00
358403,358404,1972003S16139,SP,EA,BRONWYN(SEC,-11.4,140.41,35,0,1972,1,5,1972/01/05 05:00:00+00
358404,358405,1972003S16139,SP,EA,BRONWYN(SEC,-11.41,140.47,33,0,1972,1,5,1972/01/05 05:00:00+00
358405,358406,1972003S16139,SP,EA,BRONWYN(SEC,-11.42,140.51,32,0,1972,1,5,1972/01/05 05:00:00+00
358406,358407,1972003S16139,SP,EA,BRONWYN(SEC,-11.43,140.57,30,0,1972,1,5,1972/01/05 05:00:00+00
358407,358408,1972003S16139,SP,EA,BRONWYN(SEC,-11.45,140.61,30,0,1972,1,5,1972/01/05 05:00:00+00
358408,358409,1972003S16139,SP,EA,BRONWYN(SEC,-11.47,140.67,30,0,1972,1,5,1972/01/05 05:00:00+00
358409,358410,1972003S16139,SP,EA,BRONWYN(SEC,-11.48,140.7,30,0,1972,1,5,1972/01/05 05:00:00+00
358410,358411,1972003S16139,SP,EA,BRONWYN(SEC,-11.49,140.78,30,0,1972,1,5,1972/01/05 05:00:00+00
358411,358412,1972003S16139,SP,EA,BRONWYN(SEC,-11.5,140.84,30,0,1972,1,6,1972/01/06 05:00:00+00
358412,358413,1972003S16139,SP,EA,BRONWYN(SEC,-11.53,140.97,28,0,1972,1,6,1972/01/06 05:00:00+00
358413,358414,1972003S16139,SP,EA,BRONWYN(SEC,-11.55,141.05,27,0,1972,1,6,1972/01/06 05:00:00+00
358414,358415,1972003S16139,SP,EA,BRONWYN(SEC,-11.59,141.2,25,0,1972,1,6,1972/01/06 05:00:00+00
358415,358416,1972003S16139,SP,EA,BRONWYN(SEC,-11.6,141.27,25,0,1972,1,6,1972/01/06 05:00:00+00
358416,358417,1972003S16139,SP,EA,BRONWYN(SEC,-11.63,141.41,25,0,1972,1,6,1972/01/06 05:00:00+00
358417,358418,1972003S16139,SP,EA,BRONWYN(SEC,-11.66,141.47,25,0,1972,1,6,1972/01/06 05:00:00+00
358418,358419,1972003S16139,SP,EA,BRONWYN(SEC,-11.69,141.57,25,0,1972,1,6,1972/01/06 05:00:00+00
358419,358420,1972003S16139,SP,EA,BRONWYN(SEC,-11.7,141.61,25,0,1972,1,6,1972/01/06 05:00:00+00
358420,358421,1972003S16139,SP,EA,BRONWYN(SEC,-11.69,141.66,25,0,1972,1,6,1972/01/06 05:00:00+00
358421,358422,1972003S16139,SP,EA,BRONWYN(SEC,-11.68,141.69,25,0,1972,1,6,1972/01/06 05:00:00+00
358422,358423,1972003S16139,SP,EA,BRONWYN(SEC,-11.68,141.74,25,0,1972,1,6,1972/01/06 05:00:00+00
358423,358424,1972003S16139,SP,EA,BRONWYN(SEC,-11.69,141.76,25,0,1972,1,6,1972/01/06 05:00:00+00
358424,358425,1972003S16139,SP,EA,BRONWYN(SEC,-11.73,141.81,25,0,1972,1,6,1972/01/06 05:00:00+00
358425,358426,1972003S16139,SP,EA,BRONWYN(SEC,-11.74,141.84,25,0,1972,1,6,1972/01/06 05:00:00+00
358426,358427,1972003S16139,SP,EA,BRONWYN(SEC,-11.83,141.88,25,0,1972,1,6,1972/01/06 05:00:00+00
358427,358428,1972003S16139,SP,EA,BRONWYN(SEC,-11.94,141.88,25,0,1972,1,7,1972/01/07 05:00:00+00
358428,358429,1972003S16139,SP,EA,BRONWYN(SEC,-12.4,141.82,20,0,1972,1,7,1972/01/07 05:00:00+00
358429,358430,1972003S16139,SP,EA,BRONWYN(SEC,-12.75,141.78,16,0,1972,1,7,1972/01/07 05:00:00+00
358430,358431,1972003S16139,SP,EA,BRONWYN(SEC,-12.91,141.78,15,0,1972,1,7,1972/01/07 05:00:00+00
358431,358432,1972003S16139,SP,EA,BRONWYN(SEC,-13.22,141.79,13,0,1972,1,7,1972/01/07 05:00:00+00
358432,358433,1972003S16139,SP,EA,BRONWYN(SEC,-13.36,141.79,12,0,1972,1,7,1972/01/07 05:00:00+00
358433,358434,1972003S16139,SP,EA,BRONWYN(SEC,-13.67,141.8,10,0,1972,1,7,1972/01/07 05:00:00+00
358434,358435,1972003S16139,SP,EA,BRONWYN(SEC,-13.87,141.8,10,0,1972,1,7,1972/01/07 05:00:00+00
358435,358436,1972003S16139,SP,EA,BRONWYN(SEC,-14.57,141.81,15,0,1972,1,7,1972/01/07 05:00:00+00
358436,358437,1972003S16139,SP,EA,BRONWYN(SEC,-15.05,141.86,18,0,1972,1,7,1972/01/07 05:00:00+00
358437,358438,1972003S16139,SP,EA,BRONWYN(SEC,-15.26,141.92,20,0,1972,1,7,1972/01/07 05:00:00+00
358438,358439,1972003S16139,SP,EA,BRONWYN(SEC,-15.62,142.03,23,0,1972,1,7,1972/01/07 05:00:00+00
358439,358440,1972003S16139,SP,EA,BRONWYN(SEC,-15.75,142.05,25,0,1972,1,7,1972/01/07 05:00:00+00
358440,358441,1972003S16139,SP,EA,BRONWYN(SEC,-15.98,142.08,28,0,1972,1,7,1972/01/07 05:00:00+00
358441,358442,1972003S16139,SP,EA,BRONWYN(SEC,-16.09,142.13,30,0,1972,1,8,1972/01/08 05:00:00+00
358442,358443,1972003S16139,SP,EA,BRONWYN(SEC,-16.31,142.26,30,0,1972,1,8,1972/01/08 05:00:00+00
358443,358444,1972003S16139,SP,EA,BRONWYN(SEC,-16.41,142.33,30,0,1972,1,8,1972/01/08 05:00:00+00
358444,358445,1972003S16139,SP,EA,BRONWYN(SEC,-16.6,142.47,30,0,1972,1,8,1972/01/08 05:00:00+00
358445,358446,1972003S16139,SP,EA,BRONWYN(SEC,-16.7,142.53,30,0,1972,1,8,1972/01/08 05:00:00+00
358446,358447,1972003S16139,SP,EA,BRONWYN(SEC,-16.89,142.65,30,0,1972,1,8,1972/01/08 05:00:00+00
358447,358448,1972003S16139,SP,EA,BRONWYN(SEC,-16.99,142.69,30,0,1972,1,8,1972/01/08 05:00:00+00
358448,358449,1972003S16139,SP,EA,BRONWYN(SEC,-17.18,142.78,30,0,1972,1,8,1972/01/08 05:00:00+00
358449,358450,1972003S16139,SP,EA,BRONWYN(SEC,-17.28,142.81,30,0,1972,1,8,1972/01/08 05:00:00+00
358450,358451,1972003S16139,SP,EA,BRONWYN(SEC,-17.59,142.9,30,0,1972,1,8,1972/01/08 05:00:00+00
358451,358452,1972003S16139,SP,EA,BRONWYN(SEC,-17.78,142.94,30,0,1972,1,8,1972/01/08 05:00:00+00
358452,358453,1972003S16139,SP,EA,BRONWYN(SEC,-17.88,142.95,30,0,1972,1,8,1972/01/08 05:00:00+00
358453,358454,1972003S16139,SP,EA,BRONWYN(SEC,-18.06,142.97,30,0,1972,1,8,1972/01/08 05:00:00+00
358454,358455,1972003S16139,SP,EA,BRONWYN(SEC,-18.14,142.99,30,0,1972,1,8,1972/01/08 05:00:00+00
358455,358456,1972003S16139,SP,EA,BRONWYN(SEC,-18.3,143.0,30,0,1972,1,8,1972/01/08 05:00:00+00
358456,358457,1972003S16139,SP,EA,BRONWYN(SEC,-18.37,143.0,30,0,1972,1,9,1972/01/09 05:00:00+00
358457,358458,1972003S16139,SP,EA,BRONWYN(SEC,-18.53,142.99,28,0,1972,1,9,1972/01/09 05:00:00+00
358458,358459,1972003S16139,SP,EA,BRONWYN(SEC,-18.6,142.98,27,0,1972,1,9,1972/01/09 05:00:00+00
358459,358460,1972003S16139,SP,EA,BRONWYN(SEC,-18.76,142.92,25,0,1972,1,9,1972/01/09 05:00:00+00
