Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
685690,685691,2020335N06090,NI,BB,BUREVI,6.4,90.4,10,1014,2020,11,29,2020/11/29 05:00:00+00
685691,685692,2020335N06090,NI,BB,BUREVI,6.63,89.77,15,1011,2020,11,29,2020/11/29 05:00:00+00
685692,685693,2020335N06090,NI,BB,BUREVI,6.9,89.1,20,1008,2020,11,29,2020/11/29 05:00:00+00
685693,685694,2020335N06090,NI,BB,BUREVI,7.24,88.38,17,1008,2020,11,29,2020/11/29 05:00:00+00
685694,685695,2020335N06090,NI,BB,BUREVI,7.5,87.84,15,1008,2020,11,30,2020/11/30 05:00:00+00
685695,685696,2020335N06090,NI,BB,BUREVI,7.61,87.58,20,1007,2020,11,30,2020/11/30 05:00:00+00
685696,685697,2020335N06090,NI,BB,BUREVI,7.63,87.4,25,1006,2020,11,30,2020/11/30 05:00:00+00
685697,685698,2020335N06090,NI,BB,BUREVI,7.59,87.24,25,1005,2020,11,30,2020/11/30 05:00:00+00
685698,685699,2020335N06090,NI,BB,BUREVI,7.5,87.1,25,1005,2020,11,30,2020/11/30 05:00:00+00
685699,685700,2020335N06090,NI,BB,BUREVI,7.5,86.95,27,1005,2020,11,30,2020/11/30 05:00:00+00
685700,685701,2020335N06090,NI,BB,BUREVI,7.5,86.75,30,1006,2020,11,30,2020/11/30 05:00:00+00
685701,685702,2020335N06090,NI,BB,BUREVI,7.45,86.45,30,1005,2020,11,30,2020/11/30 05:00:00+00
685702,685703,2020335N06090,NI,BB,BUREVI,7.4,86.1,30,1005,2020,12,1,2020/12/01 05:00:00+00
685703,685704,2020335N06090,NI,BB,BUREVI,7.4,85.77,30,1004,2020,12,1,2020/12/01 05:00:00+00
685704,685705,2020335N06090,NI,BB,BUREVI,7.45,85.4,30,1003,2020,12,1,2020/12/01 05:00:00+00
685705,685706,2020335N06090,NI,BB,BUREVI,7.56,85.11,32,1002,2020,12,1,2020/12/01 05:00:00+00
685706,685707,2020335N06090,NI,BB,BUREVI,7.7,84.85,35,1002,2020,12,1,2020/12/01 05:00:00+00
685707,685708,2020335N06090,NI,BB,BUREVI,7.8,84.55,37,1001,2020,12,1,2020/12/01 05:00:00+00
685708,685709,2020335N06090,NI,BB,BUREVI,8.0,84.25,40,1001,2020,12,1,2020/12/01 05:00:00+00
685709,685710,2020335N06090,NI,BB,BUREVI,8.25,83.67,42,1000,2020,12,1,2020/12/01 05:00:00+00
685710,685711,2020335N06090,NI,BB,BUREVI,8.45,83.3,45,999,2020,12,2,2020/12/02 05:00:00+00
685711,685712,2020335N06090,NI,BB,BUREVI,8.58,82.9,42,1000,2020,12,2,2020/12/02 05:00:00+00
685712,685713,2020335N06090,NI,BB,BUREVI,8.7,82.6,40,1002,2020,12,2,2020/12/02 05:00:00+00
685713,685714,2020335N06090,NI,BB,BUREVI,8.75,82.24,40,1002,2020,12,2,2020/12/02 05:00:00+00
685714,685715,2020335N06090,NI,BB,BUREVI,8.8,81.85,40,1002,2020,12,2,2020/12/02 05:00:00+00
685715,685716,2020335N06090,NI,BB,BUREVI,8.86,81.63,40,1001,2020,12,2,2020/12/02 05:00:00+00
