Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
224680,224681,1949341N10142,WP,MM,CAMILLA,9.7,141.9,0,0,1949,12,6,1949/12/06 05:00:00+00
224681,224682,1949341N10142,WP,MM,CAMILLA,9.65,141.57,0,0,1949,12,6,1949/12/06 05:00:00+00
224682,224683,1949341N10142,WP,MM,CAMILLA,9.6,141.2,0,0,1949,12,7,1949/12/07 05:00:00+00
224683,224684,1949341N10142,WP,MM,CAMILLA,9.56,140.76,0,0,1949,12,7,1949/12/07 05:00:00+00
224684,224685,1949341N10142,WP,MM,CAMILLA,9.5,140.3,0,0,1949,12,7,1949/12/07 05:00:00+00
224685,224686,1949341N10142,WP,MM,CAMILLA,9.41,139.89,0,0,1949,12,7,1949/12/07 05:00:00+00
224686,224687,1949341N10142,WP,MM,CAMILLA,9.3,139.5,0,0,1949,12,7,1949/12/07 05:00:00+00
224687,224688,1949341N10142,WP,MM,CAMILLA,9.21,139.1,0,0,1949,12,7,1949/12/07 05:00:00+00
224688,224689,1949341N10142,WP,MM,CAMILLA,9.1,138.7,0,0,1949,12,7,1949/12/07 05:00:00+00
224689,224690,1949341N10142,WP,MM,CAMILLA,8.96,138.3,0,0,1949,12,7,1949/12/07 05:00:00+00
224690,224691,1949341N10142,WP,MM,CAMILLA,8.8,137.9,0,0,1949,12,8,1949/12/08 05:00:00+00
224691,224692,1949341N10142,WP,MM,CAMILLA,8.65,137.5,0,0,1949,12,8,1949/12/08 05:00:00+00
224692,224693,1949341N10142,WP,MM,CAMILLA,8.5,137.1,0,0,1949,12,8,1949/12/08 05:00:00+00
224693,224694,1949341N10142,WP,MM,CAMILLA,8.35,136.71,0,0,1949,12,8,1949/12/08 05:00:00+00
224694,224695,1949341N10142,WP,MM,CAMILLA,8.2,136.3,0,0,1949,12,8,1949/12/08 05:00:00+00
224695,224696,1949341N10142,WP,MM,CAMILLA,8.03,135.85,0,0,1949,12,8,1949/12/08 05:00:00+00
224696,224697,1949341N10142,WP,MM,CAMILLA,7.9,135.4,0,0,1949,12,8,1949/12/08 05:00:00+00
224697,224698,1949341N10142,WP,MM,CAMILLA,7.87,135.01,0,0,1949,12,8,1949/12/08 05:00:00+00
224698,224699,1949341N10142,WP,MM,CAMILLA,8.1,134.3,40,0,1949,12,9,1949/12/09 05:00:00+00
224699,224700,1949341N10142,WP,MM,CAMILLA,8.34,133.59,45,0,1949,12,9,1949/12/09 05:00:00+00
224700,224701,1949341N10142,WP,MM,CAMILLA,8.56,132.86,50,0,1949,12,9,1949/12/09 05:00:00+00
224701,224702,1949341N10142,WP,MM,CAMILLA,8.74,132.07,52,0,1949,12,9,1949/12/09 05:00:00+00
224702,224703,1949341N10142,WP,MM,CAMILLA,8.94,131.36,55,0,1949,12,9,1949/12/09 05:00:00+00
224703,224704,1949341N10142,WP,MM,CAMILLA,9.31,130.75,55,0,1949,12,9,1949/12/09 05:00:00+00
224704,224705,1949341N10142,WP,MM,CAMILLA,9.77,130.22,55,0,1949,12,9,1949/12/09 05:00:00+00
224705,224706,1949341N10142,WP,MM,CAMILLA,10.24,129.71,55,0,1949,12,9,1949/12/09 05:00:00+00
224706,224707,1949341N10142,WP,MM,CAMILLA,10.72,129.22,55,0,1949,12,10,1949/12/10 05:00:00+00
224707,224708,1949341N10142,WP,MM,CAMILLA,11.18,128.72,62,0,1949,12,10,1949/12/10 05:00:00+00
224708,224709,1949341N10142,WP,MM,CAMILLA,11.61,128.21,70,0,1949,12,10,1949/12/10 05:00:00+00
224709,224710,1949341N10142,WP,MM,CAMILLA,12.02,127.68,77,0,1949,12,10,1949/12/10 05:00:00+00
224710,224711,1949341N10142,WP,MM,CAMILLA,12.42,127.12,85,0,1949,12,10,1949/12/10 05:00:00+00
224711,224712,1949341N10142,WP,MM,CAMILLA,12.83,126.53,85,0,1949,12,10,1949/12/10 05:00:00+00
224712,224713,1949341N10142,WP,MM,CAMILLA,13.24,125.92,85,0,1949,12,10,1949/12/10 05:00:00+00
224713,224714,1949341N10142,WP,MM,CAMILLA,13.67,125.31,85,0,1949,12,10,1949/12/10 05:00:00+00
224714,224715,1949341N10142,WP,MM,CAMILLA,14.08,124.72,85,0,1949,12,11,1949/12/11 05:00:00+00
224715,224716,1949341N10142,WP,MM,CAMILLA,14.45,124.17,80,0,1949,12,11,1949/12/11 05:00:00+00
224716,224717,1949341N10142,WP,MM,CAMILLA,14.8,123.65,75,0,1949,12,11,1949/12/11 05:00:00+00
224717,224718,1949341N10142,WP,MM,CAMILLA,15.14,123.17,75,0,1949,12,11,1949/12/11 05:00:00+00
224718,224719,1949341N10142,WP,MM,CAMILLA,15.5,122.72,75,0,1949,12,11,1949/12/11 05:00:00+00
224719,224720,1949341N10142,WP,MM,CAMILLA,15.89,122.24,72,0,1949,12,11,1949/12/11 05:00:00+00
224720,224721,1949341N10142,WP,MM,CAMILLA,16.29,121.82,70,0,1949,12,11,1949/12/11 05:00:00+00
224721,224722,1949341N10142,WP,MM,CAMILLA,16.68,121.49,67,0,1949,12,11,1949/12/11 05:00:00+00
224722,224723,1949341N10142,WP,MM,CAMILLA,17.1,121.28,65,0,1949,12,12,1949/12/12 05:00:00+00
224723,224724,1949341N10142,WP,MM,CAMILLA,17.56,121.17,67,0,1949,12,12,1949/12/12 05:00:00+00
