Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
220393,220394,1949013N06140,WP,MM,CARMEN,5.7,139.9,0,0,1949,1,13,1949/01/13 05:00:00+00
220394,220395,1949013N06140,WP,MM,CARMEN,5.78,139.6,0,0,1949,1,13,1949/01/13 05:00:00+00
220395,220396,1949013N06140,WP,MM,CARMEN,6.2,139.9,25,0,1949,1,13,1949/01/13 05:00:00+00
220396,220397,1949013N06140,WP,MM,CARMEN,6.36,139.64,30,0,1949,1,13,1949/01/13 05:00:00+00
220397,220398,1949013N06140,WP,MM,CARMEN,6.51,139.34,35,0,1949,1,13,1949/01/13 05:00:00+00
220398,220399,1949013N06140,WP,MM,CARMEN,6.64,138.94,37,0,1949,1,13,1949/01/13 05:00:00+00
220399,220400,1949013N06140,WP,MM,CARMEN,6.78,138.48,40,0,1949,1,13,1949/01/13 05:00:00+00
220400,220401,1949013N06140,WP,MM,CARMEN,6.95,138.04,42,0,1949,1,13,1949/01/13 05:00:00+00
220401,220402,1949013N06140,WP,MM,CARMEN,7.2,137.62,45,0,1949,1,14,1949/01/14 05:00:00+00
220402,220403,1949013N06140,WP,MM,CARMEN,7.54,137.23,47,0,1949,1,14,1949/01/14 05:00:00+00
220403,220404,1949013N06140,WP,MM,CARMEN,7.92,136.86,50,0,1949,1,14,1949/01/14 05:00:00+00
220404,220405,1949013N06140,WP,MM,CARMEN,8.27,136.5,55,0,1949,1,14,1949/01/14 05:00:00+00
220405,220406,1949013N06140,WP,MM,CARMEN,8.6,136.16,60,0,1949,1,14,1949/01/14 05:00:00+00
220406,220407,1949013N06140,WP,MM,CARMEN,8.9,135.83,60,0,1949,1,14,1949/01/14 05:00:00+00
220407,220408,1949013N06140,WP,MM,CARMEN,9.21,135.53,60,0,1949,1,14,1949/01/14 05:00:00+00
220408,220409,1949013N06140,WP,MM,CARMEN,9.55,135.23,60,0,1949,1,14,1949/01/14 05:00:00+00
