Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
313530,313531,1965359S09101,SI,WA,CAROL-DAISY,-8.8,100.9,0,0,1965,12,25,1965/12/25 05:00:00+00
313531,313532,1965359S09101,SI,WA,CAROL-DAISY,-8.86,100.74,0,0,1965,12,25,1965/12/25 05:00:00+00
313532,313533,1965359S09101,SI,WA,CAROL-DAISY,-8.89,100.59,0,0,1965,12,25,1965/12/25 05:00:00+00
313533,313534,1965359S09101,SI,WA,CAROL-DAISY,-8.95,100.37,10,0,1965,12,25,1965/12/25 05:00:00+00
313534,313535,1965359S09101,SI,WA,CAROL-DAISY,-9.0,100.14,10,0,1965,12,25,1965/12/25 05:00:00+00
313535,313536,1965359S09101,SI,WA,CAROL-DAISY,-9.01,100.04,10,0,1965,12,25,1965/12/25 05:00:00+00
313536,313537,1965359S09101,SI,WA,CAROL-DAISY,-9.05,99.9,10,0,1965,12,25,1965/12/25 05:00:00+00
313537,313538,1965359S09101,SI,WA,CAROL-DAISY,-9.12,99.67,10,0,1965,12,25,1965/12/25 05:00:00+00
313538,313539,1965359S09101,SI,WA,CAROL-DAISY,-9.15,99.58,10,0,1965,12,25,1965/12/25 05:00:00+00
313539,313540,1965359S09101,SI,WA,CAROL-DAISY,-9.22,99.4,10,0,1965,12,25,1965/12/25 05:00:00+00
313540,313541,1965359S09101,SI,WA,CAROL-DAISY,-9.25,99.31,10,0,1965,12,25,1965/12/25 05:00:00+00
313541,313542,1965359S09101,SI,WA,CAROL-DAISY,-9.31,99.12,10,0,1965,12,25,1965/12/25 05:00:00+00
313542,313543,1965359S09101,SI,WA,CAROL-DAISY,-9.35,99.02,10,0,1965,12,25,1965/12/25 05:00:00+00
313543,313544,1965359S09101,SI,WA,CAROL-DAISY,-9.43,98.82,10,0,1965,12,26,1965/12/26 05:00:00+00
313544,313545,1965359S09101,SI,WA,CAROL-DAISY,-9.47,98.73,10,0,1965,12,26,1965/12/26 05:00:00+00
313545,313546,1965359S09101,SI,WA,CAROL-DAISY,-9.56,98.52,10,0,1965,12,26,1965/12/26 05:00:00+00
313546,313547,1965359S09101,SI,WA,CAROL-DAISY,-9.6,98.42,10,0,1965,12,26,1965/12/26 05:00:00+00
313547,313548,1965359S09101,SI,WA,CAROL-DAISY,-9.71,98.21,10,0,1965,12,26,1965/12/26 05:00:00+00
313548,313549,1965359S09101,SI,WA,CAROL-DAISY,-9.77,98.1,11,0,1965,12,26,1965/12/26 05:00:00+00
313549,313550,1965359S09101,SI,WA,CAROL-DAISY,-9.9,97.87,15,0,1965,12,26,1965/12/26 05:00:00+00
313550,313551,1965359S09101,SI,WA,CAROL-DAISY,-10.13,97.5,20,0,1965,12,26,1965/12/26 05:00:00+00
313551,313552,1965359S09101,SI,WA,CAROL-DAISY,-10.36,97.1,22,0,1965,12,26,1965/12/26 05:00:00+00
313552,313553,1965359S09101,SI,WA,CAROL-DAISY,-10.44,96.97,23,0,1965,12,26,1965/12/26 05:00:00+00
313553,313554,1965359S09101,SI,WA,CAROL-DAISY,-10.61,96.69,25,0,1965,12,26,1965/12/26 05:00:00+00
313554,313555,1965359S09101,SI,WA,CAROL-DAISY,-10.89,96.27,22,0,1965,12,26,1965/12/26 05:00:00+00
313555,313556,1965359S09101,SI,WA,CAROL-DAISY,-11.19,95.84,20,0,1965,12,27,1965/12/27 05:00:00+00
313556,313557,1965359S09101,SI,WA,CAROL-DAISY,-11.29,95.69,19,0,1965,12,27,1965/12/27 05:00:00+00
313557,313558,1965359S09101,SI,WA,CAROL-DAISY,-11.49,95.4,17,0,1965,12,27,1965/12/27 05:00:00+00
313558,313559,1965359S09101,SI,WA,CAROL-DAISY,-11.6,95.25,16,0,1965,12,27,1965/12/27 05:00:00+00
313559,313560,1965359S09101,SI,WA,CAROL-DAISY,-11.79,94.96,15,0,1965,12,27,1965/12/27 05:00:00+00
313560,313561,1965359S09101,SI,WA,CAROL-DAISY,-11.88,94.83,15,0,1965,12,27,1965/12/27 05:00:00+00
313561,313562,1965359S09101,SI,WA,CAROL-DAISY,-12.04,94.6,15,0,1965,12,27,1965/12/27 05:00:00+00
313562,313563,1965359S09101,SI,WA,CAROL-DAISY,-12.12,94.49,15,0,1965,12,27,1965/12/27 05:00:00+00
313563,313564,1965359S09101,SI,WA,CAROL-DAISY,-12.29,94.29,15,0,1965,12,27,1965/12/27 05:00:00+00
313564,313565,1965359S09101,SI,WA,CAROL-DAISY,-12.54,94.05,0,0,1965,12,27,1965/12/27 05:00:00+00
313565,313566,1965359S09101,SI,WA,CAROL-DAISY,-12.62,93.98,0,0,1965,12,27,1965/12/27 05:00:00+00
313566,313567,1965359S09101,SI,WA,CAROL-DAISY,-12.77,93.85,0,0,1965,12,27,1965/12/27 05:00:00+00
313567,313568,1965359S09101,SI,WA,CAROL-DAISY,-12.84,93.78,0,0,1965,12,27,1965/12/27 05:00:00+00
313568,313569,1965359S09101,SI,WA,CAROL-DAISY,-13.0,93.66,0,0,1965,12,27,1965/12/27 05:00:00+00
313569,313570,1965359S09101,SI,WA,CAROL-DAISY,-13.09,93.6,0,0,1965,12,27,1965/12/27 05:00:00+00
313570,313571,1965359S09101,SI,WA,CAROL-DAISY,-13.25,93.47,0,0,1965,12,28,1965/12/28 05:00:00+00
313571,313572,1965359S09101,SI,WA,CAROL-DAISY,-13.35,93.38,0,0,1965,12,28,1965/12/28 05:00:00+00
313572,313573,1965359S09101,SI,WA,CAROL-DAISY,-13.51,93.13,0,0,1965,12,28,1965/12/28 05:00:00+00
313573,313574,1965359S09101,SI,WA,CAROL-DAISY,-13.7,92.71,0,0,1965,12,28,1965/12/28 05:00:00+00
313574,313575,1965359S09101,SI,WA,CAROL-DAISY,-13.89,92.33,0,0,1965,12,28,1965/12/28 05:00:00+00
313575,313576,1965359S09101,SI,WA,CAROL-DAISY,-14.1,92.0,0,0,1965,12,28,1965/12/28 05:00:00+00
313576,313577,1965359S09101,SI,WA,CAROL-DAISY,-14.34,91.76,0,0,1965,12,28,1965/12/28 05:00:00+00
313577,313578,1965359S09101,SI,WA,CAROL-DAISY,-14.59,91.6,0,0,1965,12,28,1965/12/28 05:00:00+00
313578,313579,1965359S09101,SI,WA,CAROL-DAISY,-14.84,91.49,0,0,1965,12,28,1965/12/28 05:00:00+00
313619,313620,1965364S11094,SI,WA,CAROL-DAISY,-10.9,94.0,0,0,1965,12,30,1965/12/30 05:00:00+00
313620,313621,1965364S11094,SI,WA,CAROL-DAISY,-10.9,93.91,0,0,1965,12,30,1965/12/30 05:00:00+00
313621,313622,1965364S11094,SI,WA,CAROL-DAISY,-10.93,93.77,0,0,1965,12,30,1965/12/30 05:00:00+00
313622,313623,1965364S11094,SI,WA,CAROL-DAISY,-10.98,93.59,30,0,1965,12,30,1965/12/30 05:00:00+00
