Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
572869,572870,2002263N22139,WP,MM,CHANGMI,22.1,139.35,0,0,2002,9,20,2002/09/20 04:00:00+00
572870,572871,2002263N22139,WP,MM,CHANGMI,22.55,138.86,0,0,2002,9,20,2002/09/20 04:00:00+00
572871,572872,2002263N22139,WP,MM,CHANGMI,22.9,138.45,0,0,2002,9,20,2002/09/20 04:00:00+00
572872,572873,2002263N22139,WP,MM,CHANGMI,23.12,138.15,0,0,2002,9,20,2002/09/20 04:00:00+00
572873,572874,2002263N22139,WP,MM,CHANGMI,23.5,137.8,0,0,2002,9,20,2002/09/20 04:00:00+00
572874,572875,2002263N22139,WP,MM,CHANGMI,24.36,137.1,0,0,2002,9,20,2002/09/20 04:00:00+00
572875,572876,2002263N22139,WP,MM,CHANGMI,25.3,136.5,0,0,2002,9,21,2002/09/21 04:00:00+00
572876,572877,2002263N22139,WP,MM,CHANGMI,25.95,136.36,0,0,2002,9,21,2002/09/21 04:00:00+00
572877,572878,2002263N22139,WP,MM,CHANGMI,26.5,136.5,0,0,2002,9,21,2002/09/21 04:00:00+00
572878,572879,2002263N22139,WP,MM,CHANGMI,27.1,136.75,0,0,2002,9,21,2002/09/21 04:00:00+00
572879,572880,2002263N22139,WP,MM,CHANGMI,27.6,137.0,0,0,2002,9,21,2002/09/21 04:00:00+00
572880,572881,2002263N22139,WP,MM,CHANGMI,27.87,136.95,0,0,2002,9,21,2002/09/21 04:00:00+00
572881,572882,2002263N22139,WP,MM,CHANGMI,28.23,137.0,0,0,2002,9,21,2002/09/21 04:00:00+00
572882,572883,2002263N22139,WP,MM,CHANGMI,28.94,137.57,0,0,2002,9,21,2002/09/21 04:00:00+00
572883,572884,2002263N22139,WP,MM,CHANGMI,29.7,138.2,0,0,2002,9,22,2002/09/22 04:00:00+00
572884,572885,2002263N22139,WP,MM,CHANGMI,30.31,138.47,0,0,2002,9,22,2002/09/22 04:00:00+00
572885,572886,2002263N22139,WP,MM,CHANGMI,30.9,138.83,0,0,2002,9,22,2002/09/22 04:00:00+00
572886,572887,2002263N22139,WP,MM,CHANGMI,31.52,139.66,0,0,2002,9,22,2002/09/22 04:00:00+00
572887,572888,2002263N22139,WP,MM,CHANGMI,32.1,140.67,0,0,2002,9,22,2002/09/22 04:00:00+00
572888,572889,2002263N22139,WP,MM,CHANGMI,32.51,141.5,0,0,2002,9,22,2002/09/22 04:00:00+00
572889,572890,2002263N22139,WP,MM,CHANGMI,33.02,142.56,0,0,2002,9,22,2002/09/22 04:00:00+00
572890,572891,2002263N22139,WP,MM,CHANGMI,33.8,143.96,0,0,2002,9,22,2002/09/22 04:00:00+00
572891,572892,2002263N22139,WP,MM,CHANGMI,34.77,145.45,0,0,2002,9,23,2002/09/23 04:00:00+00
572892,572893,2002263N22139,WP,MM,CHANGMI,36.0,146.65,0,0,2002,9,23,2002/09/23 04:00:00+00
572893,572894,2002263N22139,WP,MM,CHANGMI,37.2,148.5,0,0,2002,9,23,2002/09/23 04:00:00+00
572894,572895,2002263N22139,WP,MM,CHANGMI,37.97,150.58,0,0,2002,9,23,2002/09/23 04:00:00+00
572895,572896,2002263N22139,WP,MM,CHANGMI,38.8,152.8,0,0,2002,9,23,2002/09/23 04:00:00+00
572896,572897,2002263N22139,WP,MM,CHANGMI,40.16,155.03,0,0,2002,9,23,2002/09/23 04:00:00+00
572897,572898,2002263N22139,WP,MM,CHANGMI,41.6,157.4,0,0,2002,9,23,2002/09/23 04:00:00+00
572898,572899,2002263N22139,WP,MM,CHANGMI,42.78,160.01,0,0,2002,9,23,2002/09/23 04:00:00+00
572899,572900,2002263N22139,WP,MM,CHANGMI,43.7,162.6,0,0,2002,9,24,2002/09/24 04:00:00+00
572900,572901,2002263N22139,WP,MM,CHANGMI,44.23,164.98,0,0,2002,9,24,2002/09/24 04:00:00+00
572901,572902,2002263N22139,WP,MM,CHANGMI,44.7,167.1,0,0,2002,9,24,2002/09/24 04:00:00+00
572902,572903,2002263N22139,WP,MM,CHANGMI,45.39,169.0,0,0,2002,9,24,2002/09/24 04:00:00+00
572903,572904,2002263N22139,WP,MM,CHANGMI,46.3,170.8,0,0,2002,9,24,2002/09/24 04:00:00+00
572904,572905,2002263N22139,WP,MM,CHANGMI,47.45,172.94,0,0,2002,9,24,2002/09/24 04:00:00+00
572905,572906,2002263N22139,WP,MM,CHANGMI,48.7,174.7,0,0,2002,9,24,2002/09/24 04:00:00+00
572906,572907,2002263N22139,WP,MM,CHANGMI,49.94,175.24,0,0,2002,9,24,2002/09/24 04:00:00+00
572907,572908,2002263N22139,WP,MM,CHANGMI,51.1,175.7,0,0,2002,9,25,2002/09/25 04:00:00+00
572908,572909,2002263N22139,WP,MM,CHANGMI,52.06,177.43,0,0,2002,9,25,2002/09/25 04:00:00+00
572909,572910,2002263N22139,WP,MM,CHANGMI,52.8,179.4,0,0,2002,9,25,2002/09/25 04:00:00+00
572910,572911,2002263N22139,EP,CP,CHANGMI,53.39,180.8,0,0,2002,9,25,2002/09/25 04:00:00+00
