Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
653256,653257,2015301N11065,NI,AS,CHAPALA,10.7,65.1,25,1004,2015,10,27,2015/10/27 04:00:00+00
653257,653258,2015301N11065,NI,AS,CHAPALA,10.89,65.0,25,1004,2015,10,27,2015/10/27 04:00:00+00
653258,653259,2015301N11065,NI,AS,CHAPALA,11.1,64.9,25,1004,2015,10,27,2015/10/27 04:00:00+00
653259,653260,2015301N11065,NI,AS,CHAPALA,11.34,64.78,27,1002,2015,10,27,2015/10/27 04:00:00+00
653260,653261,2015301N11065,NI,AS,CHAPALA,11.6,64.7,30,1000,2015,10,28,2015/10/28 04:00:00+00
653261,653262,2015301N11065,NI,AS,CHAPALA,11.76,64.73,32,998,2015,10,28,2015/10/28 04:00:00+00
653262,653263,2015301N11065,NI,AS,CHAPALA,12.0,64.77,35,996,2015,10,28,2015/10/28 04:00:00+00
653263,653264,2015301N11065,NI,AS,CHAPALA,12.35,64.79,35,996,2015,10,28,2015/10/28 04:00:00+00
653264,653265,2015301N11065,NI,AS,CHAPALA,12.65,64.8,45,989,2015,10,28,2015/10/28 04:00:00+00
653265,653266,2015301N11065,NI,AS,CHAPALA,12.88,64.76,45,989,2015,10,28,2015/10/28 04:00:00+00
653266,653267,2015301N11065,NI,AS,CHAPALA,13.05,64.65,45,989,2015,10,28,2015/10/28 04:00:00+00
653267,653268,2015301N11065,NI,AS,CHAPALA,13.29,64.4,45,989,2015,10,28,2015/10/28 04:00:00+00
653268,653269,2015301N11065,NI,AS,CHAPALA,13.55,64.25,50,985,2015,10,29,2015/10/29 04:00:00+00
653269,653270,2015301N11065,NI,AS,CHAPALA,13.7,64.09,52,983,2015,10,29,2015/10/29 04:00:00+00
653270,653271,2015301N11065,NI,AS,CHAPALA,13.85,63.75,55,982,2015,10,29,2015/10/29 04:00:00+00
653271,653272,2015301N11065,NI,AS,CHAPALA,14.02,63.46,60,978,2015,10,29,2015/10/29 04:00:00+00
653272,653273,2015301N11065,NI,AS,CHAPALA,14.15,63.2,65,974,2015,10,29,2015/10/29 04:00:00+00
653273,653274,2015301N11065,NI,AS,CHAPALA,14.27,62.77,72,968,2015,10,29,2015/10/29 04:00:00+00
653274,653275,2015301N11065,NI,AS,CHAPALA,14.25,62.45,80,963,2015,10,29,2015/10/29 04:00:00+00
653275,653276,2015301N11065,NI,AS,CHAPALA,14.25,62.2,90,955,2015,10,29,2015/10/29 04:00:00+00
653276,653277,2015301N11065,NI,AS,CHAPALA,14.25,61.8,100,948,2015,10,30,2015/10/30 04:00:00+00
653277,653278,2015301N11065,NI,AS,CHAPALA,14.23,61.47,115,937,2015,10,30,2015/10/30 04:00:00+00
653278,653279,2015301N11065,NI,AS,CHAPALA,14.2,61.1,130,926,2015,10,30,2015/10/30 04:00:00+00
653279,653280,2015301N11065,NI,AS,CHAPALA,14.12,60.82,127,927,2015,10,30,2015/10/30 04:00:00+00
653280,653281,2015301N11065,NI,AS,CHAPALA,14.05,60.6,125,929,2015,10,30,2015/10/30 04:00:00+00
653281,653282,2015301N11065,NI,AS,CHAPALA,13.97,60.38,122,931,2015,10,30,2015/10/30 04:00:00+00
653282,653283,2015301N11065,NI,AS,CHAPALA,13.9,60.15,120,933,2015,10,30,2015/10/30 04:00:00+00
653283,653284,2015301N11065,NI,AS,CHAPALA,13.87,59.86,117,935,2015,10,30,2015/10/30 04:00:00+00
653284,653285,2015301N11065,NI,AS,CHAPALA,13.85,59.55,115,937,2015,10,31,2015/10/31 04:00:00+00
653285,653286,2015301N11065,NI,AS,CHAPALA,13.8,59.16,112,939,2015,10,31,2015/10/31 04:00:00+00
653286,653287,2015301N11065,NI,AS,CHAPALA,13.8,58.7,110,941,2015,10,31,2015/10/31 04:00:00+00
653287,653288,2015301N11065,NI,AS,CHAPALA,13.8,58.3,110,941,2015,10,31,2015/10/31 04:00:00+00
653288,653289,2015301N11065,NI,AS,CHAPALA,13.8,57.9,110,941,2015,10,31,2015/10/31 04:00:00+00
653289,653290,2015301N11065,NI,AS,CHAPALA,13.78,57.52,110,941,2015,10,31,2015/10/31 04:00:00+00
653290,653291,2015301N11065,NI,AS,CHAPALA,13.75,57.2,110,941,2015,10,31,2015/10/31 04:00:00+00
653291,653292,2015301N11065,NI,AS,CHAPALA,13.68,56.8,112,939,2015,10,31,2015/10/31 04:00:00+00
653292,653293,2015301N11065,NI,AS,CHAPALA,13.65,56.4,115,937,2015,11,1,2015/11/01 04:00:00+00
653293,653294,2015301N11065,NI,AS,CHAPALA,13.57,56.08,115,937,2015,11,1,2015/11/01 04:00:00+00
653294,653295,2015301N11065,NI,AS,CHAPALA,13.55,55.65,115,937,2015,11,1,2015/11/01 04:00:00+00
653295,653296,2015301N11065,NI,AS,CHAPALA,13.55,55.16,117,935,2015,11,1,2015/11/01 04:00:00+00
653296,653297,2015301N11065,NI,AS,CHAPALA,13.55,54.65,120,933,2015,11,1,2015/11/01 04:00:00+00
653297,653298,2015301N11065,NI,AS,CHAPALA,13.53,54.17,120,933,2015,11,1,2015/11/01 04:00:00+00
653298,653299,2015301N11065,NI,AS,CHAPALA,13.4,53.65,120,933,2015,11,1,2015/11/01 04:00:00+00
653299,653300,2015301N11065,NI,AS,CHAPALA,13.29,53.1,115,937,2015,11,1,2015/11/01 04:00:00+00
653300,653301,2015301N11065,NI,AS,CHAPALA,13.2,52.55,110,941,2015,11,2,2015/11/02 05:00:00+00
653301,653302,2015301N11065,NI,AS,CHAPALA,13.21,52.15,107,942,2015,11,2,2015/11/02 05:00:00+00
653302,653303,2015301N11065,NI,AS,CHAPALA,13.3,51.6,105,944,2015,11,2,2015/11/02 05:00:00+00
653303,653304,2015301N11065,NI,AS,CHAPALA,13.32,51.05,102,946,2015,11,2,2015/11/02 05:00:00+00
653304,653305,2015301N11065,NI,AS,CHAPALA,13.4,50.55,100,948,2015,11,2,2015/11/02 05:00:00+00
653305,653306,2015301N11065,NI,AS,CHAPALA,13.52,50.04,95,952,2015,11,2,2015/11/02 05:00:00+00
653306,653307,2015301N11065,NI,AS,CHAPALA,13.7,49.6,90,956,2015,11,2,2015/11/02 05:00:00+00
653307,653308,2015301N11065,NI,AS,CHAPALA,13.84,49.28,82,961,2015,11,2,2015/11/02 05:00:00+00
653308,653309,2015301N11065,NI,AS,CHAPALA,14.0,48.85,75,967,2015,11,3,2015/11/03 05:00:00+00
653309,653310,2015301N11065,NI,AS,CHAPALA,14.1,48.4,60,978,2015,11,3,2015/11/03 05:00:00+00
653310,653311,2015301N11065,NI,AS,CHAPALA,14.05,47.85,50,985,2015,11,3,2015/11/03 05:00:00+00
653311,653312,2015301N11065,NI,AS,CHAPALA,14.05,47.64,45,989,2015,11,3,2015/11/03 05:00:00+00
653312,653313,2015301N11065,NI,AS,CHAPALA,14.11,47.43,40,993,2015,11,3,2015/11/03 05:00:00+00
653313,653314,2015301N11065,NI,AS,CHAPALA,14.18,47.24,35,996,2015,11,3,2015/11/03 05:00:00+00
653314,653315,2015301N11065,NI,AS,CHAPALA,14.3,47.1,30,1000,2015,11,3,2015/11/03 05:00:00+00
653315,653316,2015301N11065,NI,AS,CHAPALA,14.52,46.8,0,0,2015,11,3,2015/11/03 05:00:00+00
