Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
428385,428386,1982005S10105,SI,WA,CHRIS:DAMIA,-10.3,105.1,0,0,1982,1,5,1982/01/05 05:00:00+00
428386,428387,1982005S10105,SI,WA,CHRIS:DAMIA,-10.51,105.2,0,0,1982,1,5,1982/01/05 05:00:00+00
428387,428388,1982005S10105,SI,WA,CHRIS:DAMIA,-10.7,105.3,0,0,1982,1,5,1982/01/05 05:00:00+00
428388,428389,1982005S10105,SI,WA,CHRIS:DAMIA,-10.86,105.39,0,0,1982,1,5,1982/01/05 05:00:00+00
428389,428390,1982005S10105,SI,WA,CHRIS:DAMIA,-11.0,105.4,0,0,1982,1,5,1982/01/05 05:00:00+00
428390,428391,1982005S10105,SI,WA,CHRIS:DAMIA,-11.16,105.29,0,0,1982,1,5,1982/01/05 05:00:00+00
428391,428392,1982005S10105,SI,WA,CHRIS:DAMIA,-11.3,105.1,0,0,1982,1,5,1982/01/05 05:00:00+00
428392,428393,1982005S10105,SI,WA,CHRIS:DAMIA,-11.35,104.93,0,0,1982,1,5,1982/01/05 05:00:00+00
428393,428394,1982005S10105,SI,WA,CHRIS:DAMIA,-11.96,103.93,20,0,1982,1,6,1982/01/06 05:00:00+00
428394,428395,1982005S10105,SI,WA,CHRIS:DAMIA,-12.22,103.35,22,0,1982,1,6,1982/01/06 05:00:00+00
428395,428396,1982005S10105,SI,WA,CHRIS:DAMIA,-12.39,102.89,25,0,1982,1,6,1982/01/06 05:00:00+00
428396,428397,1982005S10105,SI,WA,CHRIS:DAMIA,-12.53,102.47,25,0,1982,1,6,1982/01/06 05:00:00+00
428397,428398,1982005S10105,SI,WA,CHRIS:DAMIA,-12.62,102.1,25,0,1982,1,6,1982/01/06 05:00:00+00
428398,428399,1982005S10105,SI,WA,CHRIS:DAMIA,-12.73,101.71,25,0,1982,1,6,1982/01/06 05:00:00+00
428399,428400,1982005S10105,SI,WA,CHRIS:DAMIA,-12.84,101.3,25,0,1982,1,6,1982/01/06 05:00:00+00
428400,428401,1982005S10105,SI,WA,CHRIS:DAMIA,-12.93,100.89,25,0,1982,1,6,1982/01/06 05:00:00+00
428401,428402,1982005S10105,SI,WA,CHRIS:DAMIA,-13.03,100.42,25,0,1982,1,7,1982/01/07 05:00:00+00
428402,428403,1982005S10105,SI,WA,CHRIS:DAMIA,-13.15,99.87,25,0,1982,1,7,1982/01/07 05:00:00+00
428403,428404,1982005S10105,SI,WA,CHRIS:DAMIA,-13.27,99.26,25,0,1982,1,7,1982/01/07 05:00:00+00
428404,428405,1982005S10105,SI,WA,CHRIS:DAMIA,-13.38,98.64,27,0,1982,1,7,1982/01/07 05:00:00+00
428405,428406,1982005S10105,SI,WA,CHRIS:DAMIA,-13.47,98.03,30,0,1982,1,7,1982/01/07 05:00:00+00
428406,428407,1982005S10105,SI,WA,CHRIS:DAMIA,-13.57,97.43,30,0,1982,1,7,1982/01/07 05:00:00+00
428407,428408,1982005S10105,SI,WA,CHRIS:DAMIA,-13.66,96.82,30,0,1982,1,7,1982/01/07 05:00:00+00
428408,428409,1982005S10105,SI,WA,CHRIS:DAMIA,-13.74,96.16,32,0,1982,1,7,1982/01/07 05:00:00+00
428409,428410,1982005S10105,SI,WA,CHRIS:DAMIA,-13.8,95.53,35,0,1982,1,8,1982/01/08 05:00:00+00
428410,428411,1982005S10105,SI,WA,CHRIS:DAMIA,-13.81,94.95,35,0,1982,1,8,1982/01/08 05:00:00+00
428411,428412,1982005S10105,SI,WA,CHRIS:DAMIA,-13.8,94.41,35,0,1982,1,8,1982/01/08 05:00:00+00
428412,428413,1982005S10105,SI,WA,CHRIS:DAMIA,-13.76,93.89,35,0,1982,1,8,1982/01/08 05:00:00+00
428413,428414,1982005S10105,SI,WA,CHRIS:DAMIA,-13.72,93.35,35,0,1982,1,8,1982/01/08 05:00:00+00
428414,428415,1982005S10105,SI,WA,CHRIS:DAMIA,-13.72,92.73,35,0,1982,1,8,1982/01/08 05:00:00+00
428415,428416,1982005S10105,SI,WA,CHRIS:DAMIA,-13.72,92.11,35,0,1982,1,8,1982/01/08 05:00:00+00
428416,428417,1982005S10105,SI,WA,CHRIS:DAMIA,-13.69,91.57,37,0,1982,1,8,1982/01/08 05:00:00+00
428417,428418,1982005S10105,SI,WA,CHRIS:DAMIA,-13.65,91.0,40,0,1982,1,9,1982/01/09 05:00:00+00
428418,428419,1982005S10105,SI,WA,CHRIS:DAMIA,-13.62,90.33,42,0,1982,1,9,1982/01/09 05:00:00+00
428419,428420,1982005S10105,SI,MM,CHRIS:DAMIA,-13.57,89.61,45,0,1982,1,9,1982/01/09 05:00:00+00
428420,428421,1982005S10105,SI,MM,CHRIS:DAMIA,-13.46,88.92,50,0,1982,1,9,1982/01/09 05:00:00+00
428421,428422,1982005S10105,SI,MM,CHRIS:DAMIA,-13.32,88.25,55,0,1982,1,9,1982/01/09 05:00:00+00
428422,428423,1982005S10105,SI,MM,CHRIS:DAMIA,-13.18,87.61,57,0,1982,1,9,1982/01/09 05:00:00+00
428423,428424,1982005S10105,SI,MM,CHRIS:DAMIA,-13.04,87.0,60,0,1982,1,9,1982/01/09 05:00:00+00
428424,428425,1982005S10105,SI,MM,CHRIS:DAMIA,-12.91,86.41,62,0,1982,1,9,1982/01/09 05:00:00+00
428425,428426,1982005S10105,SI,MM,CHRIS:DAMIA,-12.8,85.85,65,0,1982,1,10,1982/01/10 05:00:00+00
428426,428427,1982005S10105,SI,MM,CHRIS:DAMIA,-12.71,85.34,67,0,1982,1,10,1982/01/10 05:00:00+00
428427,428428,1982005S10105,SI,MM,CHRIS:DAMIA,-12.65,84.92,70,0,1982,1,10,1982/01/10 05:00:00+00
428428,428429,1982005S10105,SI,MM,CHRIS:DAMIA,-12.6,84.49,72,0,1982,1,10,1982/01/10 05:00:00+00
428429,428430,1982005S10105,SI,MM,CHRIS:DAMIA,-12.55,84.06,75,0,1982,1,10,1982/01/10 05:00:00+00
428430,428431,1982005S10105,SI,MM,CHRIS:DAMIA,-12.51,83.59,77,0,1982,1,10,1982/01/10 05:00:00+00
428431,428432,1982005S10105,SI,MM,CHRIS:DAMIA,-12.48,83.08,80,0,1982,1,10,1982/01/10 05:00:00+00
428432,428433,1982005S10105,SI,MM,CHRIS:DAMIA,-12.45,82.59,82,0,1982,1,10,1982/01/10 05:00:00+00
428433,428434,1982005S10105,SI,MM,CHRIS:DAMIA,-12.44,82.14,85,0,1982,1,11,1982/01/11 05:00:00+00
428434,428435,1982005S10105,SI,MM,CHRIS:DAMIA,-12.42,81.74,87,0,1982,1,11,1982/01/11 05:00:00+00
428435,428436,1982005S10105,SI,MM,CHRIS:DAMIA,-12.43,81.38,90,0,1982,1,11,1982/01/11 05:00:00+00
428436,428437,1982005S10105,SI,MM,CHRIS:DAMIA,-12.47,81.04,92,0,1982,1,11,1982/01/11 05:00:00+00
428437,428438,1982005S10105,SI,MM,CHRIS:DAMIA,-12.52,80.68,95,0,1982,1,11,1982/01/11 05:00:00+00
428438,428439,1982005S10105,SI,MM,CHRIS:DAMIA,-12.58,80.22,97,0,1982,1,11,1982/01/11 05:00:00+00
428439,428440,1982005S10105,SI,MM,CHRIS:DAMIA,-12.67,79.69,100,0,1982,1,11,1982/01/11 05:00:00+00
428440,428441,1982005S10105,SI,MM,CHRIS:DAMIA,-12.79,79.14,102,0,1982,1,11,1982/01/11 05:00:00+00
428441,428442,1982005S10105,SI,MM,CHRIS:DAMIA,-12.95,78.55,105,0,1982,1,12,1982/01/12 05:00:00+00
428442,428443,1982005S10105,SI,MM,CHRIS:DAMIA,-13.16,77.89,107,0,1982,1,12,1982/01/12 05:00:00+00
428443,428444,1982005S10105,SI,MM,CHRIS:DAMIA,-13.39,77.22,110,0,1982,1,12,1982/01/12 05:00:00+00
428444,428445,1982005S10105,SI,MM,CHRIS:DAMIA,-13.6,76.58,112,0,1982,1,12,1982/01/12 05:00:00+00
428445,428446,1982005S10105,SI,MM,CHRIS:DAMIA,-13.82,76.0,115,0,1982,1,12,1982/01/12 05:00:00+00
428446,428447,1982005S10105,SI,MM,CHRIS:DAMIA,-14.06,75.51,117,0,1982,1,12,1982/01/12 05:00:00+00
428447,428448,1982005S10105,SI,MM,CHRIS:DAMIA,-14.33,75.06,120,0,1982,1,12,1982/01/12 05:00:00+00
428448,428449,1982005S10105,SI,MM,CHRIS:DAMIA,-14.64,74.57,120,0,1982,1,12,1982/01/12 05:00:00+00
428449,428450,1982005S10105,SI,MM,CHRIS:DAMIA,-14.95,74.05,120,0,1982,1,13,1982/01/13 05:00:00+00
428450,428451,1982005S10105,SI,MM,CHRIS:DAMIA,-15.21,73.49,117,0,1982,1,13,1982/01/13 05:00:00+00
428451,428452,1982005S10105,SI,MM,CHRIS:DAMIA,-15.47,72.9,115,0,1982,1,13,1982/01/13 05:00:00+00
428452,428453,1982005S10105,SI,MM,CHRIS:DAMIA,-15.75,72.32,112,0,1982,1,13,1982/01/13 05:00:00+00
428453,428454,1982005S10105,SI,MM,CHRIS:DAMIA,-16.02,71.75,110,0,1982,1,13,1982/01/13 05:00:00+00
428454,428455,1982005S10105,SI,MM,CHRIS:DAMIA,-16.28,71.2,110,0,1982,1,13,1982/01/13 05:00:00+00
428455,428456,1982005S10105,SI,MM,CHRIS:DAMIA,-16.52,70.67,110,0,1982,1,13,1982/01/13 05:00:00+00
428456,428457,1982005S10105,SI,MM,CHRIS:DAMIA,-16.72,70.17,112,0,1982,1,13,1982/01/13 05:00:00+00
428457,428458,1982005S10105,SI,MM,CHRIS:DAMIA,-16.93,69.7,115,0,1982,1,14,1982/01/14 05:00:00+00
428458,428459,1982005S10105,SI,MM,CHRIS:DAMIA,-17.16,69.26,115,0,1982,1,14,1982/01/14 05:00:00+00
428459,428460,1982005S10105,SI,MM,CHRIS:DAMIA,-17.38,68.87,115,0,1982,1,14,1982/01/14 05:00:00+00
428460,428461,1982005S10105,SI,MM,CHRIS:DAMIA,-17.56,68.54,115,0,1982,1,14,1982/01/14 05:00:00+00
428461,428462,1982005S10105,SI,MM,CHRIS:DAMIA,-17.73,68.22,115,0,1982,1,14,1982/01/14 05:00:00+00
428462,428463,1982005S10105,SI,MM,CHRIS:DAMIA,-17.85,67.86,115,0,1982,1,14,1982/01/14 05:00:00+00
428463,428464,1982005S10105,SI,MM,CHRIS:DAMIA,-18.01,67.49,115,0,1982,1,14,1982/01/14 05:00:00+00
428464,428465,1982005S10105,SI,MM,CHRIS:DAMIA,-18.25,67.15,112,0,1982,1,14,1982/01/14 05:00:00+00
