Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
218312,218313,1948221N19142,WP,MM,CHRIS,19.0,142.0,20,0,1948,8,8,1948/08/08 04:00:00+00
218313,218314,1948221N19142,WP,MM,CHRIS,19.5,141.81,22,0,1948,8,8,1948/08/08 04:00:00+00
218314,218315,1948221N19142,WP,MM,CHRIS,20.01,141.58,25,0,1948,8,8,1948/08/08 04:00:00+00
218315,218316,1948221N19142,WP,MM,CHRIS,20.51,141.31,25,0,1948,8,8,1948/08/08 04:00:00+00
218316,218317,1948221N19142,WP,MM,CHRIS,21.0,141.0,25,0,1948,8,8,1948/08/08 04:00:00+00
218317,218318,1948221N19142,WP,MM,CHRIS,21.51,140.66,27,0,1948,8,8,1948/08/08 04:00:00+00
218318,218319,1948221N19142,WP,MM,CHRIS,21.96,140.32,30,0,1948,8,8,1948/08/08 04:00:00+00
218319,218320,1948221N19142,WP,MM,CHRIS,22.27,140.05,30,0,1948,8,8,1948/08/08 04:00:00+00
218320,218321,1948221N19142,WP,MM,CHRIS,22.5,139.8,30,0,1948,8,9,1948/08/09 04:00:00+00
218321,218322,1948221N19142,WP,MM,CHRIS,22.72,139.56,32,0,1948,8,9,1948/08/09 04:00:00+00
218322,218323,1948221N19142,WP,MM,CHRIS,22.9,139.32,35,0,1948,8,9,1948/08/09 04:00:00+00
218323,218324,1948221N19142,WP,MM,CHRIS,23.04,139.15,37,0,1948,8,9,1948/08/09 04:00:00+00
218324,218325,1948221N19142,WP,MM,CHRIS,23.2,138.9,40,0,1948,8,9,1948/08/09 04:00:00+00
218325,218326,1948221N19142,WP,MM,CHRIS,23.45,138.46,40,0,1948,8,9,1948/08/09 04:00:00+00
218326,218327,1948221N19142,WP,MM,CHRIS,23.69,137.94,40,0,1948,8,9,1948/08/09 04:00:00+00
218327,218328,1948221N19142,WP,MM,CHRIS,23.88,137.49,45,0,1948,8,9,1948/08/09 04:00:00+00
218328,218329,1948221N19142,WP,MM,CHRIS,24.0,137.0,50,0,1948,8,10,1948/08/10 04:00:00+00
218329,218330,1948221N19142,WP,MM,CHRIS,24.04,136.42,47,0,1948,8,10,1948/08/10 04:00:00+00
218330,218331,1948221N19142,WP,MM,CHRIS,24.0,135.78,45,0,1948,8,10,1948/08/10 04:00:00+00
218331,218332,1948221N19142,WP,MM,CHRIS,23.91,135.09,42,0,1948,8,10,1948/08/10 04:00:00+00
218332,218333,1948221N19142,WP,MM,CHRIS,23.8,134.5,40,0,1948,8,10,1948/08/10 04:00:00+00
218333,218334,1948221N19142,WP,MM,CHRIS,23.7,134.18,40,0,1948,8,10,1948/08/10 04:00:00+00
218334,218335,1948221N19142,WP,MM,CHRIS,23.6,133.92,40,0,1948,8,10,1948/08/10 04:00:00+00
218335,218336,1948221N19142,WP,MM,CHRIS,23.49,133.51,40,0,1948,8,10,1948/08/10 04:00:00+00
218336,218337,1948221N19142,WP,MM,CHRIS,23.4,133.1,40,0,1948,8,11,1948/08/11 04:00:00+00
218337,218338,1948221N19142,WP,MM,CHRIS,23.34,132.77,45,0,1948,8,11,1948/08/11 04:00:00+00
218338,218339,1948221N19142,WP,MM,CHRIS,23.29,132.5,50,0,1948,8,11,1948/08/11 04:00:00+00
218339,218340,1948221N19142,WP,MM,CHRIS,23.24,132.23,50,0,1948,8,11,1948/08/11 04:00:00+00
218340,218341,1948221N19142,WP,MM,CHRIS,23.2,132.0,50,0,1948,8,11,1948/08/11 04:00:00+00
218341,218342,1948221N19142,WP,MM,CHRIS,23.19,131.83,47,0,1948,8,11,1948/08/11 04:00:00+00
218342,218343,1948221N19142,WP,MM,CHRIS,23.2,131.68,45,0,1948,8,11,1948/08/11 04:00:00+00
218343,218344,1948221N19142,WP,MM,CHRIS,23.2,131.48,40,0,1948,8,11,1948/08/11 04:00:00+00
218344,218345,1948221N19142,WP,MM,CHRIS,23.2,131.3,35,0,1948,8,12,1948/08/12 04:00:00+00
218345,218346,1948221N19142,WP,MM,CHRIS,23.21,131.23,35,0,1948,8,12,1948/08/12 04:00:00+00
218346,218347,1948221N19142,WP,MM,CHRIS,23.19,131.15,35,0,1948,8,12,1948/08/12 04:00:00+00
218347,218348,1948221N19142,WP,MM,CHRIS,23.12,130.96,35,0,1948,8,12,1948/08/12 04:00:00+00
218348,218349,1948221N19142,WP,MM,CHRIS,23.0,130.7,35,0,1948,8,12,1948/08/12 04:00:00+00
218349,218350,1948221N19142,WP,MM,CHRIS,22.82,130.38,35,0,1948,8,12,1948/08/12 04:00:00+00
218350,218351,1948221N19142,WP,MM,CHRIS,22.64,130.09,35,0,1948,8,12,1948/08/12 04:00:00+00
218351,218352,1948221N19142,WP,MM,CHRIS,22.51,129.94,32,0,1948,8,12,1948/08/12 04:00:00+00
218352,218353,1948221N19142,WP,MM,CHRIS,22.4,129.8,30,0,1948,8,13,1948/08/13 04:00:00+00
218353,218354,1948221N19142,WP,MM,CHRIS,22.3,129.57,30,0,1948,8,13,1948/08/13 04:00:00+00
218354,218355,1948221N19142,WP,MM,CHRIS,22.13,129.19,30,0,1948,8,13,1948/08/13 04:00:00+00
218355,218356,1948221N19142,WP,MM,CHRIS,21.8,128.57,27,0,1948,8,13,1948/08/13 04:00:00+00
218356,218357,1948221N19142,WP,MM,CHRIS,21.5,128.0,25,0,1948,8,13,1948/08/13 04:00:00+00
218357,218358,1948221N19142,WP,MM,CHRIS,21.44,127.76,25,0,1948,8,13,1948/08/13 04:00:00+00
218358,218359,1948221N19142,WP,MM,CHRIS,21.46,127.67,25,0,1948,8,13,1948/08/13 04:00:00+00
218359,218360,1948221N19142,WP,MM,CHRIS,21.41,127.54,25,0,1948,8,13,1948/08/13 04:00:00+00
218360,218361,1948221N19142,WP,MM,CHRIS,21.3,127.4,25,0,1948,8,14,1948/08/14 04:00:00+00
218361,218362,1948221N19142,WP,MM,CHRIS,21.16,127.21,25,0,1948,8,14,1948/08/14 04:00:00+00
432863,432864,1982252N26269,,GM,CHRIS,26.2,-91.0,25,1010,1982,9,9,1982/09/09 04:00:00+00
432864,432865,1982252N26269,,GM,CHRIS,26.25,-91.36,25,1010,1982,9,9,1982/09/09 04:00:00+00
432865,432866,1982252N26269,,GM,CHRIS,26.3,-91.7,25,1010,1982,9,9,1982/09/09 04:00:00+00
432866,432867,1982252N26269,,GM,CHRIS,26.34,-92.0,25,1009,1982,9,9,1982/09/09 04:00:00+00
432867,432868,1982252N26269,,GM,CHRIS,26.4,-92.3,25,1009,1982,9,9,1982/09/09 04:00:00+00
432868,432869,1982252N26269,,GM,CHRIS,26.49,-92.69,27,1009,1982,9,9,1982/09/09 04:00:00+00
432869,432870,1982252N26269,,GM,CHRIS,26.6,-93.0,30,1009,1982,9,9,1982/09/09 04:00:00+00
432870,432871,1982252N26269,,GM,CHRIS,26.71,-93.04,30,1008,1982,9,9,1982/09/09 04:00:00+00
432871,432872,1982252N26269,,GM,CHRIS,26.8,-93.1,30,1008,1982,9,10,1982/09/10 04:00:00+00
432872,432873,1982252N26269,,GM,CHRIS,26.84,-93.54,30,1007,1982,9,10,1982/09/10 04:00:00+00
432873,432874,1982252N26269,,GM,CHRIS,26.9,-94.0,30,1007,1982,9,10,1982/09/10 04:00:00+00
432874,432875,1982252N26269,,GM,CHRIS,27.06,-94.17,32,1006,1982,9,10,1982/09/10 04:00:00+00
432875,432876,1982252N26269,,GM,CHRIS,27.3,-94.2,35,1005,1982,9,10,1982/09/10 04:00:00+00
432876,432877,1982252N26269,,GM,CHRIS,27.59,-94.17,40,1003,1982,9,10,1982/09/10 04:00:00+00
432877,432878,1982252N26269,,GM,CHRIS,27.9,-94.1,45,1001,1982,9,10,1982/09/10 04:00:00+00
432878,432879,1982252N26269,,GM,CHRIS,28.15,-94.1,47,1000,1982,9,10,1982/09/10 04:00:00+00
432879,432880,1982252N26269,,GM,CHRIS,28.4,-94.1,50,1000,1982,9,11,1982/09/11 04:00:00+00
432880,432881,1982252N26269,,GM,CHRIS,28.68,-94.06,50,998,1982,9,11,1982/09/11 04:00:00+00
432881,432882,1982252N26269,,GM,CHRIS,29.0,-94.0,50,997,1982,9,11,1982/09/11 04:00:00+00
432882,432883,1982252N26269,,GM,CHRIS,29.37,-93.92,52,995,1982,9,11,1982/09/11 04:00:00+00
432883,432884,1982252N26269,,,CHRIS,29.8,-93.8,55,994,1982,9,11,1982/09/11 04:00:00+00
432884,432885,1982252N26269,,,CHRIS,30.29,-93.6,47,996,1982,9,11,1982/09/11 04:00:00+00
432885,432886,1982252N26269,,,CHRIS,30.8,-93.4,40,999,1982,9,11,1982/09/11 04:00:00+00
432886,432887,1982252N26269,,,CHRIS,31.3,-93.3,35,1001,1982,9,11,1982/09/11 04:00:00+00
432887,432888,1982252N26269,,,CHRIS,31.8,-93.2,30,1004,1982,9,12,1982/09/12 04:00:00+00
432888,432889,1982252N26269,,,CHRIS,32.3,-93.02,30,1005,1982,9,12,1982/09/12 04:00:00+00
432889,432890,1982252N26269,,,CHRIS,32.8,-92.8,30,1006,1982,9,12,1982/09/12 04:00:00+00
432890,432891,1982252N26269,,,CHRIS,33.3,-92.61,30,1007,1982,9,12,1982/09/12 04:00:00+00
432891,432892,1982252N26269,,,CHRIS,33.8,-92.4,30,1008,1982,9,12,1982/09/12 04:00:00+00
432892,432893,1982252N26269,,,CHRIS,34.3,-92.12,27,1009,1982,9,12,1982/09/12 04:00:00+00
471263,471264,1988235N15317,,,CHRIS,14.9,-43.3,25,1009,1988,8,21,1988/08/21 04:00:00+00
471264,471265,1988235N15317,,,CHRIS,14.72,-44.53,25,1009,1988,8,21,1988/08/21 04:00:00+00
471265,471266,1988235N15317,,,CHRIS,14.6,-45.7,25,1009,1988,8,21,1988/08/21 04:00:00+00
471266,471267,1988235N15317,,,CHRIS,14.57,-46.77,25,1009,1988,8,21,1988/08/21 04:00:00+00
471267,471268,1988235N15317,,,CHRIS,14.6,-47.8,25,1009,1988,8,22,1988/08/22 04:00:00+00
471268,471269,1988235N15317,,,CHRIS,14.64,-48.86,25,1009,1988,8,22,1988/08/22 04:00:00+00
471269,471270,1988235N15317,,,CHRIS,14.7,-49.9,25,1009,1988,8,22,1988/08/22 04:00:00+00
471270,471271,1988235N15317,,,CHRIS,14.73,-50.9,27,1009,1988,8,22,1988/08/22 04:00:00+00
471271,471272,1988235N15317,,,CHRIS,14.8,-51.9,30,1009,1988,8,22,1988/08/22 04:00:00+00
471272,471273,1988235N15317,,,CHRIS,14.94,-52.97,30,1009,1988,8,22,1988/08/22 04:00:00+00
471273,471274,1988235N15317,,,CHRIS,15.1,-54.0,30,1009,1988,8,22,1988/08/22 04:00:00+00
471274,471275,1988235N15317,,,CHRIS,15.2,-54.87,30,1009,1988,8,22,1988/08/22 04:00:00+00
471275,471276,1988235N15317,,,CHRIS,15.3,-55.7,30,1009,1988,8,23,1988/08/23 04:00:00+00
471276,471277,1988235N15317,,,CHRIS,15.43,-56.6,30,1009,1988,8,23,1988/08/23 04:00:00+00
471277,471278,1988235N15317,,,CHRIS,15.6,-57.5,30,1009,1988,8,23,1988/08/23 04:00:00+00
471278,471279,1988235N15317,,,CHRIS,15.8,-58.35,30,1009,1988,8,23,1988/08/23 04:00:00+00
471279,471280,1988235N15317,,,CHRIS,16.0,-59.2,30,1009,1988,8,23,1988/08/23 04:00:00+00
471280,471281,1988235N15317,,,CHRIS,16.15,-60.12,30,1009,1988,8,23,1988/08/23 04:00:00+00
471281,471282,1988235N15317,,CS,CHRIS,16.3,-61.0,30,1009,1988,8,23,1988/08/23 04:00:00+00
471282,471283,1988235N15317,,CS,CHRIS,16.51,-61.73,30,1009,1988,8,23,1988/08/23 04:00:00+00
471283,471284,1988235N15317,,CS,CHRIS,16.7,-62.4,30,1009,1988,8,24,1988/08/24 04:00:00+00
471284,471285,1988235N15317,,CS,CHRIS,16.81,-63.1,30,1009,1988,8,24,1988/08/24 04:00:00+00
471285,471286,1988235N15317,,CS,CHRIS,16.9,-63.8,30,1009,1988,8,24,1988/08/24 04:00:00+00
471286,471287,1988235N15317,,CS,CHRIS,17.04,-64.49,30,1009,1988,8,24,1988/08/24 04:00:00+00
471287,471288,1988235N15317,,CS,CHRIS,17.2,-65.2,30,1009,1988,8,24,1988/08/24 04:00:00+00
471288,471289,1988235N15317,,CS,CHRIS,17.35,-65.97,30,1009,1988,8,24,1988/08/24 04:00:00+00
471289,471290,1988235N15317,,CS,CHRIS,17.5,-66.7,30,1009,1988,8,24,1988/08/24 04:00:00+00
471290,471291,1988235N15317,,CS,CHRIS,17.64,-67.29,30,1009,1988,8,24,1988/08/24 04:00:00+00
471291,471292,1988235N15317,,CS,CHRIS,17.8,-67.8,30,1009,1988,8,25,1988/08/25 04:00:00+00
471292,471293,1988235N15317,,CS,CHRIS,18.0,-68.31,30,1009,1988,8,25,1988/08/25 04:00:00+00
471293,471294,1988235N15317,,CS,CHRIS,18.2,-68.8,30,1009,1988,8,25,1988/08/25 04:00:00+00
471294,471295,1988235N15317,,CS,CHRIS,18.33,-69.29,30,1008,1988,8,25,1988/08/25 04:00:00+00
471295,471296,1988235N15317,,CS,CHRIS,18.5,-69.8,30,1008,1988,8,25,1988/08/25 04:00:00+00
471296,471297,1988235N15317,,,CHRIS,18.77,-70.34,30,1008,1988,8,25,1988/08/25 04:00:00+00
471297,471298,1988235N15317,,,CHRIS,19.1,-70.9,30,1008,1988,8,25,1988/08/25 04:00:00+00
471298,471299,1988235N15317,,,CHRIS,19.44,-71.5,30,1008,1988,8,25,1988/08/25 04:00:00+00
471299,471300,1988235N15317,,,CHRIS,19.8,-72.1,30,1008,1988,8,26,1988/08/26 04:00:00+00
471300,471301,1988235N15317,,,CHRIS,20.13,-72.67,30,1008,1988,8,26,1988/08/26 04:00:00+00
471301,471302,1988235N15317,,,CHRIS,20.5,-73.2,30,1008,1988,8,26,1988/08/26 04:00:00+00
471302,471303,1988235N15317,,,CHRIS,20.98,-73.69,30,1008,1988,8,26,1988/08/26 04:00:00+00
471303,471304,1988235N15317,,,CHRIS,21.5,-74.2,30,1008,1988,8,26,1988/08/26 04:00:00+00
471304,471305,1988235N15317,,,CHRIS,22.02,-74.81,30,1008,1988,8,26,1988/08/26 04:00:00+00
471305,471306,1988235N15317,,,CHRIS,22.5,-75.4,30,1008,1988,8,26,1988/08/26 04:00:00+00
471306,471307,1988235N15317,,,CHRIS,22.91,-75.82,30,1008,1988,8,26,1988/08/26 04:00:00+00
471307,471308,1988235N15317,,,CHRIS,23.3,-76.2,30,1008,1988,8,27,1988/08/27 04:00:00+00
471308,471309,1988235N15317,,,CHRIS,23.7,-76.69,30,1008,1988,8,27,1988/08/27 04:00:00+00
471309,471310,1988235N15317,,,CHRIS,24.1,-77.2,30,1008,1988,8,27,1988/08/27 04:00:00+00
