Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
271774,271775,1959186N32281,,,CINDY,31.5,-79.0,25,0,1959,7,4,1959/07/04 04:00:00+00
271775,271776,1959186N32281,,,CINDY,31.25,-79.01,25,0,1959,7,4,1959/07/04 04:00:00+00
271776,271777,1959186N32281,,,CINDY,31.0,-79.0,25,0,1959,7,4,1959/07/04 04:00:00+00
271777,271778,1959186N32281,,,CINDY,30.75,-78.97,25,0,1959,7,4,1959/07/04 04:00:00+00
271778,271779,1959186N32281,,,CINDY,30.5,-78.9,25,0,1959,7,5,1959/07/05 04:00:00+00
271779,271780,1959186N32281,,,CINDY,30.23,-78.81,25,0,1959,7,5,1959/07/05 04:00:00+00
271780,271781,1959186N32281,,,CINDY,30.0,-78.7,25,0,1959,7,5,1959/07/05 04:00:00+00
271781,271782,1959186N32281,,,CINDY,29.86,-78.6,25,0,1959,7,5,1959/07/05 04:00:00+00
271782,271783,1959186N32281,,,CINDY,29.8,-78.5,25,0,1959,7,5,1959/07/05 04:00:00+00
271783,271784,1959186N32281,,,CINDY,29.77,-78.39,25,0,1959,7,5,1959/07/05 04:00:00+00
271784,271785,1959186N32281,,,CINDY,29.8,-78.3,25,0,1959,7,5,1959/07/05 04:00:00+00
271785,271786,1959186N32281,,,CINDY,29.88,-78.25,25,0,1959,7,5,1959/07/05 04:00:00+00
271786,271787,1959186N32281,,,CINDY,30.0,-78.2,25,0,1959,7,6,1959/07/06 04:00:00+00
271787,271788,1959186N32281,,,CINDY,30.15,-78.1,25,0,1959,7,6,1959/07/06 04:00:00+00
271788,271789,1959186N32281,,,CINDY,30.3,-78.0,25,0,1959,7,6,1959/07/06 04:00:00+00
271789,271790,1959186N32281,,,CINDY,30.4,-77.95,27,0,1959,7,6,1959/07/06 04:00:00+00
271790,271791,1959186N32281,,,CINDY,30.5,-77.9,30,0,1959,7,6,1959/07/06 04:00:00+00
