Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
544930,544931,1998036S13135,SP,EA,CINDY:VICTOR,-13.1,135.2,15,0,1998,2,4,1998/02/04 05:00:00+00
544931,544932,1998036S13135,SI,WA,CINDY:VICTOR,-13.1,134.69,15,0,1998,2,4,1998/02/04 05:00:00+00
544932,544933,1998036S13135,SI,WA,CINDY:VICTOR,-13.1,134.2,15,0,1998,2,5,1998/02/05 05:00:00+00
544933,544934,1998036S13135,SI,WA,CINDY:VICTOR,-13.1,133.74,15,0,1998,2,5,1998/02/05 05:00:00+00
544934,544935,1998036S13135,SI,WA,CINDY:VICTOR,-13.06,133.6,15,0,1998,2,5,1998/02/05 05:00:00+00
544935,544936,1998036S13135,SI,WA,CINDY:VICTOR,-13.03,133.31,15,0,1998,2,5,1998/02/05 05:00:00+00
544936,544937,1998036S13135,SI,WA,CINDY:VICTOR,-13.02,132.88,15,0,1998,2,5,1998/02/05 05:00:00+00
544937,544938,1998036S13135,SI,WA,CINDY:VICTOR,-13.01,132.47,15,0,1998,2,5,1998/02/05 05:00:00+00
544938,544939,1998036S13135,SI,WA,CINDY:VICTOR,-13.01,132.1,17,0,1998,2,5,1998/02/05 05:00:00+00
544939,544940,1998036S13135,SI,WA,CINDY:VICTOR,-13.02,131.74,20,0,1998,2,5,1998/02/05 05:00:00+00
544940,544941,1998036S13135,SI,WA,CINDY:VICTOR,-13.02,131.38,20,0,1998,2,5,1998/02/05 05:00:00+00
544941,544942,1998036S13135,SI,WA,CINDY:VICTOR,-13.03,131.03,20,0,1998,2,6,1998/02/06 05:00:00+00
544942,544943,1998036S13135,SI,WA,CINDY:VICTOR,-13.06,130.68,20,0,1998,2,6,1998/02/06 05:00:00+00
544943,544944,1998036S13135,SI,WA,CINDY:VICTOR,-13.08,130.57,20,0,1998,2,6,1998/02/06 05:00:00+00
544944,544945,1998036S13135,SI,WA,CINDY:VICTOR,-13.11,130.34,20,0,1998,2,6,1998/02/06 05:00:00+00
544945,544946,1998036S13135,SI,WA,CINDY:VICTOR,-13.18,130.01,22,0,1998,2,6,1998/02/06 05:00:00+00
544946,544947,1998036S13135,SI,WA,CINDY:VICTOR,-13.25,129.69,25,0,1998,2,6,1998/02/06 05:00:00+00
544947,544948,1998036S13135,SI,WA,CINDY:VICTOR,-13.32,129.38,25,0,1998,2,6,1998/02/06 05:00:00+00
544948,544949,1998036S13135,SI,WA,CINDY:VICTOR,-13.39,129.1,25,0,1998,2,6,1998/02/06 05:00:00+00
544949,544950,1998036S13135,SI,WA,CINDY:VICTOR,-13.43,128.83,25,0,1998,2,6,1998/02/06 05:00:00+00
544950,544951,1998036S13135,SI,WA,CINDY:VICTOR,-13.48,128.58,25,0,1998,2,7,1998/02/07 05:00:00+00
544951,544952,1998036S13135,SI,WA,CINDY:VICTOR,-13.57,128.37,25,0,1998,2,7,1998/02/07 05:00:00+00
544952,544953,1998036S13135,SI,WA,CINDY:VICTOR,-13.6,128.3,25,0,1998,2,7,1998/02/07 05:00:00+00
544953,544954,1998036S13135,SI,WA,CINDY:VICTOR,-13.64,128.17,25,0,1998,2,7,1998/02/07 05:00:00+00
544954,544955,1998036S13135,SI,WA,CINDY:VICTOR,-13.65,127.93,25,0,1998,2,7,1998/02/07 05:00:00+00
544955,544956,1998036S13135,SI,WA,CINDY:VICTOR,-13.64,127.67,25,0,1998,2,7,1998/02/07 05:00:00+00
544956,544957,1998036S13135,SI,WA,CINDY:VICTOR,-13.62,127.44,25,0,1998,2,7,1998/02/07 05:00:00+00
544957,544958,1998036S13135,SI,WA,CINDY:VICTOR,-13.6,127.17,25,0,1998,2,7,1998/02/07 05:00:00+00
544958,544959,1998036S13135,SI,WA,CINDY:VICTOR,-13.6,126.84,25,0,1998,2,7,1998/02/07 05:00:00+00
544959,544960,1998036S13135,SI,WA,CINDY:VICTOR,-13.63,126.48,25,0,1998,2,8,1998/02/08 05:00:00+00
544960,544961,1998036S13135,SI,WA,CINDY:VICTOR,-13.7,126.12,27,0,1998,2,8,1998/02/08 05:00:00+00
544961,544962,1998036S13135,SI,WA,CINDY:VICTOR,-13.73,126.01,28,0,1998,2,8,1998/02/08 05:00:00+00
544962,544963,1998036S13135,SI,WA,CINDY:VICTOR,-13.75,125.81,30,0,1998,2,8,1998/02/08 05:00:00+00
544963,544964,1998036S13135,SI,WA,CINDY:VICTOR,-13.83,125.49,30,0,1998,2,8,1998/02/08 05:00:00+00
544964,544965,1998036S13135,SI,WA,CINDY:VICTOR,-13.84,125.39,30,0,1998,2,8,1998/02/08 05:00:00+00
544965,544966,1998036S13135,SI,WA,CINDY:VICTOR,-13.92,125.18,30,0,1998,2,8,1998/02/08 05:00:00+00
