Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
291482,291483,1962263N17253,EP,MM,CLAUDIA,17.0,-107.3,45,0,1962,9,20,1962/09/20 04:00:00+00
291483,291484,1962263N17253,EP,MM,CLAUDIA,17.46,-107.76,45,0,1962,9,20,1962/09/20 04:00:00+00
291484,291485,1962263N17253,EP,MM,CLAUDIA,17.9,-108.19,45,0,1962,9,20,1962/09/20 04:00:00+00
291485,291486,1962263N17253,EP,MM,CLAUDIA,18.31,-108.58,45,0,1962,9,20,1962/09/20 04:00:00+00
291486,291487,1962263N17253,EP,MM,CLAUDIA,18.7,-108.9,45,0,1962,9,20,1962/09/20 04:00:00+00
291487,291488,1962263N17253,EP,MM,CLAUDIA,19.1,-109.17,45,0,1962,9,20,1962/09/20 04:00:00+00
291488,291489,1962263N17253,EP,MM,CLAUDIA,19.49,-109.41,45,0,1962,9,20,1962/09/20 04:00:00+00
291489,291490,1962263N17253,EP,MM,CLAUDIA,19.87,-109.65,45,0,1962,9,20,1962/09/20 04:00:00+00
291490,291491,1962263N17253,EP,MM,CLAUDIA,20.3,-109.9,45,0,1962,9,21,1962/09/21 04:00:00+00
291491,291492,1962263N17253,EP,MM,CLAUDIA,20.83,-110.19,45,0,1962,9,21,1962/09/21 04:00:00+00
291492,291493,1962263N17253,EP,MM,CLAUDIA,21.4,-110.5,45,0,1962,9,21,1962/09/21 04:00:00+00
291493,291494,1962263N17253,EP,MM,CLAUDIA,21.97,-110.8,45,0,1962,9,21,1962/09/21 04:00:00+00
291494,291495,1962263N17253,EP,MM,CLAUDIA,22.5,-111.1,45,0,1962,9,21,1962/09/21 04:00:00+00
291495,291496,1962263N17253,EP,MM,CLAUDIA,22.98,-111.4,45,0,1962,9,21,1962/09/21 04:00:00+00
291496,291497,1962263N17253,EP,MM,CLAUDIA,23.4,-111.7,45,0,1962,9,21,1962/09/21 04:00:00+00
291497,291498,1962263N17253,EP,MM,CLAUDIA,23.77,-112.01,45,0,1962,9,21,1962/09/21 04:00:00+00
291498,291499,1962263N17253,EP,MM,CLAUDIA,24.1,-112.3,45,0,1962,9,22,1962/09/22 04:00:00+00
291499,291500,1962263N17253,EP,MM,CLAUDIA,24.41,-112.56,45,0,1962,9,22,1962/09/22 04:00:00+00
291500,291501,1962263N17253,EP,MM,CLAUDIA,24.7,-112.81,45,0,1962,9,22,1962/09/22 04:00:00+00
291501,291502,1962263N17253,EP,MM,CLAUDIA,24.95,-113.06,45,0,1962,9,22,1962/09/22 04:00:00+00
291502,291503,1962263N17253,EP,MM,CLAUDIA,25.2,-113.3,45,0,1962,9,22,1962/09/22 04:00:00+00
