Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
434703,434704,1982353S13064,SI,MM,CLERA,-13.23,64.0,0,0,1982,12,19,1982/12/19 05:00:00+00
434704,434705,1982353S13064,SI,MM,CLERA,-13.61,64.99,0,0,1982,12,19,1982/12/19 05:00:00+00
434705,434706,1982353S13064,SI,MM,CLERA,-13.56,65.76,0,0,1982,12,19,1982/12/19 05:00:00+00
434706,434707,1982353S13064,SI,MM,CLERA,-12.84,66.1,0,0,1982,12,19,1982/12/19 05:00:00+00
434707,434708,1982353S13064,SI,MM,CLERA,-11.9,65.9,0,0,1982,12,19,1982/12/19 05:00:00+00
434708,434709,1982353S13064,SI,MM,CLERA,-11.24,65.14,0,0,1982,12,19,1982/12/19 05:00:00+00
434709,434710,1982353S13064,SI,MM,CLERA,-10.77,63.99,0,0,1982,12,20,1982/12/20 05:00:00+00
434710,434711,1982353S13064,SI,MM,CLERA,-10.41,62.8,0,0,1982,12,20,1982/12/20 05:00:00+00
434711,434712,1982353S13064,SI,MM,CLERA,-10.4,61.47,0,0,1982,12,20,1982/12/20 05:00:00+00
434712,434713,1982353S13064,SI,MM,CLERA,-10.86,60.03,0,0,1982,12,20,1982/12/20 05:00:00+00
