Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
429180,429181,1982035S13141,SP,EA,CORAL,-13.5,140.5,0,0,1982,2,4,1982/02/04 05:00:00+00
429181,429182,1982035S13141,SP,EA,CORAL,-13.65,140.46,0,0,1982,2,4,1982/02/04 05:00:00+00
429182,429183,1982035S13141,SP,EA,CORAL,-14.0,140.31,0,0,1982,2,4,1982/02/04 05:00:00+00
429183,429184,1982035S13141,SP,EA,CORAL,-14.11,140.23,0,0,1982,2,4,1982/02/04 05:00:00+00
429184,429185,1982035S13141,SP,EA,CORAL,-14.26,140.04,0,0,1982,2,4,1982/02/04 05:00:00+00
429185,429186,1982035S13141,SP,EA,CORAL,-14.31,139.95,0,0,1982,2,4,1982/02/04 05:00:00+00
429186,429187,1982035S13141,SP,EA,CORAL,-14.31,139.66,0,0,1982,2,4,1982/02/04 05:00:00+00
429187,429188,1982035S13141,SP,EA,CORAL,-14.3,139.46,0,0,1982,2,4,1982/02/04 05:00:00+00
429188,429189,1982035S13141,SP,EA,CORAL,-14.33,139.36,0,0,1982,2,4,1982/02/04 05:00:00+00
429189,429190,1982035S13141,SP,EA,CORAL,-14.46,139.12,0,0,1982,2,4,1982/02/04 05:00:00+00
429190,429191,1982035S13141,SP,EA,CORAL,-14.54,138.95,0,0,1982,2,4,1982/02/04 05:00:00+00
429191,429192,1982035S13141,SP,EA,CORAL,-14.67,138.59,0,0,1982,2,4,1982/02/04 05:00:00+00
429192,429193,1982035S13141,SP,EA,CORAL,-14.46,138.35,0,0,1982,2,5,1982/02/05 05:00:00+00
429193,429194,1982035S13141,SP,EA,CORAL,-14.38,137.98,0,0,1982,2,5,1982/02/05 05:00:00+00
429194,429195,1982035S13141,SP,EA,CORAL,-14.33,137.75,0,0,1982,2,5,1982/02/05 05:00:00+00
429195,429196,1982035S13141,SP,EA,CORAL,-14.38,137.34,0,0,1982,2,5,1982/02/05 05:00:00+00
429196,429197,1982035S13141,SP,EA,CORAL,-14.45,137.13,0,0,1982,2,5,1982/02/05 05:00:00+00
429197,429198,1982035S13141,SP,EA,CORAL,-14.59,136.69,0,0,1982,2,5,1982/02/05 05:00:00+00
429198,429199,1982035S13141,SP,EA,CORAL,-14.67,136.47,0,0,1982,2,5,1982/02/05 05:00:00+00
429199,429200,1982035S13141,SP,EA,CORAL,-14.76,136.27,0,0,1982,2,5,1982/02/05 05:00:00+00
429200,429201,1982035S13141,SP,EA,CORAL,-14.91,135.93,0,0,1982,2,5,1982/02/05 05:00:00+00
429201,429202,1982035S13141,SP,EA,CORAL,-15.08,135.66,0,0,1982,2,5,1982/02/05 05:00:00+00
429202,429203,1982035S13141,SP,EA,CORAL,-15.14,135.52,0,0,1982,2,5,1982/02/05 05:00:00+00
429203,429204,1982035S13141,SP,EA,CORAL,-15.21,135.24,0,0,1982,2,5,1982/02/05 05:00:00+00
429204,429205,1982035S13141,SP,EA,CORAL,-15.14,135.11,0,0,1982,2,5,1982/02/05 05:00:00+00
429205,429206,1982035S13141,SI,WA,CORAL,-14.94,134.87,0,0,1982,2,5,1982/02/05 05:00:00+00
429206,429207,1982035S13141,SI,WA,CORAL,-14.91,134.72,0,0,1982,2,5,1982/02/05 05:00:00+00
429207,429208,1982035S13141,SI,WA,CORAL,-14.86,134.42,0,0,1982,2,5,1982/02/05 05:00:00+00
429208,429209,1982035S13141,SI,WA,CORAL,-14.85,134.28,0,0,1982,2,6,1982/02/06 05:00:00+00
429209,429210,1982035S13141,SI,WA,CORAL,-14.84,134.07,0,0,1982,2,6,1982/02/06 05:00:00+00
429210,429211,1982035S13141,SI,WA,CORAL,-14.83,134.0,0,0,1982,2,6,1982/02/06 05:00:00+00
429211,429212,1982035S13141,SI,WA,CORAL,-14.81,133.75,0,0,1982,2,6,1982/02/06 05:00:00+00
429212,429213,1982035S13141,SI,WA,CORAL,-14.8,133.8,0,0,1982,2,6,1982/02/06 05:00:00+00
429213,429214,1982035S13141,SI,WA,CORAL,-14.79,133.28,0,0,1982,2,6,1982/02/06 05:00:00+00
