Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
576205,576206,2003067S13130,SI,WA,CRAIG,-13.0,130.3,0,0,2003,3,7,2003/03/07 05:00:00+00
576206,576207,2003067S13130,SI,WA,CRAIG,-12.73,130.2,0,0,2003,3,7,2003/03/07 05:00:00+00
576207,576208,2003067S13130,SI,WA,CRAIG,-12.4,130.0,0,0,2003,3,7,2003/03/07 05:00:00+00
576208,576209,2003067S13130,SI,WA,CRAIG,-12.0,129.7,0,0,2003,3,7,2003/03/07 05:00:00+00
576209,576210,2003067S13130,SI,WA,CRAIG,-11.8,129.33,20,1004,2003,3,8,2003/03/08 05:00:00+00
576210,576211,2003067S13130,SI,WA,CRAIG,-11.76,129.04,22,1003,2003,3,8,2003/03/08 05:00:00+00
576211,576212,2003067S13130,SI,WA,CRAIG,-11.64,128.88,25,1002,2003,3,8,2003/03/08 05:00:00+00
576212,576213,2003067S13130,SI,WA,CRAIG,-11.54,128.92,25,1002,2003,3,8,2003/03/08 05:00:00+00
576213,576214,2003067S13130,SI,WA,CRAIG,-11.4,128.97,25,1002,2003,3,8,2003/03/08 05:00:00+00
576214,576215,2003067S13130,SI,WA,CRAIG,-11.27,128.98,25,1002,2003,3,8,2003/03/08 05:00:00+00
576215,576216,2003067S13130,SI,WA,CRAIG,-11.2,129.07,25,1002,2003,3,8,2003/03/08 05:00:00+00
576216,576217,2003067S13130,SI,WA,CRAIG,-11.17,129.11,25,1002,2003,3,8,2003/03/08 05:00:00+00
576217,576218,2003067S13130,SI,WA,CRAIG,-10.97,129.17,25,1002,2003,3,9,2003/03/09 05:00:00+00
576218,576219,2003067S13130,SI,WA,CRAIG,-10.75,129.23,25,1002,2003,3,9,2003/03/09 05:00:00+00
576219,576220,2003067S13130,SI,WA,CRAIG,-10.6,129.4,25,1002,2003,3,9,2003/03/09 05:00:00+00
576220,576221,2003067S13130,SI,WA,CRAIG,-10.65,129.67,27,1001,2003,3,9,2003/03/09 05:00:00+00
576221,576222,2003067S13130,SI,WA,CRAIG,-10.7,129.97,30,1000,2003,3,9,2003/03/09 05:00:00+00
576222,576223,2003067S13130,SI,WA,CRAIG,-10.7,130.21,30,1000,2003,3,9,2003/03/09 05:00:00+00
576223,576224,2003067S13130,SI,WA,CRAIG,-10.73,130.43,30,1000,2003,3,9,2003/03/09 05:00:00+00
576224,576225,2003067S13130,SI,WA,CRAIG,-10.83,130.61,32,1000,2003,3,9,2003/03/09 05:00:00+00
576225,576226,2003067S13130,SI,WA,CRAIG,-10.93,130.73,35,1000,2003,3,10,2003/03/10 04:00:00+00
576226,576227,2003067S13130,SI,WA,CRAIG,-11.02,130.84,35,998,2003,3,10,2003/03/10 04:00:00+00
576227,576228,2003067S13130,SI,WA,CRAIG,-11.13,130.97,35,997,2003,3,10,2003/03/10 04:00:00+00
576228,576229,2003067S13130,SI,WA,CRAIG,-11.23,130.97,35,997,2003,3,10,2003/03/10 04:00:00+00
576229,576230,2003067S13130,SI,WA,CRAIG,-11.27,131.0,35,997,2003,3,10,2003/03/10 04:00:00+00
576230,576231,2003067S13130,SI,WA,CRAIG,-11.4,131.17,35,997,2003,3,10,2003/03/10 04:00:00+00
576231,576232,2003067S13130,SI,WA,CRAIG,-11.48,131.31,35,997,2003,3,10,2003/03/10 04:00:00+00
576232,576233,2003067S13130,SI,WA,CRAIG,-11.53,131.47,35,997,2003,3,10,2003/03/10 04:00:00+00
576233,576234,2003067S13130,SI,WA,CRAIG,-11.6,131.78,35,997,2003,3,10,2003/03/10 04:00:00+00
576234,576235,2003067S13130,SI,WA,CRAIG,-11.67,132.13,35,997,2003,3,11,2003/03/11 04:00:00+00
576235,576236,2003067S13130,SI,WA,CRAIG,-11.78,132.46,35,997,2003,3,11,2003/03/11 04:00:00+00
576236,576237,2003067S13130,SI,WA,CRAIG,-11.9,132.9,35,997,2003,3,11,2003/03/11 04:00:00+00
576237,576238,2003067S13130,SI,WA,CRAIG,-12.06,133.56,35,997,2003,3,11,2003/03/11 04:00:00+00
576238,576239,2003067S13130,SI,WA,CRAIG,-12.23,134.33,35,997,2003,3,11,2003/03/11 04:00:00+00
576239,576240,2003067S13130,SP,EA,CRAIG,-12.32,135.06,35,997,2003,3,11,2003/03/11 04:00:00+00
576240,576241,2003067S13130,SP,EA,CRAIG,-12.47,135.9,35,997,2003,3,11,2003/03/11 04:00:00+00
576241,576242,2003067S13130,SP,EA,CRAIG,-12.74,136.95,35,997,2003,3,11,2003/03/11 04:00:00+00
576242,576243,2003067S13130,SP,EA,CRAIG,-13.13,138.0,35,997,2003,3,12,2003/03/12 04:00:00+00
576243,576244,2003067S13130,SP,EA,CRAIG,-13.64,138.98,35,997,2003,3,12,2003/03/12 04:00:00+00
576244,576245,2003067S13130,SP,EA,CRAIG,-14.23,139.9,35,997,2003,3,12,2003/03/12 04:00:00+00
576245,576246,2003067S13130,SP,EA,CRAIG,-14.75,140.57,35,997,2003,3,12,2003/03/12 04:00:00+00
576246,576247,2003067S13130,SP,EA,CRAIG,-15.2,141.07,35,997,2003,3,12,2003/03/12 04:00:00+00
576247,576248,2003067S13130,SP,EA,CRAIG,-15.73,141.52,32,998,2003,3,12,2003/03/12 04:00:00+00
576248,576249,2003067S13130,SP,EA,CRAIG,-16.15,141.9,30,1000,2003,3,12,2003/03/12 04:00:00+00
576249,576250,2003067S13130,SP,EA,CRAIG,-16.71,142.25,27,1001,2003,3,12,2003/03/12 04:00:00+00
