Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
571525,571526,2002218N32283,,,CRISTOBAL,32.0,-77.2,30,1008,2002,8,5,2002/08/05 04:00:00+00
571526,571527,2002218N32283,,,CRISTOBAL,31.74,-77.14,30,1006,2002,8,5,2002/08/05 04:00:00+00
571527,571528,2002218N32283,,,CRISTOBAL,31.5,-77.1,30,1004,2002,8,6,2002/08/06 04:00:00+00
571528,571529,2002218N32283,,,CRISTOBAL,31.29,-77.07,30,1004,2002,8,6,2002/08/06 04:00:00+00
571529,571530,2002218N32283,,,CRISTOBAL,31.1,-77.0,30,1004,2002,8,6,2002/08/06 04:00:00+00
571530,571531,2002218N32283,,,CRISTOBAL,30.89,-76.81,30,1004,2002,8,6,2002/08/06 04:00:00+00
571531,571532,2002218N32283,,,CRISTOBAL,30.7,-76.6,30,1004,2002,8,6,2002/08/06 04:00:00+00
571532,571533,2002218N32283,,,CRISTOBAL,30.54,-76.49,32,1003,2002,8,6,2002/08/06 04:00:00+00
571533,571534,2002218N32283,,,CRISTOBAL,30.4,-76.4,35,1002,2002,8,6,2002/08/06 04:00:00+00
571534,571535,2002218N32283,,,CRISTOBAL,30.26,-76.28,37,1000,2002,8,6,2002/08/06 04:00:00+00
571535,571536,2002218N32283,,,CRISTOBAL,30.1,-76.2,40,999,2002,8,7,2002/08/07 04:00:00+00
571536,571537,2002218N32283,,,CRISTOBAL,29.9,-76.2,40,999,2002,8,7,2002/08/07 04:00:00+00
571537,571538,2002218N32283,,,CRISTOBAL,29.7,-76.2,40,999,2002,8,7,2002/08/07 04:00:00+00
571538,571539,2002218N32283,,,CRISTOBAL,29.5,-76.12,40,999,2002,8,7,2002/08/07 04:00:00+00
571539,571540,2002218N32283,,,CRISTOBAL,29.4,-76.0,40,999,2002,8,7,2002/08/07 04:00:00+00
571540,571541,2002218N32283,,,CRISTOBAL,29.53,-75.87,40,999,2002,8,7,2002/08/07 04:00:00+00
571541,571542,2002218N32283,,,CRISTOBAL,29.7,-75.7,40,1000,2002,8,7,2002/08/07 04:00:00+00
571542,571543,2002218N32283,,,CRISTOBAL,29.72,-75.51,42,1000,2002,8,7,2002/08/07 04:00:00+00
571543,571544,2002218N32283,,,CRISTOBAL,29.7,-75.3,45,1000,2002,8,8,2002/08/08 04:00:00+00
571544,571545,2002218N32283,,,CRISTOBAL,29.68,-75.14,45,1000,2002,8,8,2002/08/08 04:00:00+00
571545,571546,2002218N32283,,,CRISTOBAL,29.7,-74.9,45,1000,2002,8,8,2002/08/08 04:00:00+00
571546,571547,2002218N32283,,,CRISTOBAL,29.72,-74.57,45,1001,2002,8,8,2002/08/08 04:00:00+00
571547,571548,2002218N32283,,,CRISTOBAL,29.9,-74.0,45,1003,2002,8,8,2002/08/08 04:00:00+00
571548,571549,2002218N32283,,,CRISTOBAL,30.37,-73.1,45,1005,2002,8,8,2002/08/08 04:00:00+00
608807,608808,2008201N32280,,,CRISTOBAL,31.7,-79.8,25,1010,2008,7,19,2008/07/19 04:00:00+00
608808,608809,2008201N32280,,,CRISTOBAL,31.98,-79.62,25,1009,2008,7,19,2008/07/19 04:00:00+00
608809,608810,2008201N32280,,,CRISTOBAL,32.2,-79.4,25,1009,2008,7,19,2008/07/19 04:00:00+00
608810,608811,2008201N32280,,,CRISTOBAL,32.31,-79.11,30,1008,2008,7,19,2008/07/19 04:00:00+00
608811,608812,2008201N32280,,,CRISTOBAL,32.4,-78.8,35,1007,2008,7,19,2008/07/19 04:00:00+00
608812,608813,2008201N32280,,,CRISTOBAL,32.59,-78.49,40,1006,2008,7,19,2008/07/19 04:00:00+00
608813,608814,2008201N32280,,,CRISTOBAL,32.8,-78.2,45,1006,2008,7,19,2008/07/19 04:00:00+00
608814,608815,2008201N32280,,,CRISTOBAL,32.99,-77.98,45,1006,2008,7,19,2008/07/19 04:00:00+00
608815,608816,2008201N32280,,,CRISTOBAL,33.2,-77.8,45,1006,2008,7,20,2008/07/20 04:00:00+00
608816,608817,2008201N32280,,,CRISTOBAL,33.45,-77.62,45,1006,2008,7,20,2008/07/20 04:00:00+00
608817,608818,2008201N32280,,,CRISTOBAL,33.7,-77.4,45,1006,2008,7,20,2008/07/20 04:00:00+00
608818,608819,2008201N32280,,,CRISTOBAL,33.91,-77.06,45,1006,2008,7,20,2008/07/20 04:00:00+00
608819,608820,2008201N32280,,,CRISTOBAL,34.1,-76.7,45,1006,2008,7,20,2008/07/20 04:00:00+00
