Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
533436,533437,1996307N09154,WP,MM,DALE,9.1,154.0,15,0,1996,11,2,1996/11/02 04:00:00+00
533437,533438,1996307N09154,WP,MM,DALE,9.1,153.84,15,0,1996,11,2,1996/11/02 04:00:00+00
533438,533439,1996307N09154,WP,MM,DALE,9.1,153.7,15,0,1996,11,2,1996/11/02 04:00:00+00
533439,533440,1996307N09154,WP,MM,DALE,9.1,153.56,15,0,1996,11,2,1996/11/02 04:00:00+00
533440,533441,1996307N09154,WP,MM,DALE,9.1,153.4,15,0,1996,11,2,1996/11/02 04:00:00+00
533441,533442,1996307N09154,WP,MM,DALE,9.09,153.16,15,0,1996,11,2,1996/11/02 04:00:00+00
533442,533443,1996307N09154,WP,MM,DALE,9.1,152.9,15,0,1996,11,2,1996/11/02 04:00:00+00
533443,533444,1996307N09154,WP,MM,DALE,9.13,152.69,15,0,1996,11,2,1996/11/02 04:00:00+00
533444,533445,1996307N09154,WP,MM,DALE,9.2,152.5,15,0,1996,11,3,1996/11/03 04:00:00+00
533445,533446,1996307N09154,WP,MM,DALE,9.29,152.33,17,0,1996,11,3,1996/11/03 04:00:00+00
533446,533447,1996307N09154,WP,MM,DALE,9.4,152.2,20,0,1996,11,3,1996/11/03 04:00:00+00
533447,533448,1996307N09154,WP,MM,DALE,9.55,152.12,22,0,1996,11,3,1996/11/03 04:00:00+00
533448,533449,1996307N09154,WP,MM,DALE,9.7,152.1,25,0,1996,11,3,1996/11/03 04:00:00+00
533449,533450,1996307N09154,WP,MM,DALE,9.82,152.16,25,0,1996,11,3,1996/11/03 04:00:00+00
533450,533451,1996307N09154,WP,MM,DALE,9.82,152.13,25,0,1996,11,3,1996/11/03 04:00:00+00
533451,533452,1996307N09154,WP,MM,DALE,9.82,152.01,25,0,1996,11,3,1996/11/03 04:00:00+00
533452,533453,1996307N09154,WP,MM,DALE,9.84,151.93,25,0,1996,11,4,1996/11/04 05:00:00+00
533453,533454,1996307N09154,WP,MM,DALE,9.9,151.94,27,0,1996,11,4,1996/11/04 05:00:00+00
533454,533455,1996307N09154,WP,MM,DALE,9.97,151.97,30,0,1996,11,4,1996/11/04 05:00:00+00
533455,533456,1996307N09154,WP,MM,DALE,10.0,151.97,32,0,1996,11,4,1996/11/04 05:00:00+00
533456,533457,1996307N09154,WP,MM,DALE,10.03,151.97,35,0,1996,11,4,1996/11/04 05:00:00+00
533457,533458,1996307N09154,WP,MM,DALE,10.11,151.98,35,0,1996,11,4,1996/11/04 05:00:00+00
