Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
415394,415395,1980002S15081,SI,MM,DANITZA,-15.2,80.5,0,0,1980,1,1,1980/01/01 05:00:00+00
415395,415396,1980002S15081,SI,MM,DANITZA,-15.01,80.34,0,0,1980,1,1,1980/01/01 05:00:00+00
415396,415397,1980002S15081,SI,MM,DANITZA,-14.8,80.2,0,0,1980,1,1,1980/01/01 05:00:00+00
415397,415398,1980002S15081,SI,MM,DANITZA,-14.38,80.13,0,0,1980,1,1,1980/01/01 05:00:00+00
415398,415399,1980002S15081,SI,MM,DANITZA,-14.0,80.0,0,0,1980,1,2,1980/01/02 05:00:00+00
415399,415400,1980002S15081,SI,MM,DANITZA,-13.88,79.7,0,0,1980,1,2,1980/01/02 05:00:00+00
415400,415401,1980002S15081,SI,MM,DANITZA,-13.9,79.3,0,0,1980,1,2,1980/01/02 05:00:00+00
415401,415402,1980002S15081,SI,MM,DANITZA,-13.9,78.86,0,0,1980,1,2,1980/01/02 05:00:00+00
415402,415403,1980002S15081,SI,MM,DANITZA,-14.0,78.4,0,0,1980,1,2,1980/01/02 05:00:00+00
415403,415404,1980002S15081,SI,MM,DANITZA,-14.28,77.98,0,0,1980,1,2,1980/01/02 05:00:00+00
415404,415405,1980002S15081,SI,MM,DANITZA,-14.6,77.6,0,0,1980,1,2,1980/01/02 05:00:00+00
415405,415406,1980002S15081,SI,MM,DANITZA,-14.83,77.28,0,0,1980,1,2,1980/01/02 05:00:00+00
