Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
451866,451867,1985224N18279,,CS,DANNY,18.5,-80.7,25,1010,1985,8,12,1985/08/12 04:00:00+00
451867,451868,1985224N18279,,CS,DANNY,18.85,-81.05,25,1010,1985,8,12,1985/08/12 04:00:00+00
451868,451869,1985224N18279,,CS,DANNY,19.2,-81.4,25,1010,1985,8,12,1985/08/12 04:00:00+00
451869,451870,1985224N18279,,CS,DANNY,19.56,-81.74,25,1010,1985,8,12,1985/08/12 04:00:00+00
451870,451871,1985224N18279,,CS,DANNY,19.9,-82.1,25,1010,1985,8,12,1985/08/12 04:00:00+00
451871,451872,1985224N18279,,CS,DANNY,20.21,-82.49,25,1010,1985,8,12,1985/08/12 04:00:00+00
451872,451873,1985224N18279,,CS,DANNY,20.5,-82.9,25,1011,1985,8,12,1985/08/12 04:00:00+00
451873,451874,1985224N18279,,CS,DANNY,20.8,-83.29,25,1011,1985,8,12,1985/08/12 04:00:00+00
451874,451875,1985224N18279,,CS,DANNY,21.1,-83.7,25,1011,1985,8,13,1985/08/13 04:00:00+00
451875,451876,1985224N18279,,CS,DANNY,21.4,-84.14,25,1011,1985,8,13,1985/08/13 04:00:00+00
451876,451877,1985224N18279,,CS,DANNY,21.7,-84.6,25,1011,1985,8,13,1985/08/13 04:00:00+00
451877,451878,1985224N18279,,GM,DANNY,21.99,-85.09,27,1011,1985,8,13,1985/08/13 04:00:00+00
451878,451879,1985224N18279,,GM,DANNY,22.3,-85.6,30,1011,1985,8,13,1985/08/13 04:00:00+00
451879,451880,1985224N18279,,GM,DANNY,22.64,-86.14,30,1011,1985,8,13,1985/08/13 04:00:00+00
451880,451881,1985224N18279,,GM,DANNY,23.0,-86.7,30,1011,1985,8,13,1985/08/13 04:00:00+00
451881,451882,1985224N18279,,GM,DANNY,23.35,-87.26,32,1010,1985,8,13,1985/08/13 04:00:00+00
451882,451883,1985224N18279,,GM,DANNY,23.7,-87.8,35,1010,1985,8,14,1985/08/14 04:00:00+00
451883,451884,1985224N18279,,GM,DANNY,24.05,-88.31,40,1008,1985,8,14,1985/08/14 04:00:00+00
451884,451885,1985224N18279,,GM,DANNY,24.4,-88.8,45,1007,1985,8,14,1985/08/14 04:00:00+00
451885,451886,1985224N18279,,GM,DANNY,24.74,-89.31,47,1005,1985,8,14,1985/08/14 04:00:00+00
451886,451887,1985224N18279,,GM,DANNY,25.1,-89.8,50,1004,1985,8,14,1985/08/14 04:00:00+00
