Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
696674,696675,2022352S12093,SI,WA,DARIAN,-12.0,92.7,35,999,2022,12,18,2022/12/18 05:00:00+00
696675,696676,2022352S12093,SI,WA,DARIAN,-11.92,92.73,37,997,2022,12,18,2022/12/18 05:00:00+00
696676,696677,2022352S12093,SI,WA,DARIAN,-11.9,92.8,39,995,2022,12,18,2022/12/18 05:00:00+00
696677,696678,2022352S12093,SI,WA,DARIAN,-11.97,92.94,42,994,2022,12,18,2022/12/18 05:00:00+00
696678,696679,2022352S12093,SI,WA,DARIAN,-12.1,93.1,45,994,2022,12,18,2022/12/18 05:00:00+00
696679,696680,2022352S12093,SI,WA,DARIAN,-12.27,93.27,48,991,2022,12,18,2022/12/18 05:00:00+00
696680,696681,2022352S12093,SI,WA,DARIAN,-12.4,93.4,51,988,2022,12,19,2022/12/19 05:00:00+00
696681,696682,2022352S12093,SI,WA,DARIAN,-12.34,93.42,52,988,2022,12,19,2022/12/19 05:00:00+00
696682,696683,2022352S12093,SI,WA,DARIAN,-12.3,93.4,54,988,2022,12,19,2022/12/19 05:00:00+00
696683,696684,2022352S12093,SI,WA,DARIAN,-12.46,93.46,64,981,2022,12,19,2022/12/19 05:00:00+00
696684,696685,2022352S12093,SI,WA,DARIAN,-12.7,93.5,74,974,2022,12,19,2022/12/19 05:00:00+00
696685,696686,2022352S12093,SI,WA,DARIAN,-12.9,93.47,74,974,2022,12,19,2022/12/19 05:00:00+00
696686,696687,2022352S12093,SI,WA,DARIAN,-13.1,93.4,74,974,2022,12,19,2022/12/19 05:00:00+00
696687,696688,2022352S12093,SI,WA,DARIAN,-13.3,93.32,81,968,2022,12,19,2022/12/19 05:00:00+00
696688,696689,2022352S12093,SI,WA,DARIAN,-13.5,93.2,89,963,2022,12,20,2022/12/20 05:00:00+00
696689,696690,2022352S12093,SI,WA,DARIAN,-13.72,93.04,95,957,2022,12,20,2022/12/20 05:00:00+00
696690,696691,2022352S12093,SI,WA,DARIAN,-13.93,92.84,102,952,2022,12,20,2022/12/20 05:00:00+00
696691,696692,2022352S12093,SI,WA,DARIAN,-14.09,92.62,108,946,2022,12,20,2022/12/20 05:00:00+00
696692,696693,2022352S12093,SI,WA,DARIAN,-14.2,92.4,115,941,2022,12,20,2022/12/20 05:00:00+00
696693,696694,2022352S12093,SI,WA,DARIAN,-14.23,92.21,121,934,2022,12,20,2022/12/20 05:00:00+00
696694,696695,2022352S12093,SI,WA,DARIAN,-14.2,92.0,128,927,2022,12,20,2022/12/20 05:00:00+00
696695,696696,2022352S12093,SI,WA,DARIAN,-14.16,91.72,128,926,2022,12,20,2022/12/20 05:00:00+00
696696,696697,2022352S12093,SI,WA,DARIAN,-14.1,91.4,128,926,2022,12,21,2022/12/21 05:00:00+00
696697,696698,2022352S12093,SI,WA,DARIAN,-14.0,91.07,128,926,2022,12,21,2022/12/21 05:00:00+00
696698,696699,2022352S12093,SI,WA,DARIAN,-13.9,90.7,128,927,2022,12,21,2022/12/21 05:00:00+00
696699,696700,2022352S12093,SI,WA,DARIAN,-13.88,90.26,128,927,2022,12,21,2022/12/21 05:00:00+00
696700,696701,2022352S12093,SI,MM,DARIAN,-13.8,89.8,128,927,2022,12,21,2022/12/21 05:00:00+00
696701,696702,2022352S12093,SI,MM,DARIAN,-13.49,89.39,128,926,2022,12,21,2022/12/21 05:00:00+00
696702,696703,2022352S12093,SI,MM,DARIAN,-13.2,89.0,128,926,2022,12,21,2022/12/21 05:00:00+00
696703,696704,2022352S12093,SI,MM,DARIAN,-13.17,88.6,128,926,2022,12,21,2022/12/21 05:00:00+00
696704,696705,2022352S12093,SI,MM,DARIAN,-13.2,88.2,128,926,2022,12,22,2022/12/22 05:00:00+00
696705,696706,2022352S12093,SI,MM,DARIAN,-13.11,87.81,121,935,2022,12,22,2022/12/22 05:00:00+00
696706,696707,2022352S12093,SI,MM,DARIAN,-13.0,87.4,115,944,2022,12,22,2022/12/22 05:00:00+00
696707,696708,2022352S12093,SI,MM,DARIAN,-12.94,86.89,110,948,2022,12,22,2022/12/22 05:00:00+00
696708,696709,2022352S12093,SI,MM,DARIAN,-12.9,86.4,105,953,2022,12,22,2022/12/22 05:00:00+00
696709,696710,2022352S12093,SI,MM,DARIAN,-12.86,86.08,102,955,2022,12,22,2022/12/22 05:00:00+00
696710,696711,2022352S12093,SI,MM,DARIAN,-12.8,85.8,99,957,2022,12,22,2022/12/22 05:00:00+00
696711,696712,2022352S12093,SI,MM,DARIAN,-12.71,85.47,94,958,2022,12,22,2022/12/22 05:00:00+00
696712,696713,2022352S12093,SI,MM,DARIAN,-12.6,85.1,89,959,2022,12,23,2022/12/23 05:00:00+00
696713,696714,2022352S12093,SI,MM,DARIAN,-12.49,84.69,97,956,2022,12,23,2022/12/23 05:00:00+00
