Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
563942,563943,2001064S10052,SI,MM,DERA,-9.8,52.4,0,0,2001,3,4,2001/03/04 05:00:00+00
563943,563944,2001064S10052,SI,MM,DERA,-10.12,52.17,0,0,2001,3,4,2001/03/04 05:00:00+00
563944,563945,2001064S10052,SI,MM,DERA,-10.4,51.9,0,0,2001,3,4,2001/03/04 05:00:00+00
563945,563946,2001064S10052,SI,MM,DERA,-10.59,51.59,0,0,2001,3,4,2001/03/04 05:00:00+00
563946,563947,2001064S10052,SI,MM,DERA,-10.7,51.3,0,0,2001,3,5,2001/03/05 05:00:00+00
563947,563948,2001064S10052,SI,MM,DERA,-10.73,51.08,0,0,2001,3,5,2001/03/05 05:00:00+00
563948,563949,2001064S10052,SI,MM,DERA,-10.8,50.9,0,0,2001,3,5,2001/03/05 05:00:00+00
563949,563950,2001064S10052,SI,MM,DERA,-11.04,50.7,0,0,2001,3,5,2001/03/05 05:00:00+00
563950,563951,2001064S10052,SI,MM,DERA,-11.4,50.5,0,0,2001,3,5,2001/03/05 05:00:00+00
563951,563952,2001064S10052,SI,MM,DERA,-11.86,50.32,0,0,2001,3,5,2001/03/05 05:00:00+00
563952,563953,2001064S10052,SI,MM,DERA,-12.3,50.1,0,0,2001,3,5,2001/03/05 05:00:00+00
563953,563954,2001064S10052,SI,MM,DERA,-12.51,49.82,0,0,2001,3,5,2001/03/05 05:00:00+00
563954,563955,2001064S10052,SI,MM,DERA,-12.7,49.4,0,0,2001,3,6,2001/03/06 05:00:00+00
563955,563956,2001064S10052,SI,MM,DERA,-13.04,48.8,0,0,2001,3,6,2001/03/06 05:00:00+00
563956,563957,2001064S10052,SI,MM,DERA,-13.4,48.0,0,0,2001,3,6,2001/03/06 05:00:00+00
563957,563958,2001064S10052,SI,MM,DERA,-13.7,46.94,0,0,2001,3,6,2001/03/06 05:00:00+00
563958,563959,2001064S10052,SI,MM,DERA,-13.9,45.9,0,0,2001,3,6,2001/03/06 05:00:00+00
563959,563960,2001064S10052,SI,MM,DERA,-13.98,45.22,0,0,2001,3,6,2001/03/06 05:00:00+00
563960,563961,2001064S10052,SI,MM,DERA,-14.0,44.7,0,0,2001,3,6,2001/03/06 05:00:00+00
563961,563962,2001064S10052,SI,MM,DERA,-14.03,44.13,0,0,2001,3,6,2001/03/06 05:00:00+00
563962,563963,2001064S10052,SI,MM,DERA,-14.1,43.6,0,0,2001,3,7,2001/03/07 05:00:00+00
563963,563964,2001064S10052,SI,MM,DERA,-14.23,43.08,0,0,2001,3,7,2001/03/07 05:00:00+00
563964,563965,2001064S10052,SI,MM,DERA,-14.4,42.6,0,0,2001,3,7,2001/03/07 05:00:00+00
563965,563966,2001064S10052,SI,MM,DERA,-14.58,42.19,0,0,2001,3,7,2001/03/07 05:00:00+00
563966,563967,2001064S10052,SI,MM,DERA,-14.8,41.8,0,0,2001,3,7,2001/03/07 05:00:00+00
563967,563968,2001064S10052,SI,MM,DERA,-15.09,41.34,0,0,2001,3,7,2001/03/07 05:00:00+00
563968,563969,2001064S10052,SI,MM,DERA,-15.2,40.93,25,0,2001,3,7,2001/03/07 05:00:00+00
563969,563970,2001064S10052,SI,MM,DERA,-15.35,40.7,25,0,2001,3,7,2001/03/07 05:00:00+00
563970,563971,2001064S10052,SI,MM,DERA,-15.58,40.54,25,0,2001,3,8,2001/03/08 05:00:00+00
563971,563972,2001064S10052,SI,MM,DERA,-15.92,40.4,25,0,2001,3,8,2001/03/08 05:00:00+00
563972,563973,2001064S10052,SI,MM,DERA,-16.33,40.23,25,0,2001,3,8,2001/03/08 05:00:00+00
563973,563974,2001064S10052,SI,MM,DERA,-16.75,40.03,27,0,2001,3,8,2001/03/08 05:00:00+00
563974,563975,2001064S10052,SI,MM,DERA,-17.1,39.87,30,0,2001,3,8,2001/03/08 05:00:00+00
563975,563976,2001064S10052,SI,MM,DERA,-17.3,39.8,30,0,2001,3,8,2001/03/08 05:00:00+00
563976,563977,2001064S10052,SI,MM,DERA,-17.5,39.83,30,0,2001,3,8,2001/03/08 05:00:00+00
563977,563978,2001064S10052,SI,MM,DERA,-17.81,39.99,32,0,2001,3,8,2001/03/08 05:00:00+00
563978,563979,2001064S10052,SI,MM,DERA,-18.27,40.17,35,0,2001,3,9,2001/03/09 05:00:00+00
563979,563980,2001064S10052,SI,MM,DERA,-18.88,40.22,37,0,2001,3,9,2001/03/09 05:00:00+00
563980,563981,2001064S10052,SI,MM,DERA,-19.6,40.27,40,0,2001,3,9,2001/03/09 05:00:00+00
563981,563982,2001064S10052,SI,MM,DERA,-20.34,40.41,47,0,2001,3,9,2001/03/09 05:00:00+00
563982,563983,2001064S10052,SI,MM,DERA,-21.03,40.57,55,0,2001,3,9,2001/03/09 05:00:00+00
563983,563984,2001064S10052,SI,MM,DERA,-21.56,40.68,55,0,2001,3,9,2001/03/09 05:00:00+00
563984,563985,2001064S10052,SI,MM,DERA,-22.0,40.73,55,0,2001,3,9,2001/03/09 05:00:00+00
563985,563986,2001064S10052,SI,MM,DERA,-22.41,40.71,57,0,2001,3,9,2001/03/09 05:00:00+00
563986,563987,2001064S10052,SI,MM,DERA,-22.8,40.63,60,0,2001,3,10,2001/03/10 05:00:00+00
563987,563988,2001064S10052,SI,MM,DERA,-23.22,40.55,62,0,2001,3,10,2001/03/10 05:00:00+00
563988,563989,2001064S10052,SI,MM,DERA,-23.63,40.5,65,0,2001,3,10,2001/03/10 05:00:00+00
563989,563990,2001064S10052,SI,MM,DERA,-24.02,40.51,67,0,2001,3,10,2001/03/10 05:00:00+00
563990,563991,2001064S10052,SI,MM,DERA,-24.4,40.57,70,0,2001,3,10,2001/03/10 05:00:00+00
563991,563992,2001064S10052,SI,MM,DERA,-24.8,40.66,72,0,2001,3,10,2001/03/10 05:00:00+00
563992,563993,2001064S10052,SI,MM,DERA,-25.2,40.7,75,0,2001,3,10,2001/03/10 05:00:00+00
563993,563994,2001064S10052,SI,MM,DERA,-25.59,40.6,75,0,2001,3,10,2001/03/10 05:00:00+00
563994,563995,2001064S10052,SI,MM,DERA,-25.97,40.47,75,0,2001,3,11,2001/03/11 05:00:00+00
563995,563996,2001064S10052,SI,MM,DERA,-26.34,40.39,77,0,2001,3,11,2001/03/11 05:00:00+00
563996,563997,2001064S10052,SI,MM,DERA,-26.7,40.33,80,0,2001,3,11,2001/03/11 05:00:00+00
563997,563998,2001064S10052,SI,MM,DERA,-27.0,40.23,82,0,2001,3,11,2001/03/11 05:00:00+00
563998,563999,2001064S10052,SI,MM,DERA,-27.33,40.2,85,0,2001,3,11,2001/03/11 05:00:00+00
563999,564000,2001064S10052,SI,MM,DERA,-27.78,40.32,85,0,2001,3,11,2001/03/11 05:00:00+00
564000,564001,2001064S10052,SI,MM,DERA,-28.3,40.53,85,0,2001,3,11,2001/03/11 05:00:00+00
564001,564002,2001064S10052,SI,MM,DERA,-28.76,40.74,87,0,2001,3,11,2001/03/11 05:00:00+00
564002,564003,2001064S10052,SI,MM,DERA,-29.4,41.03,90,0,2001,3,12,2001/03/12 04:00:00+00
564003,564004,2001064S10052,SI,MM,DERA,-30.35,41.42,90,0,2001,3,12,2001/03/12 04:00:00+00
564004,564005,2001064S10052,SI,MM,DERA,-31.57,41.97,90,0,2001,3,12,2001/03/12 04:00:00+00
564005,564006,2001064S10052,SI,MM,DERA,-32.96,42.67,87,0,2001,3,12,2001/03/12 04:00:00+00
564006,564007,2001064S10052,SI,MM,DERA,-34.5,43.6,85,0,2001,3,12,2001/03/12 04:00:00+00
564007,564008,2001064S10052,SI,MM,DERA,-35.95,44.69,80,0,2001,3,12,2001/03/12 04:00:00+00
564008,564009,2001064S10052,SI,MM,DERA,-37.63,46.1,75,0,2001,3,12,2001/03/12 04:00:00+00
564009,564010,2001064S10052,SI,MM,DERA,-39.76,47.93,65,0,2001,3,12,2001/03/12 04:00:00+00
