Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
482158,482159,1990031S09070,SI,MM,DETY,-9.0,70.0,20,0,1990,1,30,1990/01/30 05:00:00+00
482159,482160,1990031S09070,SI,MM,DETY,-9.04,70.01,20,0,1990,1,30,1990/01/30 05:00:00+00
482160,482161,1990031S09070,SI,MM,DETY,-9.1,70.0,20,0,1990,1,31,1990/01/31 05:00:00+00
482161,482162,1990031S09070,SI,MM,DETY,-9.19,69.96,20,0,1990,1,31,1990/01/31 05:00:00+00
482162,482163,1990031S09070,SI,MM,DETY,-9.3,69.9,20,0,1990,1,31,1990/01/31 05:00:00+00
482163,482164,1990031S09070,SI,MM,DETY,-9.4,69.86,20,0,1990,1,31,1990/01/31 05:00:00+00
482164,482165,1990031S09070,SI,MM,DETY,-9.5,69.8,20,0,1990,1,31,1990/01/31 05:00:00+00
482165,482166,1990031S09070,SI,MM,DETY,-9.61,69.7,20,0,1990,1,31,1990/01/31 05:00:00+00
482166,482167,1990031S09070,SI,MM,DETY,-9.7,69.6,20,0,1990,1,31,1990/01/31 05:00:00+00
482167,482168,1990031S09070,SI,MM,DETY,-9.76,69.53,20,0,1990,1,31,1990/01/31 05:00:00+00
482168,482169,1990031S09070,SI,MM,DETY,-9.8,69.5,20,0,1990,2,1,1990/02/01 05:00:00+00
482169,482170,1990031S09070,SI,MM,DETY,-9.85,69.49,20,0,1990,2,1,1990/02/01 05:00:00+00
482170,482171,1990031S09070,SI,MM,DETY,-9.9,69.5,20,0,1990,2,1,1990/02/01 05:00:00+00
482171,482172,1990031S09070,SI,MM,DETY,-9.95,69.5,20,0,1990,2,1,1990/02/01 05:00:00+00
482172,482173,1990031S09070,SI,MM,DETY,-10.0,69.5,20,0,1990,2,1,1990/02/01 05:00:00+00
482173,482174,1990031S09070,SI,MM,DETY,-10.05,69.5,20,0,1990,2,1,1990/02/01 05:00:00+00
482174,482175,1990031S09070,SI,MM,DETY,-10.1,69.5,20,0,1990,2,1,1990/02/01 05:00:00+00
482175,482176,1990031S09070,SI,MM,DETY,-10.11,69.48,25,0,1990,2,1,1990/02/01 05:00:00+00
482176,482177,1990031S09070,SI,MM,DETY,-10.2,69.5,30,0,1990,2,2,1990/02/02 05:00:00+00
482177,482178,1990031S09070,SI,MM,DETY,-10.51,69.65,30,0,1990,2,2,1990/02/02 05:00:00+00
482178,482179,1990031S09070,SI,MM,DETY,-10.9,69.8,30,0,1990,2,2,1990/02/02 05:00:00+00
482179,482180,1990031S09070,SI,MM,DETY,-11.21,69.82,32,0,1990,2,2,1990/02/02 05:00:00+00
482180,482181,1990031S09070,SI,MM,DETY,-11.47,69.82,35,0,1990,2,2,1990/02/02 05:00:00+00
482181,482182,1990031S09070,SI,MM,DETY,-11.76,69.73,37,0,1990,2,2,1990/02/02 05:00:00+00
482182,482183,1990031S09070,SI,MM,DETY,-12.07,69.64,40,0,1990,2,2,1990/02/02 05:00:00+00
482183,482184,1990031S09070,SI,MM,DETY,-12.4,69.67,45,0,1990,2,2,1990/02/02 05:00:00+00
482184,482185,1990031S09070,SI,MM,DETY,-12.73,69.77,50,0,1990,2,3,1990/02/03 05:00:00+00
