Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
341428,341429,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.0,97.0,0,0,1970,1,3,1970/01/03 05:00:00+00
341429,341430,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.32,96.47,0,0,1970,1,3,1970/01/03 05:00:00+00
341430,341431,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.62,95.96,0,0,1970,1,3,1970/01/03 05:00:00+00
341431,341432,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.88,95.51,0,0,1970,1,3,1970/01/03 05:00:00+00
341432,341433,1970003S07097,SI,WA,DIANE:FRANCOISE,-8.09,95.14,0,0,1970,1,3,1970/01/03 05:00:00+00
341433,341434,1970003S07097,SI,WA,DIANE:FRANCOISE,-8.23,94.87,0,0,1970,1,3,1970/01/03 05:00:00+00
341434,341435,1970003S07097,SI,WA,DIANE:FRANCOISE,-8.27,94.74,0,0,1970,1,3,1970/01/03 05:00:00+00
341435,341436,1970003S07097,SI,WA,DIANE:FRANCOISE,-8.2,94.78,0,0,1970,1,3,1970/01/03 05:00:00+00
341436,341437,1970003S07097,SI,WA,DIANE:FRANCOISE,-8.0,95.0,0,0,1970,1,4,1970/01/04 05:00:00+00
341437,341438,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.68,95.41,0,0,1970,1,4,1970/01/04 05:00:00+00
341438,341439,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.32,95.91,0,0,1970,1,4,1970/01/04 05:00:00+00
341439,341440,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.06,96.35,0,0,1970,1,4,1970/01/04 05:00:00+00
341440,341441,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.0,96.6,0,0,1970,1,4,1970/01/04 05:00:00+00
341441,341442,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.27,96.52,0,0,1970,1,4,1970/01/04 05:00:00+00
341442,341443,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.6,96.41,0,0,1970,1,4,1970/01/04 05:00:00+00
341443,341444,1970003S07097,SI,WA,DIANE:FRANCOISE,-7.94,96.35,0,0,1970,1,4,1970/01/04 05:00:00+00
341444,341445,1970003S07097,SI,WA,DIANE:FRANCOISE,-8.3,96.3,0,0,1970,1,5,1970/01/05 05:00:00+00
341445,341446,1970003S07097,SI,WA,DIANE:FRANCOISE,-8.69,96.25,0,0,1970,1,5,1970/01/05 05:00:00+00
341446,341447,1970003S07097,SI,WA,DIANE:FRANCOISE,-9.09,96.2,0,0,1970,1,5,1970/01/05 05:00:00+00
341447,341448,1970003S07097,SI,WA,DIANE:FRANCOISE,-9.47,96.15,0,0,1970,1,5,1970/01/05 05:00:00+00
341448,341449,1970003S07097,SI,WA,DIANE:FRANCOISE,-9.8,96.1,0,0,1970,1,5,1970/01/05 05:00:00+00
341449,341450,1970003S07097,SI,WA,DIANE:FRANCOISE,-10.07,96.06,0,0,1970,1,5,1970/01/05 05:00:00+00
341450,341451,1970003S07097,SI,WA,DIANE:FRANCOISE,-10.31,96.01,0,0,1970,1,5,1970/01/05 05:00:00+00
341451,341452,1970003S07097,SI,WA,DIANE:FRANCOISE,-10.59,95.97,0,0,1970,1,5,1970/01/05 05:00:00+00
341452,341453,1970003S07097,SI,WA,DIANE:FRANCOISE,-10.9,95.9,0,0,1970,1,6,1970/01/06 05:00:00+00
341453,341454,1970003S07097,SI,WA,DIANE:FRANCOISE,-11.24,95.76,0,0,1970,1,6,1970/01/06 05:00:00+00
341454,341455,1970003S07097,SI,WA,DIANE:FRANCOISE,-11.59,95.58,0,0,1970,1,6,1970/01/06 05:00:00+00
341455,341456,1970003S07097,SI,WA,DIANE:FRANCOISE,-11.95,95.32,0,0,1970,1,6,1970/01/06 05:00:00+00
341456,341457,1970003S07097,SI,WA,DIANE:FRANCOISE,-12.3,95.1,0,0,1970,1,6,1970/01/06 05:00:00+00
341457,341458,1970003S07097,SI,WA,DIANE:FRANCOISE,-12.65,95.09,0,0,1970,1,6,1970/01/06 05:00:00+00
341458,341459,1970003S07097,SI,WA,DIANE:FRANCOISE,-13.01,95.12,0,0,1970,1,6,1970/01/06 05:00:00+00
341459,341460,1970003S07097,SI,WA,DIANE:FRANCOISE,-13.39,95.13,0,0,1970,1,6,1970/01/06 05:00:00+00
341460,341461,1970003S07097,SI,WA,DIANE:FRANCOISE,-13.8,94.9,0,0,1970,1,7,1970/01/07 05:00:00+00
341461,341462,1970003S07097,SI,WA,DIANE:FRANCOISE,-14.25,94.23,0,0,1970,1,7,1970/01/07 05:00:00+00
341462,341463,1970003S07097,SI,WA,DIANE:FRANCOISE,-14.7,93.3,0,0,1970,1,7,1970/01/07 05:00:00+00
341463,341464,1970003S07097,SI,WA,DIANE:FRANCOISE,-15.13,92.32,0,0,1970,1,7,1970/01/07 05:00:00+00
341464,341465,1970003S07097,SI,WA,DIANE:FRANCOISE,-15.5,91.4,0,0,1970,1,7,1970/01/07 05:00:00+00
341465,341466,1970003S07097,SI,WA,DIANE:FRANCOISE,-15.78,90.74,0,0,1970,1,7,1970/01/07 05:00:00+00
341466,341467,1970003S07097,SI,WA,DIANE:FRANCOISE,-16.0,90.17,0,0,1970,1,7,1970/01/07 05:00:00+00
341467,341468,1970003S07097,SI,MM,DIANE:FRANCOISE,-16.21,89.57,0,0,1970,1,7,1970/01/07 05:00:00+00
341468,341469,1970003S07097,SI,MM,DIANE:FRANCOISE,-16.4,89.0,0,0,1970,1,8,1970/01/08 05:00:00+00
341469,341470,1970003S07097,SI,MM,DIANE:FRANCOISE,-16.6,88.49,0,0,1970,1,8,1970/01/08 05:00:00+00
341470,341471,1970003S07097,SI,MM,DIANE:FRANCOISE,-16.76,88.12,0,0,1970,1,8,1970/01/08 05:00:00+00
341471,341472,1970003S07097,SI,MM,DIANE:FRANCOISE,-16.94,87.69,0,0,1970,1,8,1970/01/08 05:00:00+00
341472,341473,1970003S07097,SI,MM,DIANE:FRANCOISE,-17.12,87.14,0,0,1970,1,8,1970/01/08 05:00:00+00
341473,341474,1970003S07097,SI,MM,DIANE:FRANCOISE,-17.27,86.42,0,0,1970,1,8,1970/01/08 05:00:00+00
341474,341475,1970003S07097,SI,MM,DIANE:FRANCOISE,-17.43,85.61,0,0,1970,1,8,1970/01/08 05:00:00+00
