Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
569908,569909,2002096S10103,SI,WA,DIANNE:JERY,-10.3,102.6,25,1002,2002,4,5,2002/04/05 04:00:00+00
569909,569910,2002096S10103,SI,WA,DIANNE:JERY,-10.49,102.28,25,1002,2002,4,5,2002/04/05 04:00:00+00
569910,569911,2002096S10103,SI,WA,DIANNE:JERY,-10.66,101.84,25,1002,2002,4,6,2002/04/06 04:00:00+00
569911,569912,2002096S10103,SI,WA,DIANNE:JERY,-10.89,101.39,25,1002,2002,4,6,2002/04/06 04:00:00+00
569912,569913,2002096S10103,SI,WA,DIANNE:JERY,-11.15,100.93,25,1002,2002,4,6,2002/04/06 04:00:00+00
569913,569914,2002096S10103,SI,WA,DIANNE:JERY,-11.44,100.52,25,1002,2002,4,6,2002/04/06 04:00:00+00
569914,569915,2002096S10103,SI,WA,DIANNE:JERY,-11.73,100.07,25,1002,2002,4,6,2002/04/06 04:00:00+00
569915,569916,2002096S10103,SI,WA,DIANNE:JERY,-11.99,99.55,27,1001,2002,4,6,2002/04/06 04:00:00+00
569916,569917,2002096S10103,SI,WA,DIANNE:JERY,-12.15,99.02,30,1000,2002,4,6,2002/04/06 04:00:00+00
569917,569918,2002096S10103,SI,WA,DIANNE:JERY,-12.18,98.45,32,998,2002,4,6,2002/04/06 04:00:00+00
569918,569919,2002096S10103,SI,WA,DIANNE:JERY,-12.18,97.95,35,997,2002,4,7,2002/04/07 04:00:00+00
569919,569920,2002096S10103,SI,WA,DIANNE:JERY,-12.28,97.4,40,994,2002,4,7,2002/04/07 04:00:00+00
569920,569921,2002096S10103,SI,WA,DIANNE:JERY,-12.5,96.9,45,991,2002,4,7,2002/04/07 04:00:00+00
569921,569922,2002096S10103,SI,WA,DIANNE:JERY,-12.82,96.41,50,987,2002,4,7,2002/04/07 04:00:00+00
569922,569923,2002096S10103,SI,WA,DIANNE:JERY,-13.28,95.88,55,984,2002,4,7,2002/04/07 04:00:00+00
569923,569924,2002096S10103,SI,WA,DIANNE:JERY,-13.68,95.17,57,982,2002,4,7,2002/04/07 04:00:00+00
569924,569925,2002096S10103,SI,WA,DIANNE:JERY,-13.97,94.45,60,980,2002,4,7,2002/04/07 04:00:00+00
569925,569926,2002096S10103,SI,WA,DIANNE:JERY,-14.24,93.74,62,978,2002,4,7,2002/04/07 04:00:00+00
569926,569927,2002096S10103,SI,WA,DIANNE:JERY,-14.45,93.08,65,976,2002,4,8,2002/04/08 04:00:00+00
569927,569928,2002096S10103,SI,WA,DIANNE:JERY,-14.65,92.42,70,971,2002,4,8,2002/04/08 04:00:00+00
569928,569929,2002096S10103,SI,WA,DIANNE:JERY,-14.88,91.88,75,967,2002,4,8,2002/04/08 04:00:00+00
569929,569930,2002096S10103,SI,WA,DIANNE:JERY,-15.09,91.33,77,965,2002,4,8,2002/04/08 04:00:00+00
569930,569931,2002096S10103,SI,WA,DIANNE:JERY,-15.3,90.88,80,963,2002,4,8,2002/04/08 04:00:00+00
569931,569932,2002096S10103,SI,WA,DIANNE:JERY,-15.52,90.44,85,958,2002,4,8,2002/04/08 04:00:00+00
569932,569933,2002096S10103,SI,WA,DIANNE:JERY,-15.8,90.05,90,954,2002,4,8,2002/04/08 04:00:00+00
569933,569934,2002096S10103,SI,MM,DIANNE:JERY,-16.17,89.69,90,954,2002,4,8,2002/04/08 04:00:00+00
569934,569935,2002096S10103,SI,MM,DIANNE:JERY,-16.55,89.33,90,954,2002,4,9,2002/04/09 04:00:00+00
569935,569936,2002096S10103,SI,MM,DIANNE:JERY,-16.92,88.94,90,954,2002,4,9,2002/04/09 04:00:00+00
569936,569937,2002096S10103,SI,MM,DIANNE:JERY,-17.23,88.5,90,954,2002,4,9,2002/04/09 04:00:00+00
569937,569938,2002096S10103,SI,MM,DIANNE:JERY,-17.48,88.27,97,946,2002,4,9,2002/04/09 04:00:00+00
569938,569939,2002096S10103,SI,MM,DIANNE:JERY,-17.68,88.12,105,938,2002,4,9,2002/04/09 04:00:00+00
569939,569940,2002096S10103,SI,MM,DIANNE:JERY,-17.95,88.05,102,941,2002,4,9,2002/04/09 04:00:00+00
569940,569941,2002096S10103,SI,MM,DIANNE:JERY,-18.25,88.03,100,944,2002,4,9,2002/04/09 04:00:00+00
569941,569942,2002096S10103,SI,MM,DIANNE:JERY,-18.53,88.04,97,946,2002,4,9,2002/04/09 04:00:00+00
569942,569943,2002096S10103,SI,MM,DIANNE:JERY,-18.88,88.05,95,949,2002,4,10,2002/04/10 04:00:00+00
569943,569944,2002096S10103,SI,MM,DIANNE:JERY,-19.22,88.06,85,958,2002,4,10,2002/04/10 04:00:00+00
569944,569945,2002096S10103,SI,MM,DIANNE:JERY,-19.6,88.05,75,967,2002,4,10,2002/04/10 04:00:00+00
569945,569946,2002096S10103,SI,MM,DIANNE:JERY,-19.84,88.12,70,971,2002,4,10,2002/04/10 04:00:00+00
569946,569947,2002096S10103,SI,MM,DIANNE:JERY,-20.1,88.17,65,976,2002,4,10,2002/04/10 04:00:00+00
569947,569948,2002096S10103,SI,MM,DIANNE:JERY,-20.42,88.22,65,976,2002,4,10,2002/04/10 04:00:00+00
569948,569949,2002096S10103,SI,MM,DIANNE:JERY,-20.73,88.3,65,976,2002,4,10,2002/04/10 04:00:00+00
569949,569950,2002096S10103,SI,MM,DIANNE:JERY,-20.91,88.48,62,978,2002,4,10,2002/04/10 04:00:00+00
569950,569951,2002096S10103,SI,MM,DIANNE:JERY,-21.12,88.7,60,980,2002,4,11,2002/04/11 04:00:00+00
569951,569952,2002096S10103,SI,MM,DIANNE:JERY,-21.5,88.91,50,985,2002,4,11,2002/04/11 04:00:00+00
569952,569953,2002096S10103,SI,MM,DIANNE:JERY,-21.95,89.08,40,991,2002,4,11,2002/04/11 04:00:00+00
569953,569954,2002096S10103,SI,MM,DIANNE:JERY,-22.42,89.11,37,994,2002,4,11,2002/04/11 04:00:00+00
569954,569955,2002096S10103,SI,MM,DIANNE:JERY,-22.91,89.17,35,997,2002,4,11,2002/04/11 04:00:00+00
569955,569956,2002096S10103,SI,MM,DIANNE:JERY,-23.33,89.39,32,998,2002,4,11,2002/04/11 04:00:00+00
569956,569957,2002096S10103,SI,MM,DIANNE:JERY,-23.69,89.67,30,1000,2002,4,11,2002/04/11 04:00:00+00
569957,569958,2002096S10103,SI,MM,DIANNE:JERY,-24.05,89.89,0,0,2002,4,11,2002/04/11 04:00:00+00
569958,569959,2002096S10103,SI,WA,DIANNE:JERY,-24.5,90.3,0,0,2002,4,12,2002/04/12 04:00:00+00
569959,569960,2002096S10103,SI,WA,DIANNE:JERY,-25.19,90.93,0,0,2002,4,12,2002/04/12 04:00:00+00
569960,569961,2002096S10103,SI,WA,DIANNE:JERY,-25.9,91.6,0,0,2002,4,12,2002/04/12 04:00:00+00
569961,569962,2002096S10103,SI,WA,DIANNE:JERY,-26.47,92.01,0,0,2002,4,12,2002/04/12 04:00:00+00
569962,569963,2002096S10103,SI,WA,DIANNE:JERY,-26.9,92.5,0,0,2002,4,12,2002/04/12 04:00:00+00
569963,569964,2002096S10103,SI,WA,DIANNE:JERY,-27.18,93.35,0,0,2002,4,12,2002/04/12 04:00:00+00
569964,569965,2002096S10103,SI,WA,DIANNE:JERY,-27.4,94.3,0,0,2002,4,12,2002/04/12 04:00:00+00
569965,569966,2002096S10103,SI,WA,DIANNE:JERY,-27.7,95.12,0,0,2002,4,12,2002/04/12 04:00:00+00
569966,569967,2002096S10103,SI,WA,DIANNE:JERY,-28.0,95.9,0,0,2002,4,13,2002/04/13 04:00:00+00
569967,569968,2002096S10103,SI,WA,DIANNE:JERY,-28.26,96.69,0,0,2002,4,13,2002/04/13 04:00:00+00
