Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
448280,448281,1985025S09073,SI,MM,DITRA,-9.3,72.6,0,0,1985,1,25,1985/01/25 05:00:00+00
448281,448282,1985025S09073,SI,MM,DITRA,-9.64,71.99,0,0,1985,1,25,1985/01/25 05:00:00+00
448282,448283,1985025S09073,SI,MM,DITRA,-10.0,71.37,0,0,1985,1,25,1985/01/25 05:00:00+00
448283,448284,1985025S09073,SI,MM,DITRA,-10.41,70.74,0,0,1985,1,25,1985/01/25 05:00:00+00
448284,448285,1985025S09073,SI,MM,DITRA,-10.9,70.1,0,0,1985,1,25,1985/01/25 05:00:00+00
448285,448286,1985025S09073,SI,MM,DITRA,-11.48,69.44,0,0,1985,1,25,1985/01/25 05:00:00+00
448286,448287,1985025S09073,SI,MM,DITRA,-12.26,68.65,25,0,1985,1,26,1985/01/26 05:00:00+00
448287,448288,1985025S09073,SI,MM,DITRA,-12.82,68.14,27,0,1985,1,26,1985/01/26 05:00:00+00
448288,448289,1985025S09073,SI,MM,DITRA,-13.26,67.78,30,0,1985,1,26,1985/01/26 05:00:00+00
448289,448290,1985025S09073,SI,MM,DITRA,-13.59,67.56,32,0,1985,1,26,1985/01/26 05:00:00+00
448290,448291,1985025S09073,SI,MM,DITRA,-13.87,67.44,35,0,1985,1,26,1985/01/26 05:00:00+00
448291,448292,1985025S09073,SI,MM,DITRA,-14.11,67.35,35,0,1985,1,26,1985/01/26 05:00:00+00
448292,448293,1985025S09073,SI,MM,DITRA,-14.33,67.27,35,0,1985,1,26,1985/01/26 05:00:00+00
448293,448294,1985025S09073,SI,MM,DITRA,-14.57,67.13,37,0,1985,1,26,1985/01/26 05:00:00+00
448294,448295,1985025S09073,SI,MM,DITRA,-14.81,67.0,40,0,1985,1,27,1985/01/27 05:00:00+00
448295,448296,1985025S09073,SI,MM,DITRA,-15.06,66.88,40,0,1985,1,27,1985/01/27 05:00:00+00
448296,448297,1985025S09073,SI,MM,DITRA,-15.3,66.77,40,0,1985,1,27,1985/01/27 05:00:00+00
448297,448298,1985025S09073,SI,MM,DITRA,-15.55,66.64,42,0,1985,1,27,1985/01/27 05:00:00+00
448298,448299,1985025S09073,SI,MM,DITRA,-15.85,66.55,45,0,1985,1,27,1985/01/27 05:00:00+00
448299,448300,1985025S09073,SI,MM,DITRA,-16.1,66.5,47,0,1985,1,27,1985/01/27 05:00:00+00
448300,448301,1985025S09073,SI,MM,DITRA,-16.29,66.44,50,0,1985,1,27,1985/01/27 05:00:00+00
448301,448302,1985025S09073,SI,MM,DITRA,-16.42,66.31,52,0,1985,1,27,1985/01/27 05:00:00+00
448302,448303,1985025S09073,SI,MM,DITRA,-16.52,66.18,55,0,1985,1,28,1985/01/28 05:00:00+00
448303,448304,1985025S09073,SI,MM,DITRA,-16.62,66.1,57,0,1985,1,28,1985/01/28 05:00:00+00
448304,448305,1985025S09073,SI,MM,DITRA,-16.75,66.03,60,0,1985,1,28,1985/01/28 05:00:00+00
448305,448306,1985025S09073,SI,MM,DITRA,-16.92,65.88,62,0,1985,1,28,1985/01/28 05:00:00+00
448306,448307,1985025S09073,SI,MM,DITRA,-17.11,65.72,65,0,1985,1,28,1985/01/28 05:00:00+00
448307,448308,1985025S09073,SI,MM,DITRA,-17.32,65.61,67,0,1985,1,28,1985/01/28 05:00:00+00
