Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
595780,595781,2006060S13058,SI,MM,DIWA,-13.0,57.5,15,1006,2006,3,1,2006/03/01 05:00:00+00
595781,595782,2006060S13058,SI,MM,DIWA,-13.12,57.83,15,1006,2006,3,1,2006/03/01 05:00:00+00
595782,595783,2006060S13058,SI,MM,DIWA,-13.3,58.1,15,1006,2006,3,1,2006/03/01 05:00:00+00
595783,595784,2006060S13058,SI,MM,DIWA,-13.58,58.25,15,1006,2006,3,1,2006/03/01 05:00:00+00
595784,595785,2006060S13058,SI,MM,DIWA,-13.9,58.3,15,1006,2006,3,1,2006/03/01 05:00:00+00
595785,595786,2006060S13058,SI,MM,DIWA,-14.24,58.32,15,1006,2006,3,1,2006/03/01 05:00:00+00
595786,595787,2006060S13058,SI,MM,DIWA,-14.5,58.2,15,1006,2006,3,2,2006/03/02 05:00:00+00
595787,595788,2006060S13058,SI,MM,DIWA,-14.61,57.87,15,1006,2006,3,2,2006/03/02 05:00:00+00
595788,595789,2006060S13058,SI,MM,DIWA,-14.31,57.41,15,1006,2006,3,2,2006/03/02 05:00:00+00
595789,595790,2006060S13058,SI,MM,DIWA,-13.78,57.19,15,1006,2006,3,2,2006/03/02 05:00:00+00
595790,595791,2006060S13058,SI,MM,DIWA,-13.44,57.18,15,1006,2006,3,2,2006/03/02 05:00:00+00
595791,595792,2006060S13058,SI,MM,DIWA,-13.55,57.39,20,1003,2006,3,2,2006/03/02 05:00:00+00
595792,595793,2006060S13058,SI,MM,DIWA,-13.9,57.6,25,1001,2006,3,2,2006/03/02 05:00:00+00
595793,595794,2006060S13058,SI,MM,DIWA,-14.28,57.66,25,1001,2006,3,2,2006/03/02 05:00:00+00
595794,595795,2006060S13058,SI,MM,DIWA,-14.7,57.67,25,1002,2006,3,3,2006/03/03 05:00:00+00
595795,595796,2006060S13058,SI,MM,DIWA,-15.09,57.72,25,1002,2006,3,3,2006/03/03 05:00:00+00
595796,595797,2006060S13058,SI,MM,DIWA,-15.47,57.77,25,1002,2006,3,3,2006/03/03 05:00:00+00
595797,595798,2006060S13058,SI,MM,DIWA,-15.8,57.79,25,1002,2006,3,3,2006/03/03 05:00:00+00
595798,595799,2006060S13058,SI,MM,DIWA,-16.13,57.73,25,1002,2006,3,3,2006/03/03 05:00:00+00
595799,595800,2006060S13058,SI,MM,DIWA,-16.52,57.53,27,1001,2006,3,3,2006/03/03 05:00:00+00
595800,595801,2006060S13058,SI,MM,DIWA,-16.93,57.23,30,1000,2006,3,3,2006/03/03 05:00:00+00
595801,595802,2006060S13058,SI,MM,DIWA,-17.39,56.99,32,998,2006,3,3,2006/03/03 05:00:00+00
595802,595803,2006060S13058,SI,MM,DIWA,-17.8,56.63,35,997,2006,3,4,2006/03/04 05:00:00+00
595803,595804,2006060S13058,SI,MM,DIWA,-18.08,56.05,35,997,2006,3,4,2006/03/04 05:00:00+00
595804,595805,2006060S13058,SI,MM,DIWA,-18.27,55.43,35,997,2006,3,4,2006/03/04 05:00:00+00
595805,595806,2006060S13058,SI,MM,DIWA,-18.42,54.99,35,997,2006,3,4,2006/03/04 05:00:00+00
595806,595807,2006060S13058,SI,MM,DIWA,-18.53,54.67,35,997,2006,3,4,2006/03/04 05:00:00+00
595807,595808,2006060S13058,SI,MM,DIWA,-18.63,54.39,35,997,2006,3,4,2006/03/04 05:00:00+00
595808,595809,2006060S13058,SI,MM,DIWA,-18.73,54.2,35,997,2006,3,4,2006/03/04 05:00:00+00
595809,595810,2006060S13058,SI,MM,DIWA,-18.86,54.1,35,997,2006,3,4,2006/03/04 05:00:00+00
595810,595811,2006060S13058,SI,MM,DIWA,-19.1,54.07,35,997,2006,3,5,2006/03/05 05:00:00+00
595811,595812,2006060S13058,SI,MM,DIWA,-19.55,54.08,35,997,2006,3,5,2006/03/05 05:00:00+00
595812,595813,2006060S13058,SI,MM,DIWA,-20.07,54.07,35,997,2006,3,5,2006/03/05 05:00:00+00
595813,595814,2006060S13058,SI,MM,DIWA,-20.48,53.96,37,995,2006,3,5,2006/03/05 05:00:00+00
595814,595815,2006060S13058,SI,MM,DIWA,-20.83,53.77,40,994,2006,3,5,2006/03/05 05:00:00+00
595815,595816,2006060S13058,SI,MM,DIWA,-21.14,53.48,42,992,2006,3,5,2006/03/05 05:00:00+00
595816,595817,2006060S13058,SI,MM,DIWA,-21.4,53.13,45,991,2006,3,5,2006/03/05 05:00:00+00
595817,595818,2006060S13058,SI,MM,DIWA,-21.65,52.77,45,991,2006,3,5,2006/03/05 05:00:00+00
595818,595819,2006060S13058,SI,MM,DIWA,-21.9,52.47,45,991,2006,3,6,2006/03/06 05:00:00+00
595819,595820,2006060S13058,SI,MM,DIWA,-22.17,52.3,45,991,2006,3,6,2006/03/06 05:00:00+00
595820,595821,2006060S13058,SI,MM,DIWA,-22.47,52.27,45,991,2006,3,6,2006/03/06 05:00:00+00
595821,595822,2006060S13058,SI,MM,DIWA,-22.85,52.3,45,991,2006,3,6,2006/03/06 05:00:00+00
595822,595823,2006060S13058,SI,MM,DIWA,-23.17,52.43,45,991,2006,3,6,2006/03/06 05:00:00+00
595823,595824,2006060S13058,SI,MM,DIWA,-23.26,52.68,45,991,2006,3,6,2006/03/06 05:00:00+00
595824,595825,2006060S13058,SI,MM,DIWA,-23.33,52.9,45,991,2006,3,6,2006/03/06 05:00:00+00
595825,595826,2006060S13058,SI,MM,DIWA,-23.58,52.86,45,991,2006,3,6,2006/03/06 05:00:00+00
595826,595827,2006060S13058,SI,MM,DIWA,-23.87,52.83,45,991,2006,3,7,2006/03/07 05:00:00+00
595827,595828,2006060S13058,SI,MM,DIWA,-24.05,53.06,45,991,2006,3,7,2006/03/07 05:00:00+00
595828,595829,2006060S13058,SI,MM,DIWA,-24.23,53.37,45,991,2006,3,7,2006/03/07 05:00:00+00
595829,595830,2006060S13058,SI,MM,DIWA,-24.47,53.58,45,991,2006,3,7,2006/03/07 05:00:00+00
595830,595831,2006060S13058,SI,MM,DIWA,-24.77,53.83,45,991,2006,3,7,2006/03/07 05:00:00+00
595831,595832,2006060S13058,SI,MM,DIWA,-25.09,54.18,45,991,2006,3,7,2006/03/07 05:00:00+00
595832,595833,2006060S13058,SI,MM,DIWA,-25.5,54.6,45,991,2006,3,7,2006/03/07 05:00:00+00
595833,595834,2006060S13058,SI,MM,DIWA,-26.0,55.04,45,991,2006,3,7,2006/03/07 05:00:00+00
