Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
630605,630606,2012177N11135,WP,MM,DOKSURI,11.1,135.25,0,0,2012,6,25,2012/06/25 04:00:00+00
630606,630607,2012177N11135,WP,MM,DOKSURI,11.25,134.78,0,0,2012,6,25,2012/06/25 04:00:00+00
630607,630608,2012177N11135,WP,MM,DOKSURI,11.45,134.4,0,0,2012,6,25,2012/06/25 04:00:00+00
630608,630609,2012177N11135,WP,MM,DOKSURI,11.74,134.17,0,0,2012,6,25,2012/06/25 04:00:00+00
630609,630610,2012177N11135,WP,MM,DOKSURI,12.27,134.06,15,1010,2012,6,25,2012/06/25 04:00:00+00
630610,630611,2012177N11135,WP,MM,DOKSURI,12.83,133.85,17,1008,2012,6,25,2012/06/25 04:00:00+00
630611,630612,2012177N11135,WP,MM,DOKSURI,13.35,133.56,20,1006,2012,6,25,2012/06/25 04:00:00+00
630612,630613,2012177N11135,WP,MM,DOKSURI,13.78,133.21,20,1006,2012,6,25,2012/06/25 04:00:00+00
630613,630614,2012177N11135,WP,MM,DOKSURI,14.1,132.77,20,1006,2012,6,26,2012/06/26 04:00:00+00
630614,630615,2012177N11135,WP,MM,DOKSURI,14.33,132.19,22,1005,2012,6,26,2012/06/26 04:00:00+00
630615,630616,2012177N11135,WP,MM,DOKSURI,14.49,131.55,25,1004,2012,6,26,2012/06/26 04:00:00+00
630616,630617,2012177N11135,WP,MM,DOKSURI,14.61,130.98,25,1004,2012,6,26,2012/06/26 04:00:00+00
630617,630618,2012177N11135,WP,MM,DOKSURI,14.75,130.4,25,1004,2012,6,26,2012/06/26 04:00:00+00
630618,630619,2012177N11135,WP,MM,DOKSURI,14.95,129.74,27,1002,2012,6,26,2012/06/26 04:00:00+00
630619,630620,2012177N11135,WP,MM,DOKSURI,15.1,129.05,30,1000,2012,6,26,2012/06/26 04:00:00+00
630620,630621,2012177N11135,WP,MM,DOKSURI,15.12,128.36,30,1000,2012,6,26,2012/06/26 04:00:00+00
630621,630622,2012177N11135,WP,MM,DOKSURI,15.3,127.75,35,996,2012,6,27,2012/06/27 04:00:00+00
630622,630623,2012177N11135,WP,MM,DOKSURI,15.53,127.43,35,996,2012,6,27,2012/06/27 04:00:00+00
630623,630624,2012177N11135,WP,MM,DOKSURI,15.9,127.12,30,1000,2012,6,27,2012/06/27 04:00:00+00
630624,630625,2012177N11135,WP,MM,DOKSURI,16.39,126.64,30,1000,2012,6,27,2012/06/27 04:00:00+00
630625,630626,2012177N11135,WP,MM,DOKSURI,16.9,126.08,30,1000,2012,6,27,2012/06/27 04:00:00+00
630626,630627,2012177N11135,WP,MM,DOKSURI,17.21,125.48,30,1000,2012,6,27,2012/06/27 04:00:00+00
630627,630628,2012177N11135,WP,MM,DOKSURI,17.52,124.9,30,1000,2012,6,27,2012/06/27 04:00:00+00
630628,630629,2012177N11135,WP,MM,DOKSURI,18.05,124.42,30,1000,2012,6,27,2012/06/27 04:00:00+00
630629,630630,2012177N11135,WP,MM,DOKSURI,18.65,123.9,30,1000,2012,6,28,2012/06/28 04:00:00+00
630630,630631,2012177N11135,WP,MM,DOKSURI,19.2,123.3,30,1000,2012,6,28,2012/06/28 04:00:00+00
630631,630632,2012177N11135,WP,MM,DOKSURI,19.32,122.75,30,1000,2012,6,28,2012/06/28 04:00:00+00
630632,630633,2012177N11135,WP,MM,DOKSURI,19.51,121.96,32,998,2012,6,28,2012/06/28 04:00:00+00
630633,630634,2012177N11135,WP,MM,DOKSURI,19.73,121.1,35,996,2012,6,28,2012/06/28 04:00:00+00
630634,630635,2012177N11135,WP,MM,DOKSURI,19.89,120.41,35,996,2012,6,28,2012/06/28 04:00:00+00
630635,630636,2012177N11135,WP,MM,DOKSURI,20.07,119.67,35,996,2012,6,28,2012/06/28 04:00:00+00
630636,630637,2012177N11135,WP,MM,DOKSURI,20.34,118.72,35,996,2012,6,28,2012/06/28 04:00:00+00
630637,630638,2012177N11135,WP,MM,DOKSURI,20.6,117.75,35,996,2012,6,29,2012/06/29 04:00:00+00
630638,630639,2012177N11135,WP,MM,DOKSURI,20.75,116.94,37,994,2012,6,29,2012/06/29 04:00:00+00
630639,630640,2012177N11135,WP,MM,DOKSURI,20.9,116.22,40,993,2012,6,29,2012/06/29 04:00:00+00
630640,630641,2012177N11135,WP,MM,DOKSURI,21.14,115.57,40,993,2012,6,29,2012/06/29 04:00:00+00
630641,630642,2012177N11135,WP,MM,DOKSURI,21.4,114.92,40,993,2012,6,29,2012/06/29 04:00:00+00
630642,630643,2012177N11135,WP,MM,DOKSURI,21.63,114.22,40,993,2012,6,29,2012/06/29 04:00:00+00
630643,630644,2012177N11135,WP,MM,DOKSURI,21.84,113.51,40,993,2012,6,29,2012/06/29 04:00:00+00
630644,630645,2012177N11135,WP,MM,DOKSURI,22.08,112.78,35,996,2012,6,29,2012/06/29 04:00:00+00
630645,630646,2012177N11135,WP,MM,DOKSURI,22.34,112.03,30,1000,2012,6,30,2012/06/30 04:00:00+00
630646,630647,2012177N11135,WP,MM,DOKSURI,22.61,111.2,0,0,2012,6,30,2012/06/30 04:00:00+00
663814,663815,2017253N14130,WP,MM,DOKSURI,14.3,130.0,0,0,2017,9,10,2017/09/10 04:00:00+00
663815,663816,2017253N14130,WP,MM,DOKSURI,14.36,129.57,0,0,2017,9,10,2017/09/10 04:00:00+00
663816,663817,2017253N14130,WP,MM,DOKSURI,14.4,129.1,0,0,2017,9,10,2017/09/10 04:00:00+00
663817,663818,2017253N14130,WP,MM,DOKSURI,14.41,128.55,0,0,2017,9,10,2017/09/10 04:00:00+00
