Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
430042,430043,1982095S11138,SP,EA,DOMINIC,-11.3,138.3,25,0,1982,4,4,1982/04/04 04:00:00+00
430043,430044,1982095S11138,SP,EA,DOMINIC,-11.2,138.44,27,0,1982,4,4,1982/04/04 04:00:00+00
430044,430045,1982095S11138,SP,EA,DOMINIC,-11.1,138.58,30,0,1982,4,4,1982/04/04 04:00:00+00
430045,430046,1982095S11138,SP,EA,DOMINIC,-11.07,138.81,32,0,1982,4,4,1982/04/04 04:00:00+00
430046,430047,1982095S11138,SP,EA,DOMINIC,-11.14,139.02,35,0,1982,4,5,1982/04/05 04:00:00+00
430047,430048,1982095S11138,SP,EA,DOMINIC,-11.23,139.12,37,0,1982,4,5,1982/04/05 04:00:00+00
430048,430049,1982095S11138,SP,EA,DOMINIC,-11.28,139.14,40,0,1982,4,5,1982/04/05 04:00:00+00
430049,430050,1982095S11138,SP,EA,DOMINIC,-11.24,139.17,42,0,1982,4,5,1982/04/05 04:00:00+00
430050,430051,1982095S11138,SP,EA,DOMINIC,-11.25,139.25,45,0,1982,4,5,1982/04/05 04:00:00+00
430051,430052,1982095S11138,SP,EA,DOMINIC,-11.41,139.3,47,0,1982,4,5,1982/04/05 04:00:00+00
430052,430053,1982095S11138,SP,EA,DOMINIC,-11.59,139.36,50,0,1982,4,5,1982/04/05 04:00:00+00
430053,430054,1982095S11138,SP,EA,DOMINIC,-11.78,139.41,52,0,1982,4,5,1982/04/05 04:00:00+00
430054,430055,1982095S11138,SP,EA,DOMINIC,-11.95,139.45,55,0,1982,4,6,1982/04/06 04:00:00+00
430055,430056,1982095S11138,SP,EA,DOMINIC,-12.18,139.49,57,0,1982,4,6,1982/04/06 04:00:00+00
430056,430057,1982095S11138,SP,EA,DOMINIC,-12.4,139.56,60,0,1982,4,6,1982/04/06 04:00:00+00
430057,430058,1982095S11138,SP,EA,DOMINIC,-12.65,139.66,60,0,1982,4,6,1982/04/06 04:00:00+00
430058,430059,1982095S11138,SP,EA,DOMINIC,-12.9,139.8,60,0,1982,4,6,1982/04/06 04:00:00+00
430059,430060,1982095S11138,SP,EA,DOMINIC,-13.07,139.93,60,0,1982,4,6,1982/04/06 04:00:00+00
430060,430061,1982095S11138,SP,EA,DOMINIC,-13.25,140.03,60,0,1982,4,6,1982/04/06 04:00:00+00
430061,430062,1982095S11138,SP,EA,DOMINIC,-13.51,140.13,62,0,1982,4,6,1982/04/06 04:00:00+00
430062,430063,1982095S11138,SP,EA,DOMINIC,-13.85,140.25,65,0,1982,4,7,1982/04/07 04:00:00+00
430063,430064,1982095S11138,SP,EA,DOMINIC,-14.11,140.42,65,0,1982,4,7,1982/04/07 04:00:00+00
430064,430065,1982095S11138,SP,EA,DOMINIC,-14.3,140.72,65,0,1982,4,7,1982/04/07 04:00:00+00
430065,430066,1982095S11138,SP,EA,DOMINIC,-14.46,141.04,67,0,1982,4,7,1982/04/07 04:00:00+00
430066,430067,1982095S11138,SP,EA,DOMINIC,-14.6,141.4,70,0,1982,4,7,1982/04/07 04:00:00+00
430067,430068,1982095S11138,SP,EA,DOMINIC,-14.73,141.84,65,0,1982,4,7,1982/04/07 04:00:00+00
430068,430069,1982095S11138,SP,EA,DOMINIC,-14.85,142.29,60,0,1982,4,7,1982/04/07 04:00:00+00
430069,430070,1982095S11138,SP,EA,DOMINIC,-14.95,142.69,52,0,1982,4,7,1982/04/07 04:00:00+00
430070,430071,1982095S11138,SP,EA,DOMINIC,-15.0,143.15,45,0,1982,4,8,1982/04/08 04:00:00+00
430071,430072,1982095S11138,SP,EA,DOMINIC,-15.03,143.64,40,0,1982,4,8,1982/04/08 04:00:00+00
430072,430073,1982095S11138,SP,EA,DOMINIC,-15.04,144.19,35,0,1982,4,8,1982/04/08 04:00:00+00
430073,430074,1982095S11138,SP,EA,DOMINIC,-15.04,144.43,34,0,1982,4,8,1982/04/08 04:00:00+00
430074,430075,1982095S11138,SP,EA,DOMINIC,-15.13,144.83,32,0,1982,4,8,1982/04/08 04:00:00+00
430075,430076,1982095S11138,SP,EA,DOMINIC,-15.24,145.39,30,0,1982,4,8,1982/04/08 04:00:00+00
430076,430077,1982095S11138,SP,EA,DOMINIC,-15.23,145.83,30,0,1982,4,8,1982/04/08 04:00:00+00
430077,430078,1982095S11138,SP,EA,DOMINIC,-15.18,146.21,30,0,1982,4,8,1982/04/08 04:00:00+00
430078,430079,1982095S11138,SP,EA,DOMINIC,-15.1,146.6,30,0,1982,4,8,1982/04/08 04:00:00+00
430079,430080,1982095S11138,SP,EA,DOMINIC,-15.04,147.0,30,0,1982,4,9,1982/04/09 04:00:00+00
430080,430081,1982095S11138,SP,EA,DOMINIC,-14.96,147.45,30,0,1982,4,9,1982/04/09 04:00:00+00
430081,430082,1982095S11138,SP,EA,DOMINIC,-14.87,147.9,30,0,1982,4,9,1982/04/09 04:00:00+00
430082,430083,1982095S11138,SP,EA,DOMINIC,-14.79,148.36,32,0,1982,4,9,1982/04/09 04:00:00+00
430083,430084,1982095S11138,SP,EA,DOMINIC,-14.7,148.8,35,0,1982,4,9,1982/04/09 04:00:00+00
430084,430085,1982095S11138,SP,EA,DOMINIC,-14.59,149.18,37,0,1982,4,9,1982/04/09 04:00:00+00
430085,430086,1982095S11138,SP,EA,DOMINIC,-14.49,149.53,40,0,1982,4,9,1982/04/09 04:00:00+00
430086,430087,1982095S11138,SP,EA,DOMINIC,-14.38,149.86,40,0,1982,4,9,1982/04/09 04:00:00+00
430087,430088,1982095S11138,SP,EA,DOMINIC,-14.3,150.18,40,0,1982,4,10,1982/04/10 04:00:00+00
430088,430089,1982095S11138,SP,EA,DOMINIC,-14.24,150.49,40,0,1982,4,10,1982/04/10 04:00:00+00
430089,430090,1982095S11138,SP,EA,DOMINIC,-14.21,150.77,40,0,1982,4,10,1982/04/10 04:00:00+00
430090,430091,1982095S11138,SP,EA,DOMINIC,-14.17,151.05,40,0,1982,4,10,1982/04/10 04:00:00+00
430091,430092,1982095S11138,SP,EA,DOMINIC,-14.16,151.32,40,0,1982,4,10,1982/04/10 04:00:00+00
430092,430093,1982095S11138,SP,EA,DOMINIC,-14.18,151.58,40,0,1982,4,10,1982/04/10 04:00:00+00
430093,430094,1982095S11138,SP,EA,DOMINIC,-14.21,151.8,40,0,1982,4,10,1982/04/10 04:00:00+00
430094,430095,1982095S11138,SP,EA,DOMINIC,-14.24,151.96,40,0,1982,4,10,1982/04/10 04:00:00+00
430095,430096,1982095S11138,SP,EA,DOMINIC,-14.28,152.1,40,0,1982,4,11,1982/04/11 04:00:00+00
430096,430097,1982095S11138,SP,EA,DOMINIC,-14.3,152.27,40,0,1982,4,11,1982/04/11 04:00:00+00
430097,430098,1982095S11138,SP,EA,DOMINIC,-14.34,152.44,40,0,1982,4,11,1982/04/11 04:00:00+00
430098,430099,1982095S11138,SP,EA,DOMINIC,-14.4,152.62,40,0,1982,4,11,1982/04/11 04:00:00+00
430099,430100,1982095S11138,SP,EA,DOMINIC,-14.48,152.74,40,0,1982,4,11,1982/04/11 04:00:00+00
430100,430101,1982095S11138,SP,EA,DOMINIC,-14.58,152.79,40,0,1982,4,11,1982/04/11 04:00:00+00
430101,430102,1982095S11138,SP,EA,DOMINIC,-14.7,152.78,40,0,1982,4,11,1982/04/11 04:00:00+00
430102,430103,1982095S11138,SP,EA,DOMINIC,-14.84,152.69,40,0,1982,4,11,1982/04/11 04:00:00+00
430103,430104,1982095S11138,SP,EA,DOMINIC,-14.98,152.58,40,0,1982,4,12,1982/04/12 04:00:00+00
430104,430105,1982095S11138,SP,EA,DOMINIC,-15.1,152.49,40,0,1982,4,12,1982/04/12 04:00:00+00
430105,430106,1982095S11138,SP,EA,DOMINIC,-15.23,152.38,40,0,1982,4,12,1982/04/12 04:00:00+00
430106,430107,1982095S11138,SP,EA,DOMINIC,-15.38,152.25,37,0,1982,4,12,1982/04/12 04:00:00+00
430107,430108,1982095S11138,SP,EA,DOMINIC,-15.56,152.1,35,0,1982,4,12,1982/04/12 04:00:00+00
430108,430109,1982095S11138,SP,EA,DOMINIC,-15.79,151.94,35,0,1982,4,12,1982/04/12 04:00:00+00
430109,430110,1982095S11138,SP,EA,DOMINIC,-16.07,151.71,35,0,1982,4,12,1982/04/12 04:00:00+00
430110,430111,1982095S11138,SP,EA,DOMINIC,-16.38,151.43,32,0,1982,4,12,1982/04/12 04:00:00+00
430111,430112,1982095S11138,SP,EA,DOMINIC,-16.73,151.06,30,0,1982,4,13,1982/04/13 04:00:00+00
430112,430113,1982095S11138,SP,EA,DOMINIC,-17.14,150.59,30,0,1982,4,13,1982/04/13 04:00:00+00
430113,430114,1982095S11138,SP,EA,DOMINIC,-17.44,150.02,30,0,1982,4,13,1982/04/13 04:00:00+00
430114,430115,1982095S11138,SP,EA,DOMINIC,-17.41,149.3,27,0,1982,4,13,1982/04/13 04:00:00+00
430115,430116,1982095S11138,SP,EA,DOMINIC,-17.04,148.4,25,0,1982,4,13,1982/04/13 04:00:00+00
430116,430117,1982095S11138,SP,EA,DOMINIC,-16.38,147.27,0,0,1982,4,13,1982/04/13 04:00:00+00
430117,430118,1982095S11138,SP,EA,DOMINIC,-16.0,146.8,0,0,1982,4,13,1982/04/13 04:00:00+00
430118,430119,1982095S11138,SP,EA,DOMINIC,-15.78,146.44,0,0,1982,4,13,1982/04/13 04:00:00+00
430119,430120,1982095S11138,SP,EA,DOMINIC,-15.6,146.1,0,0,1982,4,14,1982/04/14 04:00:00+00
430120,430121,1982095S11138,SP,EA,DOMINIC,-15.26,145.4,0,0,1982,4,14,1982/04/14 04:00:00+00
430121,430122,1982095S11138,SP,EA,DOMINIC,-15.4,144.5,0,0,1982,4,14,1982/04/14 04:00:00+00
612312,612313,2009024S17123,SI,WA,DOMINIC,-17.3,123.3,0,0,2009,1,24,2009/01/24 05:00:00+00
612313,612314,2009024S17123,SI,WA,DOMINIC,-17.47,122.98,0,0,2009,1,24,2009/01/24 05:00:00+00
612314,612315,2009024S17123,SI,WA,DOMINIC,-17.61,122.61,0,0,2009,1,24,2009/01/24 05:00:00+00
612315,612316,2009024S17123,SI,WA,DOMINIC,-17.71,122.14,0,0,2009,1,24,2009/01/24 05:00:00+00
612316,612317,2009024S17123,SI,WA,DOMINIC,-17.8,121.6,0,0,2009,1,24,2009/01/24 05:00:00+00
612317,612318,2009024S17123,SI,WA,DOMINIC,-17.91,121.1,0,0,2009,1,24,2009/01/24 05:00:00+00
612318,612319,2009024S17123,SI,WA,DOMINIC,-18.06,120.41,20,1007,2009,1,24,2009/01/24 05:00:00+00
612319,612320,2009024S17123,SI,WA,DOMINIC,-18.27,119.59,25,1003,2009,1,24,2009/01/24 05:00:00+00
612320,612321,2009024S17123,SI,WA,DOMINIC,-18.46,118.84,30,1000,2009,1,25,2009/01/25 05:00:00+00
612321,612322,2009024S17123,SI,WA,DOMINIC,-18.61,118.28,27,1002,2009,1,25,2009/01/25 05:00:00+00
612322,612323,2009024S17123,SI,WA,DOMINIC,-18.7,117.77,25,1004,2009,1,25,2009/01/25 05:00:00+00
612323,612324,2009024S17123,SI,WA,DOMINIC,-18.67,117.17,25,1003,2009,1,25,2009/01/25 05:00:00+00
612324,612325,2009024S17123,SI,WA,DOMINIC,-18.64,116.67,25,1002,2009,1,25,2009/01/25 05:00:00+00
