Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
625450,625451,2011208N22274,,CS,DON,21.6,-85.7,30,1007,2011,7,27,2011/07/27 04:00:00+00
625451,625452,2011208N22274,,CS,DON,21.7,-85.95,30,1006,2011,7,27,2011/07/27 04:00:00+00
625452,625453,2011208N22274,,GM,DON,21.8,-86.2,30,1006,2011,7,27,2011/07/27 04:00:00+00
625453,625454,2011208N22274,,GM,DON,21.89,-86.44,32,1004,2011,7,27,2011/07/27 04:00:00+00
625454,625455,2011208N22274,,GM,DON,22.0,-86.7,35,1003,2011,7,27,2011/07/27 04:00:00+00
625455,625456,2011208N22274,,GM,DON,22.12,-87.01,35,1001,2011,7,27,2011/07/27 04:00:00+00
625456,625457,2011208N22274,,GM,DON,22.3,-87.4,35,1000,2011,7,28,2011/07/28 04:00:00+00
625457,625458,2011208N22274,,GM,DON,22.56,-87.87,35,1000,2011,7,28,2011/07/28 04:00:00+00
625458,625459,2011208N22274,,GM,DON,22.9,-88.4,35,1000,2011,7,28,2011/07/28 04:00:00+00
625459,625460,2011208N22274,,GM,DON,23.31,-88.93,37,1000,2011,7,28,2011/07/28 04:00:00+00
625460,625461,2011208N22274,,GM,DON,23.7,-89.5,40,1001,2011,7,28,2011/07/28 04:00:00+00
625461,625462,2011208N22274,,GM,DON,23.98,-90.09,40,1002,2011,7,28,2011/07/28 04:00:00+00
625462,625463,2011208N22274,,GM,DON,24.2,-90.7,40,1004,2011,7,28,2011/07/28 04:00:00+00
625463,625464,2011208N22274,,GM,DON,24.4,-91.3,42,1000,2011,7,28,2011/07/28 04:00:00+00
625464,625465,2011208N22274,,GM,DON,24.6,-91.9,45,997,2011,7,29,2011/07/29 04:00:00+00
625465,625466,2011208N22274,,GM,DON,24.83,-92.5,45,998,2011,7,29,2011/07/29 04:00:00+00
625466,625467,2011208N22274,,GM,DON,25.1,-93.1,45,1000,2011,7,29,2011/07/29 04:00:00+00
625467,625468,2011208N22274,,GM,DON,25.44,-93.7,45,1001,2011,7,29,2011/07/29 04:00:00+00
625468,625469,2011208N22274,,GM,DON,25.8,-94.3,45,1002,2011,7,29,2011/07/29 04:00:00+00
625469,625470,2011208N22274,,GM,DON,26.11,-94.89,45,1003,2011,7,29,2011/07/29 04:00:00+00
625470,625471,2011208N22274,,GM,DON,26.4,-95.5,45,1004,2011,7,29,2011/07/29 04:00:00+00
625471,625472,2011208N22274,,GM,DON,26.69,-96.21,40,1005,2011,7,29,2011/07/29 04:00:00+00
625472,625473,2011208N22274,,GM,DON,27.0,-96.9,35,1006,2011,7,30,2011/07/30 04:00:00+00
625473,625474,2011208N22274,,GM,DON,27.3,-97.4,30,1007,2011,7,30,2011/07/30 04:00:00+00
625474,625475,2011208N22274,,GM,DON,27.37,-97.5,29,1007,2011,7,30,2011/07/30 04:00:00+00
661795,661796,2017198N10312,,,DON,10.3,-47.7,25,1011,2017,7,17,2017/07/17 04:00:00+00
661796,661797,2017198N10312,,,DON,10.33,-48.39,27,1010,2017,7,17,2017/07/17 04:00:00+00
661797,661798,2017198N10312,,,DON,10.4,-49.1,30,1010,2017,7,17,2017/07/17 04:00:00+00
661798,661799,2017198N10312,,,DON,10.53,-49.84,32,1009,2017,7,17,2017/07/17 04:00:00+00
661799,661800,2017198N10312,,,DON,10.7,-50.6,35,1009,2017,7,17,2017/07/17 04:00:00+00
661800,661801,2017198N10312,,,DON,10.86,-51.39,37,1008,2017,7,17,2017/07/17 04:00:00+00
661801,661802,2017198N10312,,,DON,11.0,-52.2,40,1007,2017,7,17,2017/07/17 04:00:00+00
661802,661803,2017198N10312,,,DON,11.11,-53.0,42,1006,2017,7,17,2017/07/17 04:00:00+00
661803,661804,2017198N10312,,,DON,11.2,-53.8,45,1005,2017,7,18,2017/07/18 04:00:00+00
661804,661805,2017198N10312,,,DON,11.26,-54.59,42,1006,2017,7,18,2017/07/18 04:00:00+00
661805,661806,2017198N10312,,,DON,11.3,-55.4,40,1008,2017,7,18,2017/07/18 04:00:00+00
661806,661807,2017198N10312,,,DON,11.35,-56.24,37,1009,2017,7,18,2017/07/18 04:00:00+00
