Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
214591,214592,1947188N15137,WP,MM,DONNA,14.5,136.9,0,0,1947,7,6,1947/07/06 04:00:00+00
214592,214593,1947188N15137,WP,MM,DONNA,15.32,136.0,0,0,1947,7,6,1947/07/06 04:00:00+00
214593,214594,1947188N15137,WP,MM,DONNA,16.11,135.11,0,0,1947,7,6,1947/07/06 04:00:00+00
214594,214595,1947188N15137,WP,MM,DONNA,16.88,134.24,0,0,1947,7,6,1947/07/06 04:00:00+00
214595,214596,1947188N15137,WP,MM,DONNA,17.6,133.4,0,0,1947,7,7,1947/07/07 04:00:00+00
214596,214597,1947188N15137,WP,MM,DONNA,18.27,132.62,0,0,1947,7,7,1947/07/07 04:00:00+00
214597,214598,1947188N15137,WP,MM,DONNA,18.91,131.88,0,0,1947,7,7,1947/07/07 04:00:00+00
214598,214599,1947188N15137,WP,MM,DONNA,19.54,131.21,0,0,1947,7,7,1947/07/07 04:00:00+00
214599,214600,1947188N15137,WP,MM,DONNA,20.2,130.6,0,0,1947,7,7,1947/07/07 04:00:00+00
214600,214601,1947188N15137,WP,MM,DONNA,20.85,130.0,0,0,1947,7,7,1947/07/07 04:00:00+00
214601,214602,1947188N15137,WP,MM,DONNA,21.54,129.47,0,0,1947,7,7,1947/07/07 04:00:00+00
214602,214603,1947188N15137,WP,MM,DONNA,22.31,129.0,0,0,1947,7,7,1947/07/07 04:00:00+00
214603,214604,1947188N15137,WP,MM,DONNA,23.2,128.6,0,0,1947,7,8,1947/07/08 04:00:00+00
214604,214605,1947188N15137,WP,MM,DONNA,24.33,128.16,0,0,1947,7,8,1947/07/08 04:00:00+00
214605,214606,1947188N15137,WP,MM,DONNA,26.09,127.97,35,0,1947,7,8,1947/07/08 04:00:00+00
214606,214607,1947188N15137,WP,MM,DONNA,27.11,127.65,35,0,1947,7,8,1947/07/08 04:00:00+00
214607,214608,1947188N15137,WP,MM,DONNA,27.9,127.5,35,0,1947,7,8,1947/07/08 04:00:00+00
214608,214609,1947188N15137,WP,MM,DONNA,28.61,127.7,35,0,1947,7,8,1947/07/08 04:00:00+00
214609,214610,1947188N15137,WP,MM,DONNA,29.34,128.12,35,0,1947,7,8,1947/07/08 04:00:00+00
214610,214611,1947188N15137,WP,MM,DONNA,30.06,128.52,32,0,1947,7,8,1947/07/08 04:00:00+00
214611,214612,1947188N15137,WP,MM,DONNA,30.8,129.1,30,0,1947,7,9,1947/07/09 04:00:00+00
214612,214613,1947188N15137,WP,MM,DONNA,31.58,129.99,30,0,1947,7,9,1947/07/09 04:00:00+00
214613,214614,1947188N15137,WP,MM,DONNA,32.36,131.08,30,0,1947,7,9,1947/07/09 04:00:00+00
214614,214615,1947188N15137,WP,MM,DONNA,33.1,132.23,30,0,1947,7,9,1947/07/09 04:00:00+00
278925,278926,1960243N10337,,,DONNA,10.2,-22.8,25,0,1960,8,29,1960/08/29 04:00:00+00
278926,278927,1960243N10337,,,DONNA,10.13,-23.51,25,0,1960,8,29,1960/08/29 04:00:00+00
278927,278928,1960243N10337,,,DONNA,10.1,-24.2,25,0,1960,8,30,1960/08/30 04:00:00+00
278928,278929,1960243N10337,,,DONNA,10.13,-24.85,25,0,1960,8,30,1960/08/30 04:00:00+00
278929,278930,1960243N10337,,,DONNA,10.2,-25.5,25,0,1960,8,30,1960/08/30 04:00:00+00
278930,278931,1960243N10337,,,DONNA,10.24,-26.19,25,0,1960,8,30,1960/08/30 04:00:00+00
278931,278932,1960243N10337,,,DONNA,10.3,-26.9,25,0,1960,8,30,1960/08/30 04:00:00+00
278932,278933,1960243N10337,,,DONNA,10.39,-27.64,25,0,1960,8,30,1960/08/30 04:00:00+00
278933,278934,1960243N10337,,,DONNA,10.5,-28.4,25,0,1960,8,30,1960/08/30 04:00:00+00
278934,278935,1960243N10337,,,DONNA,10.6,-29.19,27,0,1960,8,30,1960/08/30 04:00:00+00
278935,278936,1960243N10337,,,DONNA,10.7,-30.0,30,0,1960,8,31,1960/08/31 04:00:00+00
278936,278937,1960243N10337,,,DONNA,10.8,-30.81,30,0,1960,8,31,1960/08/31 04:00:00+00
278937,278938,1960243N10337,,,DONNA,10.9,-31.6,30,0,1960,8,31,1960/08/31 04:00:00+00
278938,278939,1960243N10337,,,DONNA,10.99,-32.36,32,0,1960,8,31,1960/08/31 04:00:00+00
278939,278940,1960243N10337,,,DONNA,11.1,-33.1,35,0,1960,8,31,1960/08/31 04:00:00+00
278940,278941,1960243N10337,,,DONNA,11.24,-33.84,35,0,1960,8,31,1960/08/31 04:00:00+00
278941,278942,1960243N10337,,,DONNA,11.4,-34.6,35,0,1960,8,31,1960/08/31 04:00:00+00
278942,278943,1960243N10337,,,DONNA,11.55,-35.39,37,0,1960,8,31,1960/08/31 04:00:00+00
278943,278944,1960243N10337,,,DONNA,11.7,-36.2,40,0,1960,9,1,1960/09/01 04:00:00+00
278944,278945,1960243N10337,,,DONNA,11.85,-37.0,45,0,1960,9,1,1960/09/01 04:00:00+00
278945,278946,1960243N10337,,,DONNA,12.0,-37.8,50,0,1960,9,1,1960/09/01 04:00:00+00
278946,278947,1960243N10337,,,DONNA,12.15,-38.59,52,0,1960,9,1,1960/09/01 04:00:00+00
278947,278948,1960243N10337,,,DONNA,12.3,-39.4,55,0,1960,9,1,1960/09/01 04:00:00+00
278948,278949,1960243N10337,,,DONNA,12.45,-40.24,60,0,1960,9,1,1960/09/01 04:00:00+00
278949,278950,1960243N10337,,,DONNA,12.6,-41.1,65,0,1960,9,1,1960/09/01 04:00:00+00
278950,278951,1960243N10337,,,DONNA,12.74,-41.97,67,0,1960,9,1,1960/09/01 04:00:00+00
278951,278952,1960243N10337,,,DONNA,12.9,-42.8,70,0,1960,9,2,1960/09/02 04:00:00+00
278952,278953,1960243N10337,,,DONNA,13.1,-43.56,72,0,1960,9,2,1960/09/02 04:00:00+00
278953,278954,1960243N10337,,,DONNA,13.3,-44.3,75,0,1960,9,2,1960/09/02 04:00:00+00
278954,278955,1960243N10337,,,DONNA,13.46,-45.03,80,0,1960,9,2,1960/09/02 04:00:00+00
278955,278956,1960243N10337,,,DONNA,13.6,-45.8,85,0,1960,9,2,1960/09/02 04:00:00+00
278956,278957,1960243N10337,,,DONNA,13.74,-46.68,90,0,1960,9,2,1960/09/02 04:00:00+00
278957,278958,1960243N10337,,,DONNA,13.9,-47.6,95,973,1960,9,2,1960/09/02 04:00:00+00
278958,278959,1960243N10337,,,DONNA,14.09,-48.5,97,0,1960,9,2,1960/09/02 04:00:00+00
278959,278960,1960243N10337,,,DONNA,14.3,-49.4,100,0,1960,9,3,1960/09/03 04:00:00+00
278960,278961,1960243N10337,,,DONNA,14.48,-50.29,102,0,1960,9,3,1960/09/03 04:00:00+00
278961,278962,1960243N10337,,,DONNA,14.7,-51.2,105,0,1960,9,3,1960/09/03 04:00:00+00
278962,278963,1960243N10337,,,DONNA,14.98,-52.14,105,0,1960,9,3,1960/09/03 04:00:00+00
278963,278964,1960243N10337,,,DONNA,15.3,-53.1,105,962,1960,9,3,1960/09/03 04:00:00+00
278964,278965,1960243N10337,,,DONNA,15.61,-54.07,105,0,1960,9,3,1960/09/03 04:00:00+00
278965,278966,1960243N10337,,,DONNA,15.9,-55.0,105,0,1960,9,3,1960/09/03 04:00:00+00
278966,278967,1960243N10337,,,DONNA,16.18,-55.82,107,0,1960,9,3,1960/09/03 04:00:00+00
278967,278968,1960243N10337,,,DONNA,16.4,-56.6,110,0,1960,9,4,1960/09/04 04:00:00+00
278968,278969,1960243N10337,,,DONNA,16.51,-57.41,110,0,1960,9,4,1960/09/04 04:00:00+00
278969,278970,1960243N10337,,,DONNA,16.6,-58.2,110,0,1960,9,4,1960/09/04 04:00:00+00
278970,278971,1960243N10337,,,DONNA,16.73,-58.98,110,0,1960,9,4,1960/09/04 04:00:00+00
278971,278972,1960243N10337,,,DONNA,16.9,-59.7,110,958,1960,9,4,1960/09/04 04:00:00+00
278972,278973,1960243N10337,,,DONNA,17.14,-60.31,110,957,1960,9,4,1960/09/04 04:00:00+00
278973,278974,1960243N10337,,CS,DONNA,17.4,-60.9,110,957,1960,9,4,1960/09/04 04:00:00+00
278974,278975,1960243N10337,,CS,DONNA,17.64,-61.6,110,956,1960,9,4,1960/09/04 04:00:00+00
278975,278976,1960243N10337,,CS,DONNA,17.7,-61.8,110,956,1960,9,4,1960/09/04 04:00:00+00
278976,278977,1960243N10337,,CS,DONNA,17.8,-62.1,110,956,1960,9,5,1960/09/05 04:00:00+00
278977,278978,1960243N10337,,CS,DONNA,18.01,-62.77,110,952,1960,9,5,1960/09/05 04:00:00+00
278978,278979,1960243N10337,,CS,DONNA,18.1,-63.0,110,952,1960,9,5,1960/09/05 04:00:00+00
278979,278980,1960243N10337,,CS,DONNA,18.3,-63.4,110,952,1960,9,5,1960/09/05 04:00:00+00
278980,278981,1960243N10337,,CS,DONNA,18.69,-64.1,110,955,1960,9,5,1960/09/05 04:00:00+00
278981,278982,1960243N10337,,,DONNA,19.1,-64.8,110,958,1960,9,5,1960/09/05 04:00:00+00
278982,278983,1960243N10337,,,DONNA,19.43,-65.35,110,957,1960,9,5,1960/09/05 04:00:00+00
278983,278984,1960243N10337,,,DONNA,19.7,-65.8,110,956,1960,9,5,1960/09/05 04:00:00+00
278984,278985,1960243N10337,,,DONNA,19.91,-66.15,112,948,1960,9,5,1960/09/05 04:00:00+00
278985,278986,1960243N10337,,,DONNA,20.1,-66.5,115,941,1960,9,6,1960/09/06 04:00:00+00
278986,278987,1960243N10337,,,DONNA,20.34,-66.99,115,940,1960,9,6,1960/09/06 04:00:00+00
278987,278988,1960243N10337,,,DONNA,20.6,-67.5,115,940,1960,9,6,1960/09/06 04:00:00+00
278988,278989,1960243N10337,,,DONNA,20.91,-67.93,117,940,1960,9,6,1960/09/06 04:00:00+00
278989,278990,1960243N10337,,,DONNA,21.2,-68.3,120,940,1960,9,6,1960/09/06 04:00:00+00
278990,278991,1960243N10337,,,DONNA,21.37,-68.6,120,940,1960,9,6,1960/09/06 04:00:00+00
278991,278992,1960243N10337,,,DONNA,21.5,-68.9,120,940,1960,9,6,1960/09/06 04:00:00+00
278992,278993,1960243N10337,,,DONNA,21.66,-69.28,122,936,1960,9,6,1960/09/06 04:00:00+00
278993,278994,1960243N10337,,,DONNA,21.8,-69.7,125,932,1960,9,7,1960/09/07 04:00:00+00
